"","code","game_type","n"
"1","sujeto_0000621","competitive",126
"2","sujeto_0000621","individual",2
"3","sujeto_0005719","competitive",100
"4","sujeto_0005719","individual",28
"5","sujeto_0006562","competitive",120
"6","sujeto_0006562","individual",8
"7","sujeto_0011813","competitive",106
"8","sujeto_0011813","individual",22
"9","sujeto_0012643","competitive",128
"10","sujeto_0014011","competitive",111
"11","sujeto_0014011","individual",17
"12","sujeto_0014895","competitive",91
"13","sujeto_0014895","individual",37
"14","sujeto_0016883","competitive",124
"15","sujeto_0016883","individual",4
"16","sujeto_0020285","competitive",86
"17","sujeto_0020285","individual",41
"18","sujeto_0020703","competitive",105
"19","sujeto_0020703","individual",23
"20","sujeto_0020974","competitive",127
"21","sujeto_0020974","individual",1
"22","sujeto_0025043","competitive",86
"23","sujeto_0025043","individual",42
"24","sujeto_0025948","competitive",67
"25","sujeto_0025948","individual",61
"26","sujeto_0026622","competitive",106
"27","sujeto_0026622","individual",22
"28","sujeto_0027033","competitive",128
"29","sujeto_0027042","competitive",105
"30","sujeto_0027042","individual",22
"31","sujeto_0027510","competitive",98
"32","sujeto_0027510","individual",30
"33","sujeto_0028207","competitive",104
"34","sujeto_0028207","individual",23
"35","sujeto_0030383","competitive",116
"36","sujeto_0030383","individual",12
"37","sujeto_0030459","competitive",127
"38","sujeto_0030459","individual",1
"39","sujeto_0031826","competitive",72
"40","sujeto_0031826","individual",56
"41","sujeto_0032413","competitive",80
"42","sujeto_0032413","individual",46
"43","sujeto_0033050","competitive",110
"44","sujeto_0033050","individual",17
"45","sujeto_0034539","competitive",108
"46","sujeto_0034539","individual",20
"47","sujeto_0036567","competitive",110
"48","sujeto_0036567","individual",15
"49","sujeto_0039609","competitive",79
"50","sujeto_0039609","individual",49
"51","sujeto_0040017","competitive",111
"52","sujeto_0040017","individual",17
"53","sujeto_0040081","competitive",128
"54","sujeto_0048205","competitive",101
"55","sujeto_0048205","individual",27
"56","sujeto_0048533","competitive",126
"57","sujeto_0048533","individual",2
"58","sujeto_0049193","competitive",84
"59","sujeto_0049193","individual",44
"60","sujeto_0050473","competitive",128
"61","sujeto_0051018","competitive",112
"62","sujeto_0051018","individual",14
"63","sujeto_0053568","competitive",115
"64","sujeto_0053568","individual",13
"65","sujeto_0058378","competitive",128
"66","sujeto_005868","competitive",94
"67","sujeto_005868","individual",34
"68","sujeto_0065422","competitive",126
"69","sujeto_0065422","individual",2
"70","sujeto_0066360","competitive",127
"71","sujeto_0066360","individual",1
"72","sujeto_0067839","competitive",87
"73","sujeto_0067839","individual",40
"74","sujeto_0068071","competitive",96
"75","sujeto_0068071","individual",31
"76","sujeto_0068784","competitive",112
"77","sujeto_0068784","individual",16
"78","sujeto_0071765","competitive",77
"79","sujeto_0071765","individual",51
"80","sujeto_0073050","competitive",124
"81","sujeto_0073050","individual",3
"82","sujeto_0073105","competitive",91
"83","sujeto_0073105","individual",31
"84","sujeto_0073942","competitive",109
"85","sujeto_0073942","individual",19
"86","sujeto_0074431","competitive",99
"87","sujeto_0074431","individual",29
"88","sujeto_0074535","competitive",70
"89","sujeto_0074535","individual",58
"90","sujeto_02de544a","competitive",99
"91","sujeto_02de544a","individual",29
"92","sujeto_06da9741","competitive",108
"93","sujeto_06da9741","individual",20
"94","sujeto_07280530","competitive",127
"95","sujeto_07280530","individual",1
"96","sujeto_077f2b56","competitive",127
"97","sujeto_0bf947ec","competitive",127
"98","sujeto_0bf947ec","individual",1
"99","sujeto_0d6a2bd1","competitive",2
"100","sujeto_0d6a2bd1","individual",126
"101","sujeto_11124bad","competitive",128
"102","sujeto_151573d2","competitive",108
"103","sujeto_151573d2","individual",19
"104","sujeto_18c10e9c","competitive",97
"105","sujeto_18c10e9c","individual",31
"106","sujeto_1bb5ad4b","competitive",117
"107","sujeto_1bb5ad4b","individual",11
"108","sujeto_1d9a94b2","competitive",128
"109","sujeto_2158631b","competitive",128
"110","sujeto_225a39e1","competitive",125
"111","sujeto_225a39e1","individual",3
"112","sujeto_2608c5d2","competitive",101
"113","sujeto_2608c5d2","individual",26
"114","sujeto_2736348d","competitive",125
"115","sujeto_2736348d","individual",3
"116","sujeto_282108e8","competitive",105
"117","sujeto_282108e8","individual",23
"118","sujeto_2a9aaa08","competitive",73
"119","sujeto_2a9aaa08","individual",55
"120","sujeto_2c6c72ad","competitive",128
"121","sujeto_2cd1c0e6","competitive",118
"122","sujeto_32e036e7","competitive",128
"123","sujeto_33dcff34","competitive",125
"124","sujeto_33dcff34","individual",3
"125","sujeto_39b35dcb","competitive",127
"126","sujeto_39b35dcb","individual",1
"127","sujeto_3e78614c","competitive",98
"128","sujeto_3e78614c","individual",30
"129","sujeto_4517150c","competitive",124
"130","sujeto_4517150c","individual",4
"131","sujeto_46315dbc","competitive",81
"132","sujeto_46315dbc","individual",47
"133","sujeto_4ca6cef4","competitive",89
"134","sujeto_4ca6cef4","individual",39
"135","sujeto_4e042fb0","competitive",126
"136","sujeto_4e042fb0","individual",2
"137","sujeto_5061298e","competitive",126
"138","sujeto_5061298e","individual",1
"139","sujeto_529b55b0","competitive",127
