"","code","game_type","pay_competitive","n"
"1","sujeto_0000621","competitive","1",32
"2","sujeto_0000621","competitive","2",30
"3","sujeto_0000621","competitive","3",32
"4","sujeto_0000621","competitive","4",32
"5","sujeto_0000621","individual","2",2
"6","sujeto_0005719","competitive","1",6
"7","sujeto_0005719","competitive","2",31
"8","sujeto_0005719","competitive","3",32
"9","sujeto_0005719","competitive","4",31
"10","sujeto_0005719","individual","1",26
"11","sujeto_0005719","individual","2",1
"12","sujeto_0005719","individual","4",1
"13","sujeto_0006562","competitive","1",27
"14","sujeto_0006562","competitive","2",31
"15","sujeto_0006562","competitive","3",31
"16","sujeto_0006562","competitive","4",31
"17","sujeto_0006562","individual","1",5
"18","sujeto_0006562","individual","2",1
"19","sujeto_0006562","individual","3",1
"20","sujeto_0006562","individual","4",1
"21","sujeto_0011813","competitive","1",27
"22","sujeto_0011813","competitive","2",25
"23","sujeto_0011813","competitive","3",27
"24","sujeto_0011813","competitive","4",27
"25","sujeto_0011813","individual","1",5
"26","sujeto_0011813","individual","2",7
"27","sujeto_0011813","individual","3",5
"28","sujeto_0011813","individual","4",5
"29","sujeto_0012643","competitive","1",32
"30","sujeto_0012643","competitive","2",32
"31","sujeto_0012643","competitive","3",32
"32","sujeto_0012643","competitive","4",32
"33","sujeto_0014011","competitive","1",15
"34","sujeto_0014011","competitive","2",32
"35","sujeto_0014011","competitive","3",32
"36","sujeto_0014011","competitive","4",32
"37","sujeto_0014011","individual","1",17
"38","sujeto_0014895","competitive","1",1
"39","sujeto_0014895","competitive","2",28
"40","sujeto_0014895","competitive","3",30
"41","sujeto_0014895","competitive","4",32
"42","sujeto_0014895","individual","1",31
"43","sujeto_0014895","individual","2",4
"44","sujeto_0014895","individual","3",2
"45","sujeto_0016883","competitive","1",28
"46","sujeto_0016883","competitive","2",32
"47","sujeto_0016883","competitive","3",32
"48","sujeto_0016883","competitive","4",32
"49","sujeto_0016883","individual","1",4
"50","sujeto_0020285","competitive","1",9
"51","sujeto_0020285","competitive","2",18
"52","sujeto_0020285","competitive","3",28
"53","sujeto_0020285","competitive","4",31
"54","sujeto_0020285","individual","1",23
"55","sujeto_0020285","individual","2",13
"56","sujeto_0020285","individual","3",4
"57","sujeto_0020285","individual","4",1
"58","sujeto_0020703","competitive","1",10
"59","sujeto_0020703","competitive","2",31
"60","sujeto_0020703","competitive","3",32
"61","sujeto_0020703","competitive","4",32
"62","sujeto_0020703","individual","1",22
"63","sujeto_0020703","individual","2",1
"64","sujeto_0020974","competitive","1",32
"65","sujeto_0020974","competitive","2",31
"66","sujeto_0020974","competitive","3",32
"67","sujeto_0020974","competitive","4",32
"68","sujeto_0020974","individual","2",1
"69","sujeto_0025043","competitive","1",17
"70","sujeto_0025043","competitive","2",16
"71","sujeto_0025043","competitive","3",23
"72","sujeto_0025043","competitive","4",30
"73","sujeto_0025043","individual","1",15
"74","sujeto_0025043","individual","2",16
