"","code","R1","R2","R3","R4"
"1","sujeto_0000621",32,32,32,30
"2","sujeto_0005719",24,25,25,26
"3","sujeto_0006562",28,31,30,31
"4","sujeto_0012643",32,32,32,32
"5","sujeto_0014011",27,29,28,27
"6","sujeto_0014895",24,24,21,22
"7","sujeto_0016883",29,31,32,32
"8","sujeto_0020285",28,24,18,16
"9","sujeto_0020703",26,26,27,26
"10","sujeto_0020974",32,32,32,31
"11","sujeto_0025043",31,29,16,10
"12","sujeto_0025948",24,20,15,8
"13","sujeto_0026622",27,30,27,22
"14","sujeto_0027033",32,32,32,32
"15","sujeto_0027042",30,31,26,18
"16","sujeto_0027510",32,31,21,14
"17","sujeto_0028207",29,30,24,21
"18","sujeto_0030383",21,32,32,31
"19","sujeto_0030459",32,32,31,32
"20","sujeto_0031826",21,17,19,15
"21","sujeto_0032413",28,23,19,10
"22","sujeto_0033050",29,28,28,25
"23","sujeto_0034539",29,29,29,21
"24","sujeto_0036567",27,28,27,28
"25","sujeto_0040017",27,30,26,28
"26","sujeto_0040081",32,32,32,32
"27","sujeto_0048205",25,25,25,26
"28","sujeto_0048533",31,32,31,32
"29","sujeto_0049193",23,25,22,14
"30","sujeto_0050473",32,32,32,32
"31","sujeto_0051018",30,27,27,28
"32","sujeto_0053568",32,28,28,27
"33","sujeto_0058378",32,32,32,32
"34","sujeto_005868",27,25,22,20
"35","sujeto_0065422",32,31,32,31
"36","sujeto_0066360",32,32,32,31
"37","sujeto_0067839",30,28,17,12
"38","sujeto_0068071",24,25,24,23
"39","sujeto_0068784",28,28,28,28
"40","sujeto_0071765",27,22,17,11
"41","sujeto_0073050",30,32,32,30
"42","sujeto_0073105",23,23,21,24
"43","sujeto_0073942",30,32,25,22
"44","sujeto_0074431",25,25,24,25
"45","sujeto_02de544a",30,31,22,16
"46","sujeto_06da9741",30,26,24,28
"47","sujeto_07280530",31,32,32,32
"48","sujeto_077f2b56",31,32,32,32
"49","sujeto_0bf947ec",32,32,31,32
"50","sujeto_0d6a2bd1",1,1,NA,NA
"51","sujeto_11124bad",32,32,32,32
"52","sujeto_151573d2",32,29,23,24
"53","sujeto_18c10e9c",29,27,21,20
"54","sujeto_1bb5ad4b",28,30,29,30
"55","sujeto_1d9a94b2",32,32,32,32
"56","sujeto_1fe7250f",29,27,28,19
"57","sujeto_2158631b",32,32,32,32
"58","sujeto_225a39e1",32,32,32,29
"59","sujeto_2608c5d2",25,24,26,26
"60","sujeto_2736348d",32,32,30,31
"61","sujeto_282108e8",30,28,23,24
"62","sujeto_2a9aaa08",31,30,6,6
"63","sujeto_2c6c72ad",32,32,32,32
"64","sujeto_2cd1c0e6",30,30,27,31
"65","sujeto_33dcff34",30,32,31,32
"66","sujeto_39b35dcb",31,32,32,32
"67","sujeto_3e78614c",25,26,24,23
"68","sujeto_4517150c",32,32,29,31
"69","sujeto_46315dbc",26,26,17,12
"70","sujeto_4ca6cef4",27,26,19,17
"71","sujeto_4e042fb0",32,31,31,32
"72","sujeto_5061298e",32,32,32,30
"73","sujeto_529b55b0",32,32,32,31
"74","sujeto_52c54ab9",31,32,31,30
"75","sujeto_587bbcbb",31,24,19,9
"76","sujeto_5fc6b519",31,32,28,22
"77","sujeto_61b0c637",29,28,30,28
"78","sujeto_63c82dc6",32,28,30,31
"79","sujeto_6462fbbc",30,29,31,29
"80","sujeto_66362819",31,32,30,31
"81","sujeto_665d6eab",25,25,20,19
"82","sujeto_685cae59",27,26,23,17
"83","sujeto_6fce57c3",30,32,16,17
"84","sujeto_725769f0",23,25,26,18
"85","sujeto_72b8e12c",32,31,32,32
"86","sujeto_774f4a36",24,25,23,24
"87","sujeto_7b0e6648",24,29,29,28
"88","sujeto_7e1d6f1a",30,31,24,14
"89","sujeto_80f4d7da",30,31,30,26
"90","sujeto_85db03a2",32,30,28,31
"91","sujeto_8e872371",32,31,8,2
"92","sujeto_96083b42",30,29,30,32
"93","sujeto_9ae17e76",32,32,26,24
"94","sujeto_9d0bd287",32,31,32,32
"95","sujeto_a90bad1a",27,21,16,9
"96","sujeto_acaff5ce",26,30,29,28
"97","sujeto_b3dd3930",31,31,32,32
"98","sujeto_b7fbb303",26,23,20,18
"99","sujeto_c28223ba",24,26,29,26
"100","sujeto_c36569e9",27,27,20,11
"101","sujeto_c3d9e000",26,24,21,18
"102","sujeto_c730bc55",32,28,23,17
"103","sujeto_c9ac0c57",32,32,32,31
"104","sujeto_cfeb32c5",32,32,32,31
"105","sujeto_d72d8a7c",28,25,24,24
"106","sujeto_dabe6acb",32,26,20,14
"107","sujeto_dcc3c5a9",21,27,26,19
"108","sujeto_dccc88fd",28,27,22,22
"109","sujeto_e1314c94",32,32,32,32
"110","sujeto_e29aeec5",32,31,32,31
"111","sujeto_e844afe8",32,31,32,29
"112","sujeto_e9306fb7",30,30,28,31
"113","sujeto_e97cf70e",32,32,32,31
"114","sujeto_eafb7359",25,21,18,2
"115","sujeto_efe9883f",32,32,31,32
"116","sujeto_fddffe87",25,24,25,25
