"codigo","Espectativa_propia","Espectativa_otros","Felicidad_1estrella","Felicidad_2estrellas ","Felicidad_3estrellas ","Felicidad_4estrellas ","Alivio_1estrella","Alivio_2estrellas","Alivio_3estrellas","Alivio_4estrellas","Vergüenza_1estrella","Vergüenza_2estrellas","Vergüenza_3estrellas","Vergüenza_4estrellas","Nerviosismo_1estrella","Nerviosismo_2estrellas","Nerviosismo_3estrellas","Nerviosismo_4estrellas","Tristeza_1estrella","Tristeza_2estrellas","Tristeza_3estrellas","Tristeza_4estrellas","Felicidad_bb","Felicidad_bm","Felicidad_mb","Felicidad_mm","Culpa_bb","Culpa_bm","Culpa_mb","Culpa_mm","Decepcion_bb","Decepcion_bm","Decepcion_mb","Decepcion_mm","Enojo_bb","Enojo_bm","Enojo_mb","Enojo_mm","Tristeza_bb","Tristeza_bm","Tristeza_mb","Tristeza_mm","Alivio_bb","Alivio_bm","Alivio_mb","Alivio_mm","Vergüenza_bb","Vergüenza_bm","Vergüenza_mb","Vergüenza_mm","Nerviosismo_bb","Nerviosismo_bm","Nerviosismo_mb","Nerviosismo_mm","Feliz","Enojada","Nerviosa","Triste","Culpable","Avergonzada","Decepcionada","Aliviada","Rendimiento_pos_propio","Rendimiento_pos_otros"
"sujeto_0022588",,,"8","6","2","1","8","6","2","0","0","0","2","3","1","1","5","7","0","0","0","0","5","8","0","2","0","0","0","0","3","0","7","5","4","0","7","6","0","0","0","0","7","8","0","6","0","0","5","0","2","0","4","0","6","0","4","0","0","5","0","3","2","5"
"sujeto_0041381",,,"4","3","3","3","6","6","5","5","3","3","4","4","4","5","5","5","1","1","1","1","4","6","3","5","4","2","1","2","3","3","5","3","4","2","5","4","1","1","4","2","2","5","1","4","0","0","0","0","2","2","5","3","1","4","8","0","0","4","3","0","3","5"
"sujeto_0053568",,,"6","5","4","3","7","7","5","3","0","1","2","3","1","2","4","6","0","0","0","0","4","7","1","2","0","0","7","5","0","0","7","5","0","0","2","1","0","0","2","1","7","8","0","4","0","0","2","1","0","0","4","2","8","0","7","0","0","3","1","7","4","6"
"sujeto_0020285",,,"5","7","6","4","8","5","3","0","0","3","5","8","3","4","6","8","0","0","0","0","6","7","0","0","0","0","0","0","0","0","8","8","0","0","8","8","0","0","8","8","8","8","0","2","0","0","8","0","0","0","8","0","8","0","4","0","0","2","0","0","1","5"
"sujeto_0032532",,,"5","4","3","0","7","5","4","0","1","2","2","4","3","4","4","6","0","0","0","1","4","4","3","4","0","0","1","0","0","0","2","1","0","0","1","0","0","0","0","0","3","3","0","2","0","0","2","0","1","1","2","1","0","0","6","3","2","7","1","0","4","6"
"sujeto_0027033",,,"1","0","1","1","7","7","7","6","0","1","0","1","1","1","2","3","5","5","5","5","2","2","2","3","4","4","5","5","4","2","7","5","1","2","4","1","2","3","2","1","1","4","0","2","5","1","4","0","1","4","7","2","2","5","6","5","5","8","7","0","2","5"
"sujeto_0027510",,,"3","4","6","6","6","4","2","2","1","1","4","5","1","1","1","1","1","1","1","1","4","6","0","1","0","1","1","0","6","0","7","5","0","0","4","1","0","0","2","1","6","7","1","1","0","0","6","3","0","0","0","0","3","0","1","0","0","1","4","1","4","6"
"sujeto_0048205",,,"4","4","4","4","3","3","4","4","3","2","2","2","2","2","2","4","0","0","0","0","5","4","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","5","4","0","0","1","0","0","0","0","0","4","0","6","0","0","1","0","0","4","7"
"sujeto_0062414",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","3","0","0","4","0","0","3","6"
"sujeto_0074535",6,7,"2","3","6","8","6","6","4","3","0","0","1","1","0","0","1","1","0","0","0","0","2","6","2","2","0","0","2","0","0","0","3","1","0","0","0","0","0","0","2","0","1","4","0","3","0","0","2","0","0","0","0","0","4","0","5","0","0","2","0","4","6","7"
