codigo,BB_grt_BM,BB,BM
sujeto_0020285,"0,2050160361","1,653216231","1,448200195"
sujeto_0025948,"-0,2931715501","0,3230878338","0,616259383"
sujeto_0026622,"1,811022293","0,3111329725","-1,499889318"
sujeto_0027510,"-0,04233579729","-0,7838705667","-0,7415347691"
sujeto_0031826,"1,752971291","1,003368282","-0,749603004"
sujeto_0032413,"-2,142073373","-0,9400033197","1,202070051"
sujeto_0071765,"0,3687205744","-0,1492876464","-0,5180082225"
sujeto_0073942,"-1,177667187","3,46685557","4,644522757"
sujeto_02de544a,"0,6224080017","1,6179662","0,9955581964"
sujeto_18c10e9c,"2,941566468","-1,267501486","-4,20906796"
sujeto_2a9aaa08,"0,4676840078","1,40721306","0,9395290519"
sujeto_46315dbc,"-0,566480347","1,999942265","2,566422612"
sujeto_4ca6cef4,"0,6409448202","0,4058070926","-0,235137727"
sujeto_587bbcbb,"-0,08522802752","1,136479478","1,221707507"
sujeto_665d6eab,"-0,3004482149","3,122976727","3,423424939"
sujeto_685cae59,"0,8555314842","0,07512102406","-0,7804104621"
sujeto_6fce57c3,"-0,6237027249","0,7740779012","1,397780625"
sujeto_725769f0,"0,7615815115","0,5115748533","-0,250006659"
sujeto_7e1d6f1a,"1,139007126","2,668997705","1,529990579"
sujeto_8e872371,"-1,070008822","0,07652625855","1,146535077"
sujeto_a90bad1a,"-4,371976022","-1,811371986","2,560604038"
sujeto_b7fbb303,"-3,67310505","3,409465301","7,082570348"
sujeto_c28223ba,"-0,04202925248","1,248307723","1,290336978"
sujeto_c3d9e000,"0,3047802578","0,441871176","0,137090917"
sujeto_dabe6acb,"-1,468193852","-0,5488552346","0,919338616"
sujeto_dcc3c5a9,"0,209745803","-0,602136155","-0,8118819593"
sujeto_eafb7359,"-1,215657011","-1,321760906","-0,1061038978"
sujeto_0000621,"-0,03643344619","-0,27076836","-0,2343349145"
sujeto_0005719,"0,4186120214","0,4238011341","0,005189118773"
sujeto_0006562,"-1,068281217","0,3317167918","1,39999801"
sujeto_0012643,"-1,060740109","-0,2443363175","0,8164037918"
sujeto_0014011,"0,09543319586","1,023386466","0,9279532683"
sujeto_0014895,"0,6803203792","0,9004026614","0,2200822859"
sujeto_0016883,"-0,7771459682","-0,3014984732","0,4756474955"
sujeto_0020703,"-0,04716907911","-0,167316596","-0,1201475185"
sujeto_0020974,"-0,6667233273","-0,09897501134","0,56774831"
sujeto_0027033,"-1,252880226","1,838716046","3,091596272"
sujeto_0027042,"-0,8845018489","0,9462058928","1,830707743"
sujeto_0028207,"-1,209304991","0,2586069632","1,467911954"
sujeto_0030383,"-0,5561556923","-0,2424625747","0,3136931156"
sujeto_0030459,"-0,3364032665","0,01967009397","0,356073363"
sujeto_0033050,"-0,03358192752","-0,04367868728","-0,01009675693"
sujeto_0034539,"-1,083061607","-0,3504589693","0,7326026384"
sujeto_0036567,"0,5921888903","0,1339569602","-0,4582319292"
sujeto_0040017,"0,3279788613","0,9898448526","0,6618659921"
sujeto_0040081,"-0,8225293163","1,336538326","2,15906764"
sujeto_0048205,"1,22079451","1,984546305","0,7637517953"
sujeto_0048533,"-0,3504699839","0,5197998442","0,8702698288"
sujeto_0050473,"0,2848066493","1,145984936","0,8611782875"
sujeto_0051018,"-0,275417781","0,4510027106","0,7264204906"
sujeto_0053568,"-1,312466672","-0,4808510306","0,8316156421"
sujeto_0058378,"0,09028161329","0,6351610188","0,5448794046"
sujeto_005868,"-0,06808739175","1,879398165","1,947485557"
sujeto_0065422,"-0,257603748","0,08873529086","0,3463390394"
sujeto_0066360,"-0,3673339447","-0,3497450442","0,01758890429"
sujeto_0068071,"0,1066219282","0,7006504104","0,5940284838"
sujeto_0068784,"0,5764343536","0,7273480128","0,1509136563"
sujeto_0073050,"0,4845683101","1,349428642","0,8648603369"
sujeto_0073105,"-2,113397121","-1,070015752","1,043381364"
sujeto_0074431,"-0,5737628791","0,4375493782","1,011312253"
sujeto_06da9741,"-0,1909528621","0,1329305748","0,3238834389"
sujeto_07280530,"0,177409461","1,573246276","1,395836809"
sujeto_077f2b56,"-0,2669439035","0,7834062404","1,050350141"
sujeto_0bf947ec,"-1,014271643","0,6127327267","1,62700437"
sujeto_11124bad,"-0,1878161226","0,2499210406","0,4377371633"
sujeto_151573d2,"-0,4503812338","-0,5431777639","-0,09279653"
sujeto_1bb5ad4b,"-0,9583427078","0,3643294593","1,322672172"
sujeto_1d9a94b2,"-2,642834415","1,229832595","3,872667009"
sujeto_2158631b,"-0,8833325179","0,5971995916","1,480532101"
sujeto_225a39e1,"-0,1615988551","0,0678564694","0,2294553248"
sujeto_2608c5d2,"-0,4378854988","0,8283336493","1,266219148"
sujeto_2736348d,"-0,5965895612","0,9168264012","1,513415959"
sujeto_282108e8,"-1,266761783","0,2024058445","1,46916763"
sujeto_2c6c72ad,"3,496839876","0,842385138","-2,654454745"
sujeto_2cd1c0e6,"-2,356871571","-1,124730244","1,232141324"
sujeto_32e036e7,"-0,009349717641","0,5148690316","0,5242187502"
sujeto_33dcff34,"0,3089140918","1,508547425","1,199633333"
sujeto_39b35dcb,"-0,2406593961","-0,4297529454","-0,1890935492"
sujeto_3e78614c,"-0,08606311797","1,309244344","1,395307459"
sujeto_4517150c,"0,6394324383","0,1335655684","-0,5058668692"
sujeto_4541440b,"0,4827869781","-1,280831651","-1,763618629"
sujeto_4e042fb0,"-0,9074448061","0,1448263941","1,052271203"
sujeto_5061298e,"-0,365386271","0,3632794373","0,728665708"
sujeto_529b55b0,"-0,9357583644","0,3249646233","1,260722995"
sujeto_52c54ab9,"-0,2789522987","1,565943472","1,84489577"
sujeto_5fc6b519,"-0,2088692754","0,4311512052","0,6400204791"
sujeto_61b0c637,"0,3013963143","-0,69869168","-1,000087993"
sujeto_63c82dc6,"-0,3707153517","0,7107011798","1,081416533"
sujeto_6462fbbc,"0,03098594152","-0,07193741183","-0,1029233458"
sujeto_649d6cd3,"-1,426159837","0,4738930158","1,900052851"
sujeto_66362819,"0,5577942943","1,202371296","0,6445770026"
