codigo,BB_grt_BM,BB,BM
sujeto_0020285,"-0,1632291696","0,2036394359","0,3668686054"
sujeto_0025948,"-0,8197134304","1,83264034","2,652353768"
sujeto_0026622,"1,174172695","1,298330985","0,1241582919"
sujeto_0027510,"0,1499877619","-1,675702339","-1,8256901"
sujeto_0031826,"1,761150038","1,194770764","-0,5663792738"
sujeto_0032413,"-1,455250137","-0,2130939065","1,242156231"
sujeto_0071765,"0,3898058166","0,8553834854","0,4655776671"
sujeto_0073942,"0,6373003175","3,064621891","2,427321574"
sujeto_02de544a,"-0,6299569317","1,330969605","1,960926536"
sujeto_18c10e9c,"1,083488154","0,2320845282","-0,851403623"
sujeto_2a9aaa08,"2,171920738","2,129778014","-0,04214272451"
sujeto_46315dbc,"0,08447775888","2,992594642","2,908116888"
sujeto_4ca6cef4,"0,3130131083","0,8108441462","0,497831036"
sujeto_587bbcbb,"-1,927941494","1,624830181","3,552771675"
sujeto_665d6eab,"-0,3067894498","-0,1439083027","0,1628811457"
sujeto_685cae59,"-0,542511459","0,9811400358","1,523651492"
sujeto_6fce57c3,"0,09104717839","0,321565755","0,2305185765"
sujeto_725769f0,"0,9092531117","0,9004243","-0,008828810384"
sujeto_7e1d6f1a,"1,085655439","2,439831888","1,354176449"
sujeto_8e872371,"0,5195717858","0,9248826714","0,4053108834"
sujeto_a90bad1a,"0,6488932346","-0,02458106816","-0,6734743028"
sujeto_b7fbb303,"-6,60908143","-0,2628733587","6,346208074"
sujeto_c28223ba,"-0,6705205083","0,7300638549","1,400584361"
sujeto_c3d9e000,"0,2589863959","0,4710142265","0,2120278295"
sujeto_dabe6acb,"0,2077620942","1,946284408","1,738522315"
sujeto_dcc3c5a9,"-0,01283856296","0,7604988687","0,7733374304"
sujeto_eafb7359,"-2,049551421","-1,60088803","0,4486633914"
sujeto_0000621,"-1,375568356","-0,009203361654","1,366364993"
sujeto_0005719,"0,8393145217","0,04343212694","-0,7958823949"
sujeto_0006562,"-1,418666163","1,15456987","2,573236035"
sujeto_0012643,"-1,126913205","0,3553074641","1,48222067"
sujeto_0014011,"0,4757566896","1,056604786","0,5808480965"
sujeto_0014895,"-0,1417822534","1,259740361","1,401522615"
sujeto_0016883,"-0,537282283","-1,039288151","-0,5020058682"
sujeto_0020703,"-0,1437170762","-0,1918051074","-0,04808803077"
sujeto_0020974,"-1,261922764","0,657744347","1,91966711"
sujeto_0027033,"-0,8115138347","0,9717382112","1,783252044"
sujeto_0027042,"0,2386509276","0,4113136057","0,1726626767"
sujeto_0028207,"0,7788235208","1,391844982","0,6130214617"
sujeto_0030383,"-0,9827749925","-0,2945464564","0,6882285365"
sujeto_0030459,"0,5274225318","-1,031573568","-1,5589961"
sujeto_0033050,"0,07000142105","0,05401182764","-0,01598959381"
sujeto_0034539,"-3,428607149","-1,64896696","1,779640189"
sujeto_0036567,"0,8375354586","0,4223358644","-0,4151995948"
sujeto_0040017,"0,1491107713","1,91711009","1,767999322"
sujeto_0040081,"-0,04016406782","0,5085073131","0,5486713807"
sujeto_0048205,"-0,1409480816","2,785025748","2,925973831"
sujeto_0048533,"0,1062534814","1,594455745","1,488202261"
sujeto_0050473,"0,2823283793","1,020717017","0,7383886368"
sujeto_0051018,"-0,3860352988","0,6242026573","1,010237955"
sujeto_0053568,"0,001891408386","0,5168822467","0,5149908386"
sujeto_0058378,"-2,685407433","-0,5675392138","2,117868216"
sujeto_005868,"-0,2154099143","0,8048163634","1,020226277"
sujeto_0065422,"-0,7411653256","-0,02235097742","0,718814349"
sujeto_0066360,"-0,4952141401","0,1472869437","0,6425010838"
sujeto_0068071,"-0,4352200708","0,815230119","1,25045019"
sujeto_0068784,"-0,7070055637","1,02971549","1,736721056"
sujeto_0073050,"-0,05978807286","0,7239242458","0,7837123187"
sujeto_0073105,"-1,001058314","-0,4610648345","0,539993478"
sujeto_0074431,"-0,1940565141","1,138921304","1,332977819"
sujeto_06da9741,"-1,337880581","0,7896447905","2,127525371"
sujeto_07280530,"0,8718438206","2,254558174","1,382714354"
sujeto_077f2b56,"-0,2966691362","-0,01712251317","0,2795466227"
sujeto_0bf947ec,"-0,6799422031","1,533802256","2,213744456"
