codigo,MB_grt_MM,MB,MM
sujeto_0020285,"-1,10238108","1,293614978","2,395996057"
sujeto_0025948,"-1,302722442","-0,7391699155","0,5635525242"
sujeto_0026622,"0,7716723","-1,830998869","-2,602671173"
sujeto_0027510,"-0,9635095847","-2,757151914","-1,79364233"
sujeto_0031826,"0,6419485222","0,686150733","0,04420221262"
sujeto_0032413,"0,3144714738","1,992657478","1,678186006"
sujeto_0071765,"1,39983091","-0,7329750826","-2,132805998"
sujeto_0073942,"-0,7626033897","0,570855118","1,333458512"
sujeto_02de544a,"0,8017108319","-0,4247901564","-1,226500984"
sujeto_18c10e9c,"-1,487828046","-0,2935228975","1,194305147"
sujeto_2a9aaa08,"1,530072013","-0,1636941168","-1,693766127"
sujeto_46315dbc,"0,2062239065","0,8139884076","0,6077645024"
sujeto_4ca6cef4,"0,8997748438","-0,9241035154","-1,823878361"
sujeto_587bbcbb,"0,2174974919","-0,1918030609","-0,4093005537"
sujeto_665d6eab,"-4,497018101","-0,9650061265","3,532011967"
sujeto_685cae59,"-5,544948918","-2,288859186","3,256089758"
sujeto_6fce57c3,"0,8317581125","0,6184063492","-0,2133517625"
sujeto_725769f0,"-1,09586417","-0,424673079","0,6711910902"
sujeto_7e1d6f1a,"-0,106778254","0,6396846924","0,7464629475"
sujeto_8e872371,"-0,574803799","-1,240865086","-0,6660612876"
sujeto_a90bad1a,"0,07159519593","-0,7022292251","-0,7738244193"
sujeto_b7fbb303,"-1,395610401","6,299919411","7,695529809"
sujeto_c28223ba,"1,39480245","2,36507685","0,9702744002"
sujeto_c3d9e000,"1,762012036","0,7190694529","-1,042942585"
sujeto_dabe6acb,"3,048236301","4,045554471","0,9973181688"
sujeto_dcc3c5a9,"0,3602167664","-0,2557653004","-0,6159820628"
sujeto_eafb7359,"0,2545048506","0,08407706447","-0,170427787"
sujeto_0000621,"-0,6723110566","-0,3773731251","0,2949379327"
sujeto_0005719,"-0,4919919108","-0,3768002311","0,1151916825"
sujeto_0006562,"1,871121154","1,342486695","-0,5286344603"
sujeto_0012643,"0,8833458853","-0,04460994905","-0,9279558322"
sujeto_0014011,"-0,3763982786","0,0455926321","0,4219909106"
sujeto_0014895,"-0,3089217199","0,4400054277","0,7489271482"
sujeto_0016883,"0,8986687208","-1,288001219","-2,186669945"
sujeto_0020703,"-1,408364139","-1,032057037","0,3763071071"
sujeto_0020974,"-4,496205517","-0,158612263","4,337593255"
sujeto_0027033,"0,1057569382","1,165980884","1,060223943"
sujeto_0027042,"-0,8725234423","1,328000502","2,200523951"
sujeto_0028207,"-1,122973531","0,07142043942","1,194393968"
sujeto_0030383,"0,04799280781","1,182369624","1,13437682"
sujeto_0030459,"0,5198820497","1,052844047","0,5329619957"
sujeto_0033050,"0,8624490943","-0,03491661404","-0,8973657052"
sujeto_0034539,"-1,30019093","-0,648092073","0,6520988573"
sujeto_0036567,"0,8862042287","-0,4117526867","-1,297956912"
sujeto_0040017,"-0,7021457004","-0,3152755496","0,3868701508"
sujeto_0040081,"0,003845336545","0,8341827015","0,8303373674"
sujeto_0048205,"0,7385287421","0,2745325351","-0,4639962077"
sujeto_0048533,"0,6124086801","0,7462736877","0,133865007"
sujeto_0050473,"0,4246602207","0,9295855901","0,5049253684"
sujeto_0051018,"0,7228100112","-0,4230384816","-1,145848494"
sujeto_0053568,"0,2198453553","-0,7746205183","-0,9944658735"
sujeto_0058378,"-0,04248522131","1,120304659","1,162789881"
sujeto_005868,"-0,7302223895","-0,2178804239","0,5123419683"
sujeto_0065422,"-0,1172590231","-0,08877324195","0,02848578089"
sujeto_0066360,"-0,2539393048","-0,4543189225","-0,2003796163"
sujeto_0068071,"-0,01915116817","-0,3922367503","-0,3730855826"
sujeto_0068784,"0,6744087775","-1,857167409","-2,531576194"
sujeto_0073050,"1,505593223","1,160721437","-0,344871789"
sujeto_0073105,"0,8995588815","-0,2620674892","-1,161626372"
sujeto_0074431,"-0,2067093767","-0,9518751062","-0,7451657307"
sujeto_06da9741,"0,3211178866","0,7034664569","0,3823485696"
sujeto_07280530,"0,2111148515","1,673128873","1,462014022"
sujeto_077f2b56,"-0,3166240059","-0,7280225049","-0,4113984992"
sujeto_0bf947ec,"-0,7295872889","0,2770032482","1,006590539"
sujeto_11124bad,"0,1271705541","0,1726326954","0,04546214092"
sujeto_151573d2,"0,6957463985","0,4584565887","-0,237289811"
sujeto_1bb5ad4b,"-0,2045345324","-0,7002733257","-0,4957387963"
sujeto_1d9a94b2,"0,1587612169","-1,288864866","-1,447626087"
sujeto_2158631b,"-1,556854753","1,95902211","3,515876871"
sujeto_225a39e1,"-0,9690526098","-0,02614259067","0,9429100227"
sujeto_2608c5d2,"0,3674998258","2,223948026","1,856448195"
sujeto_2736348d,"0,03124415911","-0,4073982347","-0,4386423926"
sujeto_282108e8,"0,6940899586","0,8227596789","0,1286697175"
sujeto_2c6c72ad,"0,3738182388","-1,167896635","-1,541714873"
sujeto_2cd1c0e6,"0,4957809616","0,1700227361","-0,3257582263"
sujeto_32e036e7,"-0,1060548006","-0,7620654749","-0,6560106714"
sujeto_33dcff34,"-0,6663933244","-0,4411396511","0,2252536732"
sujeto_39b35dcb,"0,05803876258","-0,3533669523","-0,411405715"
sujeto_3e78614c,"-3,033071418","0,9960263471","4,029097757"
sujeto_4517150c,"0,03842576823","-0,6097283074","-0,6481540709"
sujeto_4541440b,"-3,197256296","-1,625497053","1,571759242"
sujeto_4e042fb0,"-0,1088067115","0,1333776149","0,2421843258"
sujeto_5061298e,"-0,1167903032","-0,001732337714","0,1150579615"
sujeto_529b55b0,"-1,760264483","-0,1394234889","1,620840996"
sujeto_52c54ab9,"-2,051691847","0,3185368983","2,370228738"
sujeto_5fc6b519,"0,9800402477","-0,2231244654","-1,203164712"
sujeto_61b0c637,"2,157548111","1,782822925","-0,3747251899"
sujeto_63c82dc6,"-2,225046363","-0,06986667146","2,155179688"
sujeto_6462fbbc,"0,4029576027","-0,3797772213","-0,782734823"
sujeto_649d6cd3,"-0,1378676863","-0,608171655","-0,4703039684"
sujeto_66362819,"0,5501459266","-0,4691818803","-1,019327807"
sujeto_72b8e12c,"0,737273682","-0,5380953666","-1,275369049"
sujeto_74a044c9,"0,3938425522","-0,5532433539","-0,9470859085"
sujeto_774f4a36,"-1,119136579","-0,8777334919","0,241403091"
sujeto_7b0e6648,"-0,4090158645","-0,2763850719","0,1326307937"
sujeto_80570e8a,"-0,6961323291","0,09195750681","0,7880898362"
sujeto_80f4d7da,"0,4044710553","-0,2259388026","-0,6304098597"
sujeto_85db03a2,"-0,8563934419","-0,2374973229","0,6188961202"
sujeto_96083b42,"0,0546665059","1,680463074","1,625796573"
sujeto_9ae17e76,"0,6323128781","0,9854898628","0,3531769865"
sujeto_9d0bd287,"0,302654325","-0,3538356791","-0,6564900036"
sujeto_acaff5ce,"0,6759560944","-0,1811036723","-0,8570597682"
sujeto_c36569e9,"-0,1615580836","1,159553178","1,321111264"
sujeto_c730bc55,"0,1381811442","1,166358925","1,028177781"
sujeto_c9ac0c57,"0,6218530602","0,4964615198","-0,1253915394"
sujeto_cfeb32c5,"-0,2393184023","-0,07988678405","0,15943162"
sujeto_d04e11ed,"1,421555146","0,9227437564","-0,4988113899"
sujeto_d72d8a7c,"-1,213992587","0,07770609279","1,291698679"
sujeto_dccc88fd,"-1,634194546","-2,007606131","-0,373411585"
sujeto_e1314c94,"-0,3175790014","-0,3935148684","-0,07593586628"
sujeto_e29aeec5,"0,274116866","2,166684696","1,892567833"
sujeto_e844afe8,"0,2382716366","-0,4479108457","-0,6861824796"
sujeto_e9306fb7,"0,6106347003","0,6450313591","0,03439665454"
sujeto_e97cf70e,"-0,6875086605","1,514947797","2,202456453"
sujeto_e9ec652d,"0,009325069941","0,04552021056","0,03619513754"
sujeto_efe9883f,"0,9226427547","-0,421158601","-1,343801358"
sujeto_fddffe87,"-0,1396730392","0,6409843163","0,7806573562"
