"variable_x","variable_y","r","p_valor","n","metodo"
"Feliz","PCA",-0.0141565251197893,0.0751564126518452,15802,"pearson"
"Feliz","BECK_SESION",0.0477595608895187,1.89435149268297e-09,15802,"pearson"
"Enojada","PCA",0.221475863432493,7.88532354361533e-175,15802,"pearson"
"Enojada","BECK_SESION",0.235613756375141,2.98646151862239e-198,15802,"pearson"
"Nerviosa","PCA",0.554347105887811,0,15802,"pearson"
"Nerviosa","BECK_SESION",0.489057688447596,0,15802,"pearson"
"Triste","PCA",0.201708989561889,9.67316193741324e-145,15802,"pearson"
"Triste","BECK_SESION",0.218131364346365,1.59913810061208e-169,15802,"pearson"
"Culpable","PCA",0.232010883095908,3.94941929818934e-192,15802,"pearson"
"Culpable","BECK_SESION",0.152589451847357,6.15367667280616e-83,15802,"pearson"
"Avergonzada","PCA",0.54329983982725,0,15802,"pearson"
"Avergonzada","BECK_SESION",0.495416156082883,0,15802,"pearson"
"Decepcionada","PCA",0.230670523463565,7.03198059441152e-190,15802,"pearson"
"Decepcionada","BECK_SESION",0.201425047976579,2.48620233920002e-144,15802,"pearson"
"Aliviada","PCA",-0.129589852260177,3.81758964596318e-60,15802,"pearson"
"Aliviada","BECK_SESION",-0.116488672993993,7.23180001369772e-49,15802,"pearson"
