"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"00001","","0","1","1","10.564538002","direct","1","1","2","¿Cuánto pesa una moneda 
de un peso uruguayo?","4.5 g","3.5 g","left","1","1","1","individual","right","1.37693309784","11.9415168762","3.62306690216","15.7063019276","3.14118599892","18.8475499153","2.85881400108","21.7514648438","22.7539460659","22.8020808697","25.8050420284","0","25.8192019463","28.8260419369",""
"00001","","0","2","2","28.9715120792","inverse","3","1","3","¿Quién escribió Pinocho?","Malluti","Collodi","right","1","1","0","competitive","left","2.28096699715","31.2525548935","2.71903300285","34.1306710243","2.75585603714","36.8865709305","3.24414396286","40.1822428703","41.1850068569","41.2671198845","44.2699480057","0","44.2845959663","47.2914688587",""
"00001","","1","1","3","751.933845997","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.27365708351","754.207545996","2.72634291649","757.087621927","4.25788903236","761.345553875","1.74211096764","763.138242006","764.166538","764.238721848","767.241698027","0","767.256839991","769.419342041","47.3059060574"
"00001","","1","2","4","769.559578896","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.43693900108","771.996578932","2.56306099892","774.727452993","3.88608312607","778.613605022","2.11391687393","780.780073881","782.657935858","782.731384039","785.734351873","0","785.749904871","787.842665911",""
"00001","","1","3","5","787.987287045","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","individual","right","2.04127311707","790.028629065","2.95872688293","793.122760057","3.25278997421","796.375609875","2.74721002579","799.173373938","800.785021067","800.82404995","803.827022076","1","803.842256069","808.117946863",""
"00001","","1","4","6","808.243620872","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.80589199066","810.049574852","3.19410800934","813.399837017","3.81364011765","817.213537931","2.18635988235","819.448760033","820.653523922","820.733682871","823.736662865","1","823.750544071","827.201952934",""
"00001","","1","5","7","827.33839488","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.28511595726","829.623574018","2.71488404274","832.524448872","2.60804891586","835.132565022","3.39195108414","838.576721907","840.098155975","840.177778959","843.180757046","1","843.194875956","850.231565952",""
"00001","","1","6","8","850.384423971","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.82003688812","852.204529047","3.17996311188","855.537694931","4.96380400658","860.50156188","1.03619599342","861.589366913","862.644171","862.722642899","865.723350048","0","865.739758015","873.366327047",""
"00001","","1","7","9","873.508965015","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","left","1.6065299511","875.115536928","3.3934700489","878.649986029","3.55345606804","882.203500032","2.44654393196","884.700835943","886.564866066","886.602020025","889.604989052","1","889.619071007","895.380089998",""
"00001","","1","8","10","895.521327972","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","individual","left","2.23223590851","897.753608942","2.76776409149","900.677850008","2.52665305138","903.204568863","3.47334694862","906.728237867","908.172524929","908.212916851","911.215883017","0","911.230833054","917.330196857",""
