"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"s00105","1","1","1","1","41.7322809696","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.0301220417","43.7624487877","2.9698779583","46.9033179283","5.42814517021","52.3315107822","0.571854829788","52.9399518967","53.9682438374","54.0404160023","57.043312788","0","57.0574748516","59.2200098038",""
"s00105","1","1","2","2","59.3592708111","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","","2.2331469059","61.5924828053","2.7668530941","64.5114159584","6","70.5115418434","0","70.5322518349","72.4102818966","72.4830667973","75.4860379696","0","75.4998979568","77.5926589966",""
"s00105","1","1","3","3","77.7186908722","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.00978398323","79.7285468578","2.99021601677","82.8737468719","3.58269405365","86.4565010071","2.41730594635","88.923886776","90.535558939","90.6089248657","93.6118988991","1","93.6260788441","97.9044079781",""
"s00105","1","1","4","4","98.0278389454","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.38259720802","100.410501003","2.61740279198","103.199998856","3.05543994904","106.255504847","2.94456005096","109.250863791","110.455652952","110.535985947","113.538945913","1","113.553113937","117.007026911",""
"s00105","1","1","5","5","117.138439894","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","2.24000000954","119.378508806","2.75999999046","122.308539867","4.27079486847","126.579370975","1.72920513153","128.361645937","129.883008003","129.962574959","132.965511799","1","132.980626822","140.016306877",""
"s00105","1","1","6","6","140.148651838","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","3.18476486206","143.333459854","1.81523513794","145.3229599","5.54751420021","150.870533943","0.452485799789","151.373339891","152.428187847","152.507049799","155.508334875","0","155.523837805","163.150365829",""
"s00105","1","1","7","7","163.292462826","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","2.16007995605","165.452586889","2.83992004395","168.450163841","3.84932589531","172.29953289","2.15067410469","174.484586954","176.348582983","176.419373989","179.422330856","1","179.437415838","185.198426008",""
"s00105","1","1","8","8","185.338303804","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","2.3082139492","187.646578789","2.6917860508","190.495997906","4.68753194809","195.183590889","1.31246805191","196.546603918","197.990886927","198.064825773","201.067806959","0","201.0822649","207.181574821",""
"s00105","1","1","9","9","207.370188951","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.03237104416","209.402621984","2.96762895584","212.522249937","5.44526815414","217.967557907","0.554731845856","218.55850482","220.108016968","220.192657948","223.195648909","1","223.210079908","229.257356882",""
"s00105","1","1","10","10","229.394209862","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","2.42327785492","231.817531824","2.57672214508","234.551512957","6","240.551648855","0","240.569271803","242.136332989","242.203722954","245.206646919","0","245.22102499","252.292424917",""
"s00105","1","1","11","11","252.442945004","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","2.98357605934","255.426561832","2.01642394066","257.594260931","4.88232016563","262.476620913","1.11767983437","263.647745848","265.329765797","265.398374796","268.400348902","0","268.415759802","272.149060965",""
