"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_d056f0c3","1","1","1","1","894.079766989","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.62512207031","896.704951048","2.37487792969","899.246955156","4.29105710983","903.538055182","1.70894289017","905.303009033","906.331310034","906.404339075","909.407313108","0","909.421061039","911.583594084",""
"sujeto_d056f0c3","1","1","2","2","911.723016024","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.16517686844","912.888257027","3.83482313156","916.877730131","4.40556907654","921.283339024","1.59443092346","922.927936077","924.805860043","924.87810111","927.881098032","0","927.895796061","929.988556147",""
"sujeto_d056f0c3","1","1","3","3","930.148744106","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.52711081505","932.675980091","2.47288918495","935.304996014","3.22959804535","938.534658194","2.77040195465","941.33874011","942.950415134","943.023696184","946.026698112","1","946.041030169","950.319384098",""
"sujeto_d056f0c3","1","1","4","4","950.473787069","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.33101010323","952.804862022","2.66898989677","955.629590034","3.62327384949","959.252926111","2.37672615051","961.680803061","962.885547161","962.965057135","965.968024015","1","965.982508183","969.436429977",""
"sujeto_d056f0c3","1","1","5","5","969.586436987","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.67066597939","971.25714612","3.32933402061","974.742266178","2.40389895439","977.146202087","3.59610104561","980.792559147","982.313971996","982.390944004","985.393838167","1","985.407535076","992.44423008",""
"sujeto_d056f0c3","1","1","6","6","992.575168133","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.46826314926","994.043488979","3.53173685074","997.721153975","2.58938407898","1000.31059599","3.41061592102","1003.7712872","1004.82612014","1004.90657616","1007.90954018","0","1007.92290115","1015.54950714",""
"sujeto_d056f0c3","1","1","7","7","1015.69155002","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.28423500061","1016.97582817","3.71576499939","1020.832623","2.47928309441","1023.31196809","3.52071690559","1026.86571717","1028.72976017","1028.80188918","1031.80484605","1","1031.81906509","1037.58007812",""
"sujeto_d056f0c3","1","1","8","8","1037.72104812","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.13011097908","1038.85120106","3.86988902092","1042.87578321","2.52850914001","1045.40433908","3.47149085999","1048.91114116","1050.35480714","1050.42959809","1053.42984509","0","1053.44751811","1059.54521799",""
"sujeto_d056f0c3","1","1","9","9","1059.68182302","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.46769499779","1061.14956117","3.53230500221","1064.82277608","5.19887089729","1070.02171516","0.801129102707","1070.87504911","1072.42452216","1072.50810719","1075.51107597","1","1075.525594","1081.57285404",""
"sujeto_d056f0c3","1","1","10","10","1081.72966099","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","1.07924008369","1082.80894804","3.92075991631","1086.88461399","6","1092.88477397","0","1092.90043616","1094.46886706","1094.55373907","1097.55676103","0","1097.5705781","1104.64421415",""
"sujeto_d056f0c3","1","1","11","11","1104.78961301","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.50366187096","1106.29334807","3.49633812904","1109.94683003","2.65556502342","1112.60246515","3.34443497658","1115.99763107","1117.67968798","1117.76563907","1120.76861","0","1120.78394604","1124.51727605",""
"sujeto_d056f0c3","1","1","12","12","1124.66726613","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","0.924408912659","1125.5917542","4.07559108734","1129.80647397","2.3182721138","1132.12478805","3.6817278862","1135.85796213","1137.23070407","1137.309659","1140.31263614","0","1140.32697201","1143.1016221",""
"sujeto_d056f0c3","1","1","13","13","1143.22814202","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.59776186943","1144.825948","3.40223813057","1148.38372612","3.92826199532","1152.31203103","2.07173800468","1154.43458104","1155.51383805","1155.585778","1158.58877611","0","1158.60346913","1162.44448209",""
"sujeto_d056f0c3","1","1","14","14","1162.62419319","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.17000293732","1163.79426003","3.82999706268","1167.77785611","3.05746793747","1170.83536911","2.94253206253","1173.82829118","1175.28611016","1175.36237216","1178.36534905","1","1178.38012218","1186.15308714",""
"sujeto_d056f0c3","1","1","15","15","1186.29956007","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.17105793953","1187.47069716","3.82894206047","1191.45669103","4.11103081703","1195.56779313","1.88896918297","1197.49135017","1198.5401721","1198.62622404","1201.62919998","1","1201.64249015","1208.33334517",""
"sujeto_d056f0c3","1","1","16","16","1208.47721505","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","left","1.27374601364","1209.75103402","3.72625398636","1213.63093305","4.38723683357","1218.01821208","1.61276316643","1219.6842041","1221.4237771","1221.50140715","1224.5043931","0","1224.5198102","1227.98034",""
"sujeto_d056f0c3","1","1","17","17","1228.11989498","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","individual","right","1.47942709923","1229.59938717","3.52057290077","1233.27882099","3.37055206299","1236.64941311","2.62944793701","1239.32989216","1240.36891007","1240.41428113","1243.41729999","0","1243.43193913","1248.24156904",""
"sujeto_d056f0c3","1","1","18","18","1248.38595819","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","1.99970602989","1250.38574219","3.00029397011","1253.55517316","3.45155215263","1257.00678897","2.54844784737","1259.60768104","1261.56376719","1261.64302802","1264.6459651","0","1264.65946007","1268.26198316",""
"sujeto_d056f0c3","1","1","19","19","1268.39467502","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","right","2.19531989098","1270.59005904","2.80468010902","1273.56718802","3.39591002464","1276.96315908","2.60408997536","1279.60132813","1281.3454411","1281.41919899","1284.4221611","1","1284.4374671","1288.91191912",""
"sujeto_d056f0c3","1","1","20","20","1289.0578742","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.07742810249","1290.1353662","3.92257189751","1294.20992517","2.97846102715","1297.18842697","3.02153897285","1300.24384212","1302.18317413","1302.26188707","1305.26484418","1","1305.27939606","1309.50819707",""
"sujeto_d056f0c3","1","1","21","21","1309.65005517","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","1.84762716293","1311.49775314","3.15237283707","1314.82224202","3.37457108498","1318.19685817","2.62542891502","1320.87287307","1322.38774419","1322.47467518","1325.47766614","0","1325.49223399","1332.61489415",""
"sujeto_d056f0c3","1","1","22","22","1332.75994015","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","left","1.32911109924","1334.08909917","3.67088890076","1337.90183902","2.51929593086","1340.4211812","3.48070406914","1343.95199919","1345.19408798","1345.26894808","1348.27193809","0","1348.28762102","1351.52392006",""
"sujeto_d056f0c3","1","1","23","23","1351.67261815","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","right","1.18276000023","1352.85541916","3.81723999977","1356.8267262","4.20872807503","1361.03549409","1.79127192497","1362.86189008","1364.12313008","1364.19679403","1367.19977808","1","1367.2140131","1371.01578712",""
"sujeto_d056f0c3","1","1","24","24","1371.1682992","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","right","1.26436710358","1372.43273211","3.73563289642","1376.32156014","3.25824213028","1379.57986212","2.74175786972","1382.37242413","1384.13314605","1384.20690107","1387.20986915","0","1387.22439003","1393.95949411",""
"sujeto_d056f0c3","1","1","25","25","1394.10987401","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","competitive","right","1.65619897842","1395.76613903","3.34380102158","1399.26779819","3.93039512634","1403.19823313","2.06960487366","1405.31769705","1407.31300211","1407.3858211","1410.38881302","1","1410.40329313","1415.94613409",""
"sujeto_d056f0c3","1","1","26","26","1416.09108806","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","right","1.16436195374","1417.2555151","3.83563804626","1421.24428701","2.59822392464","1423.84257197","3.40177607536","1427.29593515","1428.6539681","1428.73075604","1431.73375916","1","1431.74826503","1433.78296399",""
"sujeto_d056f0c3","1","1","27","27","1433.93445516","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","competitive","right","1.20330309868","1435.13780618","3.79669690132","1439.10530114","2.5495121479","1441.65487313","3.4504878521","1445.15511012","1446.90975213","1446.99060416","1449.99359703","1","1450.00824118","1457.40460515",""
