"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_0029146","1","1","1","1","607.926061869","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","individual","right","2.02091002464","609.947071075","2.97908997536","613.114282846","3.81663107872","616.93095994","2.18336892128","619.164490938","620.192756891","620.232249022","623.235199928","0","623.249265909","625.411756039",""
"sujeto_0029146","1","1","2","2","625.551313877","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","individual","left","1.71663093567","627.268024921","3.28336906433","630.689152002","3.75876116753","634.447985888","2.24123883247","636.723454952","638.600035906","638.640927076","641.643871069","0","641.65887785","643.751652956",""
"sujeto_0029146","1","1","3","3","643.893352985","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","individual","right","2.20359277725","646.097014904","2.79640722275","649.031832933","3.50910782814","652.541008949","2.49089217186","655.064020872","656.675674915","656.715437889","659.718404055","1","659.732409954","664.010733843",""
"sujeto_0029146","1","1","4","4","664.133823872","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","individual","left","2.10916090012","666.243047953","2.89083909988","669.308207035","3.59361314774","672.901855946","2.40638685226","675.343663931","676.54805398","676.595093012","679.598031044","0","679.611976862","683.065877914",""
"sujeto_0029146","1","1","5","5","683.229622841","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","individual","left","1.1963160038","684.426002979","3.8036839962","688.402375937","3.04252004623","691.444939852","2.95747995377","694.452986956","695.974367857","696.020685911","699.023668051","1","699.038589001","706.075281858",""
"sujeto_0029146","1","1","6","6","706.223370075","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","individual","left","2.15555095673","708.378993034","2.84444904327","711.381187916","3.74975085258","715.131000042","2.25024914742","717.431699991","718.486515999","718.533040047","721.536012888","0","721.550436974","729.177020073",""
"sujeto_0029146","1","1","7","7","729.300955057","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","right","1.49200201035","730.793035984","3.50799798965","734.460054874","4.08888292313","738.549000025","1.91111707687","740.508491993","742.372071981","742.409656048","745.412631989","1","745.426756859","751.187754869",""
"sujeto_0029146","1","1","8","8","751.378465891","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","individual","right","1.75045394897","753.128980875","3.24954605103","756.554229021","4.80466604233","761.358938932","1.19533395767","762.605655909","764.049962997","764.089722872","767.092679977","0","767.106812954","773.206179857",""
"sujeto_0029146","1","1","9","9","773.345180988","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","individual","left","1.65174508095","774.996974945","3.34825491905","778.514993906","3.62892103195","782.14398694","2.37107896805","784.549393892","786.098883867","786.150425911","789.153411865","1","789.167564869","795.214846849",""
"sujeto_0029146","1","1","10","10","795.385967016","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","individual","left","2.5440120697","797.93005085","2.4559879303","800.540346861","4.40159296989","804.941983938","1.59840703011","806.595071077","808.163471937","808.212697983","811.21566987","0","811.229505062","818.300088882",""
"sujeto_0029146","1","1","11","11","818.430865049","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","individual","left","0.792063951492","819.222997904","4.20793604851","823.588288069","4.03965592384","827.628015041","1.96034407616","829.639405012","831.321447849","831.373255968","834.376081944","0","834.391428947","838.124747992",""
