"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_077f2b56","1","1","1","1","557.265009165","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","1.92234611511","559.187397003","3.07765388489","562.422829151","4.30157613754","566.724473","1.69842386246","568.473917007","569.502233982","569.575267076","572.575551987","0","572.591472149","574.754003048",""
"sujeto_077f2b56","1","1","2","2","574.893254995","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.34418797493","577.237504005","2.65581202507","580.032139063","4.74930882454","584.781507969","1.25069117546","586.081055164","587.959098101","588.032469988","591.035397053","0","591.049602032","593.142384052",""
"sujeto_077f2b56","1","1","3","3","593.26791811","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.83569812775","595.103659153","3.16430187225","598.458842993","4.70678091049","603.165666103","1.29321908951","604.49269104","606.104403973","606.176403999","609.179375172","1","609.19456315","613.472903013",""
"sujeto_077f2b56","1","1","4","4","613.612432957","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.92939996719","615.541890144","3.07060003281","618.786261082","3.64656305313","622.432862043","2.35343694687","624.819837093","626.024625063","626.104575157","629.107566118","1","629.12144804","632.575368166",""
"sujeto_077f2b56","1","1","5","5","632.723535061","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.17456102371","634.898162127","2.82543897629","637.879511118","3.31261706352","641.192188978","2.68738293648","643.911919117","645.433263063","645.513975143","648.516983986","1","648.530889988","655.56754899",""
"sujeto_077f2b56","1","1","6","6","655.699129105","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.63928508759","657.338458061","3.36071491241","660.858185053","5.65533804893","666.513586044","0.344661951065","666.892775059","667.947555065","668.026450157","671.029427052","0","671.043596029","678.670189142",""
"sujeto_077f2b56","1","1","7","7","678.81180501","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.26198291779","680.073863983","3.73801708221","683.969397068","3.91746687889","687.886908054","2.08253312111","690.020512104","691.884536982","691.954678059","694.957627058","1","694.972877026","700.733883142",""
"sujeto_077f2b56","1","1","8","8","700.874459028","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.14070796967","702.015233994","3.85929203033","706.065233946","4.23492693901","710.300205946","1.76507306099","712.116382122","713.560662031","713.633841991","716.636815071","0","716.65094018","722.750276089",""
"sujeto_077f2b56","1","1","9","9","722.885969162","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.22944998741","724.115543127","3.77055001259","728.059688091","5.88583016396","733.945559025","0.114169836044","734.111624002","735.661139011","735.745682001","738.747550964","1","738.762412071","744.807526112",""
"sujeto_077f2b56","1","1","10","10","744.947379112","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.11241602898","746.059860945","3.88758397102","750.135727167","5.8081099987","755.943901062","0.191890001297","756.172592163","757.741034985","757.822380066","760.825361013","0","760.839569092","767.913208008",""
"sujeto_077f2b56","1","1","11","11","768.057830095","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.13527202606","769.193146944","3.86472797394","773.216972113","4.16714715958","777.384178162","1.83285284042","779.268144131","780.9501791","781.035644054","784.038620949","0","784.052829027","787.78611517",""
"sujeto_077f2b56","1","1","12","12","787.921414137","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.11195206642","789.033434153","3.88804793358","793.094722986","4.51866102219","797.613424063","1.48133897781","799.145622015","800.518313169","800.596755028","803.599704027","0","803.613996983","806.388609171",""
"sujeto_077f2b56","1","1","13","13","806.515516996","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.18751692772","807.703145027","3.81248307228","811.738243103","5.94038414955","817.678668022","0.0596158504486","817.773116112","818.852370024","818.939859152","821.942845106","0","821.956907988","825.797919989",""
"sujeto_077f2b56","1","1","14","14","825.925012112","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","0.779880046844","826.70494318","4.22011995316","831.080003023","5.05094385147","836.130992174","0.949056148529","837.132017136","838.589822054","838.665519953","841.667608976","1","841.682858944","849.452373981",""
"sujeto_077f2b56","1","1","15","15","849.635074139","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.31005311012","850.945175171","3.68994688988","854.777523041","4.41873788834","859.196303129","1.58126211166","860.82862401","861.877449989","861.962258101","864.965219021","1","864.979585171","871.670405149",""
