"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_0bf947ec","2","1","1","1","86.8388798237","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.59041595459","88.4293589592","3.40958404541","91.9940259457","3.78833603859","95.7824289799","2.21166396141","98.0449249744","99.073184967","99.1460478306","102.149037838","0","102.162912846","104.325455904",""
"sujeto_0bf947ec","2","1","2","2","104.465775967","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.13859415054","105.604434967","3.86140584946","109.602780819","3.36957597733","112.972398996","2.63042402267","115.653271914","117.531263828","117.605140924","120.606830835","0","120.621903896","122.714644909",""
"sujeto_0bf947ec","2","1","3","3","122.86103487","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.18935084343","124.050451994","3.81064915657","128.012679815","2.45769810677","130.470419884","3.54230189323","134.062602997","135.674242973","135.747353792","138.750329971","1","138.765160799","143.043497801",""
"sujeto_0bf947ec","2","1","4","4","143.167154789","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.05225801468","144.219489813","3.94774198532","148.319798946","2.01264619827","150.332515001","3.98735380173","154.354511976","155.559256792","155.639865875","158.64285183","1","158.65690279","162.110828876",""
"sujeto_0bf947ec","2","1","5","5","162.27736187","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.34003686905","163.61747098","3.65996313095","167.415466785","2.63292598724","170.04846096","3.36707401276","173.466229916","174.987591982","175.067373991","178.070334911","1","178.085482836","185.122174978",""
"sujeto_0bf947ec","2","1","6","6","185.254770994","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","0.944628953934","186.199445009","4.05537104607","190.411317825","2.54504489899","192.956425905","3.45495510101","196.444307804","197.498826981","197.579892874","200.582876921","0","200.596951962","208.223541975",""
"sujeto_0bf947ec","2","1","7","7","208.354590893","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","0.992805957794","209.347465992","4.00719404221","213.506162882","3.43520903587","216.941416979","2.56479096413","219.557096958","221.421132803","221.491349936","224.494301796","1","224.509196997","230.270205975",""
"sujeto_0bf947ec","2","1","8","8","230.411605835","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","0.968792915344","231.380465984","4.03120708466","235.565998793","3.82439494133","239.390433788","2.17560505867","241.600888014","243.045215845","243.119431019","246.122380972","0","246.136265993","252.235628843",""
"sujeto_0bf947ec","2","1","9","9","252.392040968","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.02636814117","253.41847682","3.97363185883","257.529193878","3.51624488831","261.045480967","2.48375511169","263.579489946","265.128998995","265.214147806","268.217141867","1","268.231192827","274.278504848",""
"sujeto_0bf947ec","2","1","10","10","274.417572975","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","0.717851161957","275.13546896","4.28214883804","279.57404685","3.59942102432","283.173527956","2.40057897568","285.624724865","287.193180799","287.275301933","290.278218985","0","290.293339014","297.366982937",""
