"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_0d6a2bd1","1","1","1","1","611.147567034","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","individual","right","1.5229549408","612.670563936","3.4770450592","616.307615995","3.81104207039","620.118705988","2.18895792961","622.341651917","623.369894028","623.410588026","626.413563967","0","626.426712036","628.589236975",""
"sujeto_0d6a2bd1","1","1","2","2","628.729368925","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","individual","left","1.98848605156","630.717921972","3.01151394844","633.881770849","4.05218291283","637.934013844","1.94781708717","639.934866905","641.812855959","641.851760864","644.854753017","0","644.870363951","646.963086843",""
"sujeto_0d6a2bd1","1","1","3","3","647.105695963","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","individual","left","2.13244581223","649.238185883","2.86755418777","652.2592659","4.20999002457","656.469315052","1.79000997543","658.294560909","659.906209946","659.945904016","662.94727993","1","662.962945938","667.241240025",""
"sujeto_0d6a2bd1","1","1","4","4","667.382019043","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","individual","right","1.22742295265","668.609503984","3.77257704735","672.538272858","2.58026790619","675.118579865","3.41973209381","678.587576866","679.792351007","679.839649916","682.842604876","1","682.856789827","686.310688019",""
"sujeto_0d6a2bd1","1","1","5","5","686.441542864","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","individual","right","1.70826387405","688.149852991","3.29173612595","691.581764936","3.03509521484","694.616917849","2.96490478516","697.62985301","699.151236057","699.198117018","702.201096058","1","702.215730906","709.252429008",""
"sujeto_0d6a2bd1","1","1","6","6","709.387251854","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","individual","right","1.5378510952","710.925149918","3.4621489048","714.524883986","5.44335198402","719.96831584","0.556648015976","720.560047865","721.614871979","721.660085917","724.663064957","0","724.678180933","732.3047719",""
"sujeto_0d6a2bd1","1","1","7","7","732.448676825","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.46276903152","733.911506891","3.53723096848","737.588711023","3.70381617546","741.292584896","2.29618382454","743.639143944","745.503175974","745.59058404","748.593538046","1","748.608199835","754.369195938",""
"sujeto_0d6a2bd1","1","1","8","8","754.512944937","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","individual","left","1.5897769928","756.102761984","3.4102230072","759.667135","4.69357919693","764.360760927","1.30642080307","765.701406956","767.145721912","767.18552494","770.188483953","0","770.202750921","776.302114964",""
"sujeto_0d6a2bd1","1","1","9","9","776.439337969","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","individual","left","2.01223516464","778.451622963","2.98776483536","781.594763041","5.50469112396","787.099514008","0.495308876038","787.645920992","789.195400953","789.246587992","792.249502897","1","792.263887882","798.311146975",""
"sujeto_0d6a2bd1","1","1","10","10","798.449403048","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","individual","left","1.87088513374","800.320382833","3.12911486626","803.622509003","5.28765296936","808.910222054","0.71234703064","809.672181845","811.240603924","811.288661957","814.291636944","0","814.306288958","821.379933834",""
"sujeto_0d6a2bd1","1","1","11","11","821.509520054","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","individual","left","1.5686070919","823.078193903","3.4313929081","826.667397976","5.09165000916","831.759114981","0.908349990845","832.702015877","834.384063005","834.43588686","837.43885088","0","837.453872919","841.187165976",""
"sujeto_0d6a2bd1","1","1","12","12","841.322067976","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","individual","left","1.61693501472","842.93904686","3.38306498528","846.477530956","4.46634411812","850.94391799","1.53365588188","852.529503822","853.902240038","853.946251869","856.949208975","0","856.963826895","859.738467932",""
"sujeto_0d6a2bd1","1","1","13","13","859.882810831","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","individual","left","1.8480489254","861.730929852","3.1519510746","865.053653002","5.06815218925","870.121848822","0.931847810745","871.104342937","872.183598995","872.22140789","875.224370956","0","875.239677906","879.080649853",""
"sujeto_0d6a2bd1","1","1","14","14","879.225632906","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","individual","left","1.75200796127","880.977697849","3.24799203873","884.38020587","3.6774790287","888.057728052","2.3225209713","890.464546919","891.92236805","891.965724945","894.968442917","1","894.982866049","902.755761862",""
"sujeto_0d6a2bd1","1","1","15","15","902.904953003","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","individual","right","1.29774618149","904.202740908","3.70225381851","908.058835983","4.79081106186","912.849707842","1.20918893814","914.093621969","915.142459869","915.194027901","918.197005987","1","918.211704969","924.902503014",""
"sujeto_0d6a2bd1","1","1","16","16","925.048061848","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","individual","left","1.48857092857","926.536674976","3.51142907143","930.20320797","5.13036894798","935.333643913","0.869631052017","936.25451088","937.994494915","938.03834796","941.04133296","0","941.055752993","944.516283989",""
"sujeto_0d6a2bd1","1","1","17","17","944.656538963","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","individual","right","1.95513677597","946.611815929","3.04486322403","949.844663858","5.7199549675","955.564678907","0.280045032501","955.882580996","956.921569824","956.966224909","959.969194889","0","959.983527899","964.793196917",""
