"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_151573d2","1","1","1","1","622.467253923","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.99435186386","624.461687088","3.00564813614","627.654435873","4.83623409271","632.490717888","1.16376590729","633.707524061","634.73577404","634.807668924","637.810585976","0","637.824140072","639.98662591",""
"sujeto_151573d2","1","1","2","2","640.121109009","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","individual","left","2.81861019135","642.939766884","2.18138980865","645.296444893","4.67528104782","649.971782923","1.32471895218","651.349526882","653.227568865","653.267109871","656.268744946","0","656.284653902","658.376765966",""
"sujeto_151573d2","1","1","3","3","658.536643028","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.70924496651","660.24595809","3.29075503349","663.690758944","4.70310282707","668.393920898","1.29689717293","669.742034912","671.352740049","671.425621986","674.428611994","1","674.442843914","678.720753908",""
"sujeto_151573d2","1","1","4","4","678.845480919","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.52649903297","680.372024059","3.47350096703","684.001813889","2.63826704025","686.640120983","3.36173295975","690.051616907","691.256392002","691.337114096","694.340054035","1","694.35333395","697.80724597",""
"sujeto_151573d2","1","1","5","5","697.939728022","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","individual","","3.17840099335","701.11817193","1.82159900665","703.093894005","6","709.09402895","0","709.113372087","710.634772062","710.67985487","713.682831049","0","713.697772026","720.734481096",""
"sujeto_151573d2","1","1","6","6","720.869369984","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.28091311455","722.150351048","3.71908688545","726.020225048","3.56808876991","729.588356972","2.43191123009","732.07258296","733.127359867","733.207242966","736.208781958","0","736.22397995","743.84877491",""
"sujeto_151573d2","1","1","7","7","743.99239707","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.61199402809","745.604454041","3.38800597191","749.134768009","2.67568993568","751.810520887","3.32431006432","755.18453908","757.048564911","757.119642973","760.12263298","1","760.137362003","765.898362875",""
"sujeto_151573d2","1","1","8","8","766.04301405","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.67151212692","767.714569092","3.32848787308","771.196343899","4.47027206421","775.666673899","1.52972793579","777.24774003","778.692015886","778.765572071","781.768502951","0","781.782717943","787.880759954",""
"sujeto_151573d2","1","1","9","9","788.019448042","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.44031500816","789.459807873","3.55968499184","793.175216913","4.01955103874","797.194828033","1.98044896126","799.225910902","800.77540803","800.843549967","803.846554041","1","803.860533953","809.907835007",""
"sujeto_151573d2","1","1","10","10","810.02879405","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","3.28013110161","813.308989048","1.71986889839","815.185213089","5.21173000336","820.396982908","0.788269996643","821.221455097","822.789851904","822.871973991","825.872792959","0","825.889719009","832.963358879",""
