"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_18c10e9c","1","1","1","1","709.686245918","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.41515088081","712.101439953","2.58484911919","714.863173008","3.07116007805","717.934396029","2.92883992195","720.912611008","721.940902948","722.014698982","725.017644882","0","725.031061888","727.193537951",""
"sujeto_18c10e9c","1","1","2","2","727.333347082","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.21894001961","729.552346945","2.78105998039","732.503856897","3.56759905815","736.071500063","2.43240094185","738.53954196","740.417577028","740.490952015","743.493910074","0","743.508197069","745.599402905",""
"sujeto_18c10e9c","1","1","3","3","745.743077993","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.8813188076","747.624463081","3.1186811924","750.930732012","2.34763503075","753.278413057","3.65236496925","756.965611935","758.577267885","758.650358915","761.653303862","1","761.66743803","765.945780039",""
"sujeto_18c10e9c","1","1","4","4","766.086103916","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","individual","right","2.44037890434","768.526527882","2.55962109566","771.24157691","2.63580203056","773.877420902","3.36419796944","777.291220903","778.495378971","778.543335915","781.54625392","1","781.560560942","785.01443696",""
"sujeto_18c10e9c","1","1","5","5","785.16258502","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","individual","right","1.55385398865","786.71648407","3.44614601135","790.318221092","2.41812109947","792.736402035","3.58187890053","796.3676579","797.889008999","797.934875011","800.937845945","1","800.952107906","807.988803864",""
"sujeto_18c10e9c","1","1","6","6","808.120159864","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.73023295403","809.850436926","3.26976704597","813.263036966","3.065335989","816.328439951","2.934664011","819.313431025","820.36739707","820.448250055","823.451215982","0","823.465202093","831.091788054",""
"sujeto_18c10e9c","1","1","7","7","831.233421087","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","right","2.87295413017","834.10642004","2.12704586983","836.392354965","2.9160528183","839.308469057","3.0839471817","842.426188946","844.290210962","844.328195095","847.330018997","1","847.345431089","853.106451988",""
"sujeto_18c10e9c","1","1","8","8","853.28057909","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.21086215973","854.491488934","3.78913784027","858.435554981","2.7238368988","861.159431934","3.2761631012","864.486953974","865.931252003","866.00515008","869.008130074","0","869.022175074","875.121536016",""
"sujeto_18c10e9c","1","1","9","9","875.273890972","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.4775660038","876.751504898","3.5224339962","880.431865931","3.36755990982","883.799484015","2.63244009018","886.481071949","888.030585051","888.116991997","891.119976997","1","891.133252859","897.179395914",""
"sujeto_18c10e9c","1","1","10","10","897.302175999","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.47225189209","898.774503946","3.52774810791","902.442911863","3.97651600838","906.419466019","2.02348399162","908.476258039","910.04468894","910.127922058","913.130908012","0","913.14516902","920.21540308",""
"sujeto_18c10e9c","1","1","11","11","920.347469091","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.50795102119","921.855488062","3.49204897881","925.503949881","2.66946601868","928.173475027","3.33053398132","931.55408597","933.235395908","933.306196928","936.309195042","0","936.324419975","940.055423975",""
"sujeto_18c10e9c","1","1","12","12","940.19173193","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","2.15870904922","942.350490093","2.84129095078","945.364665985","3.23373889923","948.59847188","2.76626110077","951.416115046","952.788855076","952.867698908","955.870672941","0","955.884829998","958.659470081",""
"sujeto_18c10e9c","1","1","13","13","958.836189985","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","2.15826487541","960.994518042","2.84173512459","964.008394957","3.26596593857","967.274399042","2.73403406143","970.05811286","971.137302876","971.210362911","974.213294983","0","974.227628946","978.068644047",""
"sujeto_18c10e9c","1","1","14","14","978.245119095","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.16433310509","979.409506083","3.83566689491","983.400820971","3.21760988235","986.618469954","2.78239011765","989.451639891","990.909430981","990.986804962","993.987402916","1","994.003967047","1001.77690387",""
"sujeto_18c10e9c","1","1","15","15","1001.93870091","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","individual","right","1.55571889877","1003.49446392","3.44428110123","1007.09638596","3.51309490204","1010.60954094","2.48690509796","1013.12978292","1014.17854691","1014.21459198","1017.21535492","1","1017.23235488","1023.92322993",""
"sujeto_18c10e9c","1","1","16","16","1024.08339787","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","left","1.15397000313","1025.23741102","3.84602999687","1029.2575469","3.44989109039","1032.70747995","2.55010890961","1035.30739808","1037.0474","1037.12414503","1040.12709498","0","1040.14141393","1043.599406",""
"sujeto_18c10e9c","1","1","17","17","1043.75974703","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","individual","left","1.98070120811","1045.74051189","3.01929879189","1048.91629386","3.11104893684","1052.02737999","2.88895106316","1054.95268297","1055.99164295","1056.0372529","1059.03935599","0","1059.05454588","1063.86335588",""
"sujeto_18c10e9c","1","1","18","18","1064.00639701","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","left","1.98204112053","1065.98848391","3.01795887947","1069.16081905","3.76057314873","1072.92145991","2.23942685127","1075.19681096","1077.1514039","1077.23060989","1080.23357797","0","1080.24788308","1083.85045195",""
"sujeto_18c10e9c","1","1","19","19","1084.01653409","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","individual","right","1.7138531208","1085.73043108","3.2861468792","1089.18864703","3.0496981144","1092.23840308","2.9503018856","1095.23774099","1096.98182392","1097.02158189","1100.02455497","1","1100.04012203","1104.51142001",""
