"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_1bb5ad4b","1","1","1","1","640.613240004","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.86638021469","642.479682922","3.13361978531","645.783036947","5.28860902786","651.071709871","0.711390972137","651.833947897","652.862267971","652.934738874","655.937670946","0","655.951699972","658.114235878",""
"sujeto_1bb5ad4b","1","1","2","2","658.253470898","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","","1.78522491455","660.038764","3.21477508545","663.408346891","6","669.408487082","0","669.424227953","671.301313877","671.376731873","674.379688025","0","674.394964933","676.487709999",""
"sujeto_1bb5ad4b","1","1","3","3","676.645885944","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.47979998589","679.125750065","2.52020001411","681.797175884","4.05059409142","685.847828865","1.94940590858","687.834847927","689.446551085","689.518846035","692.521811008","1","692.536421061","696.814719915",""
"sujeto_1bb5ad4b","1","1","4","4","696.957239866","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.29451489449","698.251847982","3.70548510551","702.111612082","4.16225910187","706.273930073","1.83774089813","708.145298958","709.350044966","709.430189848","712.433152914","1","712.447645903","715.901578903",""
"sujeto_1bb5ad4b","1","1","5","5","716.050351858","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.35855507851","717.408972025","3.64144492149","721.18789506","4.02405500412","725.212018967","1.97594499588","727.238945961","728.760339022","728.840180874","731.843159914","1","731.857332945","738.892400026",""
"sujeto_1bb5ad4b","1","1","6","6","739.030464888","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.67751693726","740.708044052","3.32248306274","744.183325052","3.77761292458","747.960994005","2.22238707542","750.231971025","751.286813974","751.366603851","754.369590044","0","754.384386063","762.010954857",""
"sujeto_1bb5ad4b","1","1","7","7","762.156693935","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.32840800285","763.485163927","3.67159199715","767.31114006","4.40902709961","771.720227003","1.59097290039","773.34522891","775.209233046","775.279605865","778.282562017","1","778.297165871","784.055405855",""
"sujeto_1bb5ad4b","1","1","8","8","784.200204849","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.46511793137","785.665386915","3.53488206863","789.35730505","4.84902501106","794.206390858","1.15097498894","795.408365965","796.85263896","796.925061941","799.928030968","0","799.942766905","806.042151928",""
"sujeto_1bb5ad4b","1","1","9","9","806.179913044","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.4795191288","807.659476995","3.5204808712","811.335263014","4.69912004471","816.034443855","1.30087995529","817.386671066","818.936192036","819.020318985","822.023298025","1","822.037586927","828.084897995",""
"sujeto_1bb5ad4b","1","1","10","10","828.22290802","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","individual","right","2.72659802437","830.94954896","2.27340197563","833.379876852","4.70666313171","838.086606026","1.29333686829","839.448144913","841.016586065","841.066264868","844.068418026","0","844.083664894","851.157343864",""
