"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_1fe7250f","1","1","1","1","637.661282063","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24",,"0","0","1","competitive","right","2.10974693298","639.77106905","2.89025306702","642.830461025","3.08364605904","645.914185047","2.91635394096","648.882325172","649.910617113","649.984495163","652.987481117","0","653.000520229","655.163048029",
"sujeto_1fe7250f","1","1","2","2","655.302565098","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78",,"0","0","1","competitive","right","1.92455387115","657.227187157","3.07544612885","660.472379208","3.22365903854","663.696085215","2.77634096146","666.52404809","668.402064085","668.475800037","671.477959156","0","671.492944002","673.585711002",
"sujeto_1fe7250f","1","1","3","3","673.711270094","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11",,"1","1","1","competitive","right","1.54875087738","675.260068178","3.45124912262","678.867401123","2.3067150116","681.174180031","3.6932849884","684.916408062","686.528081179","686.602263212","689.605243206","1","689.619292021","693.897644043",
"sujeto_1fe7250f","1","1","4","4","694.021199226","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","individual","right","1.61890506744","695.640152216","3.38109493256","699.160509109","2.35363483429","701.514188051","3.64636516571","705.211104155","706.415855169","706.462519169","709.465464115","1","709.479605198","712.933525085",
"sujeto_1fe7250f","1","1","5","5","713.081412077","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324",,"1","1","1","competitive","left","1.63163495064","714.713093042","3.36836504936","718.235846996","2.79023003578","721.026117086","3.20976996422","724.287977219","725.809322119","725.888663054","728.891638041","1","728.90693903","735.943632126",
"sujeto_1fe7250f","1","1","6","6","736.091661215","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72",,"0","0","1","competitive","left","2.63373303413","738.725465059","2.36626696587","741.281452179","3.17060399055","744.452097178","2.82939600945","747.333506107","748.388326168","748.467826128","751.470813036","0","751.484767199","759.111352205",
"sujeto_1fe7250f","1","1","7","7","759.269921064","direct","1","1","1","¿Cuantos estados tiene África?","52","54",,"1","1","0","competitive","right","1.97010588646","761.240097046","3.02989411354","764.427998066","2.73402285576","767.162083149","3.26597714424","770.475963116","772.339935064","772.411036015","775.413945198","1","775.429043055","781.190026999",
"sujeto_1fe7250f","1","1","8","8","781.363538027","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942",,"0","0","1","individual","left","2.20152902603","783.565114021","2.79847097397","786.521701097","1.53634500504","788.058107138","4.46365499496","792.572362185","794.016662121","794.057811022","797.060826063","0","797.075002193","803.174333096",
"sujeto_1fe7250f","1","1","9","9","803.310122013","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57",,"1","1","1","competitive","right","1.61900305748","804.929170132","3.38099694252","808.46687603","2.60318088531","811.070116997","3.39681911469","814.517331123","816.066845179","816.152369022","819.155341148","1","819.169436216","825.216747046",
"sujeto_1fe7250f","1","1","10","10","825.371085167","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594",,"0","0","1","competitive","right","1.74903106689","827.120181084","3.25096893311","830.528510094","3.40557289124","833.934127092","2.59442710876","836.578974009","838.147400141","838.231104136","841.234067202","0","841.247997046","848.32162714",
"sujeto_1fe7250f","1","1","11","11","848.466520071","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4",,"0","0","1","competitive","right","2.20961904526","850.676208019","2.79038095474","853.655925035","3.06619405746","856.722186089","2.93380594254","859.707777023","861.389816046","861.45909214","864.462045193","0","864.476079226","868.205961227",
"sujeto_1fe7250f","1","1","12","12","868.344423056","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17",,"0","0","0","competitive","right","1.93580794334","870.28028512","3.06419205666","873.534030199","2.8131210804","876.347197056","3.1868789196","879.567705154","880.940433025","881.019414186","884.021977186","0","884.036065102","886.809974194",
