"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_2158631b","1","1","1","1","15.1662538052","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.01224088669","16.1785957813","3.98775911331","20.3531899452","1.71536207199","22.0686278343","4.28463792801","26.3860368729","27.4143359661","27.4886848927","30.4916608334","0","30.5060918331","32.6672577858",""
"sujeto_2158631b","1","1","2","2","32.7917029858","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.72997999191","34.5217499733","3.27002000809","37.9503698349","3.87224292755","41.8226728439","2.12775707245","44.0020689964","45.8801109791","45.9527568817","48.9557359219","0","48.9697709084","51.0624969006",""
"sujeto_2158631b","1","1","3","3","51.2050759792","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","2.33161616325","53.5367388725","2.66838383675","56.3578248024","3.67380809784","60.0316867828","2.32619190216","62.4107139111","64.0223917961","64.0957789421","67.0987379551","1","67.1127789021","71.3911178112",""
"sujeto_2158631b","1","1","4","4","71.530974865","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.23483991623","73.7658598423","2.76516008377","76.6863069534","3.38548803329","80.0718348026","2.61451196671","82.7378368378","83.9426047802","84.0226547718","87.0256359577","1","87.0398259163","90.4937229156",""
"sujeto_2158631b","1","1","5","5","90.6244528294","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.29745793343","92.9219539165","2.70254206657","95.7797608376","2.82322883606","98.6030459404","3.17677116394","101.83008194","103.351471901","103.430447817","106.433423996","1","106.447538853","113.484236002",""
"sujeto_2158631b","1","1","6","6","113.615900993","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.30220293999","114.918152809","3.69779706001","118.774834871","4.1842019558","122.959078789","1.8157980442","124.826756001","125.881547928","125.961662769","128.96464777","0","128.977943897","136.604524851",""
"sujeto_2158631b","1","1","7","7","136.746204853","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","2.78406405449","139.530341864","2.21593594551","141.920338869","3.88690590858","145.807303905","2.11309409142","147.972395897","149.835449934","149.907154799","152.907494783","1","152.924643993","158.683494806",""
"sujeto_2158631b","1","1","8","8","158.842697859","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.78560590744","160.628345966","3.21439409256","164.031198978","3.64509606361","167.676356792","2.35490393639","170.066216946","171.510526896","171.584887981","174.587864876","0","174.602256775","180.701620817",""
"sujeto_2158631b","1","1","9","9","180.836939812","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","2.4935760498","183.330560923","2.5064239502","185.994297981","4.39114999771","190.385504961","1.60885000229","192.045545816","193.595057964","193.678942919","196.679469824","1","196.696630955","202.743944883",""
"sujeto_2158631b","1","1","10","10","202.881289959","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.94941306114","204.830775976","3.05058693886","208.054583788","4.46597003937","212.520608902","1.53402996063","214.107447863","215.675833941","215.757875919","218.76082778","0","218.775108814","225.847476959",""
"sujeto_2158631b","1","1","11","11","225.97754097","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.62916612625","227.6067698","3.37083387375","231.133789778","4.31494903564","235.448796988","1.68505096436","237.185287952","238.867302895","238.935920954","241.938901901","0","241.953125","245.683490992",""
"sujeto_2158631b","1","1","12","12","245.821144819","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","2.22874093056","248.049928904","2.77125906944","250.978052855","4.86687994003","255.844991922","1.13312005997","257.029844999","258.402558804","258.479747772","261.482744932","0","261.497034788","264.271703959",""
"sujeto_2158631b","1","1","13","13","264.415603876","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","left","1.94847917557","266.364187002","3.05152082443","269.571761847","5.34427499771","274.916097879","0.655725002289","275.656497955","276.735492945","276.806792974","279.807470798","0","279.823641777","283.66465497",""
"sujeto_2158631b","1","1","14","14","283.791081905","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","2.14806389809","285.939190865","2.85193610191","288.964692831","4.52644991875","293.491186857","1.47355008125","294.998857975","296.456657887","296.533820868","299.536793947","1","299.551047802","307.323487997",""
"sujeto_2158631b","1","1","15","15","307.485610962","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.64667606354","309.132352829","3.35332393646","312.659998894","4.15832805634","316.818369865","1.84167194366","318.693321943","319.74214077","319.810636997","322.811452866","1","322.828723907","329.519534826",""
"sujeto_2158631b","1","1","16","16","329.69687295","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","left","3.02259802818","332.71953392","1.97740197182","334.852352858","4.81121301651","339.663606882","1.18878698349","340.889792919","342.629802942","342.707545996","345.710496902","0","345.724434853","349.184956789",""
"sujeto_2158631b","1","1","17","17","349.326614857","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","1.64200687408","350.968697786","3.35799312592","354.481622934","4.01300621033","358.494690895","1.98699378967","360.516614914","361.555600882","361.634424925","364.637423992","0","364.651673794","369.461350918",""
"sujeto_2158631b","1","1","18","18","369.586239815","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","left","3.19849586487","372.784837961","1.80150413513","374.775836945","4.09089207649","378.866767883","1.90910792351","380.827403784","382.783557892","382.861871004","385.864804983","0","385.879022837","389.481616974",""
"sujeto_2158631b","1","1","19","19","389.630818844","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","right","2.42809200287","392.058975935","2.57190799713","394.786532879","4.45935201645","399.245923996","1.54064798355","400.820970774","402.563498974","402.637956858","405.640919924","1","405.656064987","410.130511999",""
"sujeto_2158631b","1","1","20","20","410.27382493","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.64127707481","411.915191889","3.35872292519","415.463718891","3.47735095024","418.941110849","2.52264904976","421.497371912","423.436648846","423.515794992","426.518768787","1","426.532987833","430.761778831",""
"sujeto_2158631b","1","1","21","21","430.902054787","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","1.73507404327","432.637174845","3.26492595673","436.073099852","4.81207704544","440.885234833","1.18792295456","442.109538794","443.623480797","443.710586786","446.713577986","0","446.727874994","453.847434998",""
"sujeto_2158631b","1","1","22","22","453.979404926","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","left","1.4599070549","455.439413786","3.5400929451","459.136059999","4.62130999565","463.757429838","1.37869000435","465.187174797","466.429261923","466.504776001","469.507756948","0","469.522078991","472.75836277",""
"sujeto_2158631b","1","1","23","23","472.890579939","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","right","1.32893013954","474.219554901","3.67106986046","478.046639919","5.77488207817","483.82156682","0.225117921829","484.081662893","485.342884779","485.414984941","488.417974949","1","488.431973934","492.233733892",""
"sujeto_2158631b","1","1","24","24","492.383284807","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","right","1.20032501221","493.583652973","3.79967498779","497.554738998","3.76989006996","501.324667931","2.23010993004","503.606376886","505.367100954","505.440568924","508.443528891","0","508.457753897","515.191525936",""
"sujeto_2158631b","1","1","25","25","515.326709986","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","competitive","left","3.15107703209","518.477851868","1.84892296791","520.483812809","4.98495388031","525.46880579","1.01504611969","526.536799908","528.532059908","528.604046822","531.607018948","1","531.621352911","537.164159775",""
"sujeto_2158631b","1","1","26","26","537.306373835","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","right","1.35455703735","538.661002874","3.64544296265","542.463086843","2.48288702965","544.946015835","3.51711297035","548.513265848","549.871260881","549.94844389","552.951450825","1","552.965584993","555.000271797",""
"sujeto_2158631b","1","1","27","27","555.133418798","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","competitive","left","1.70865893364","556.84212184","3.29134106636","560.289929867","4.60519218445","564.895187855","1.39480781555","566.340368986","568.094997883","568.17454195","571.175484896","1","571.192643881","578.589014769",""
"sujeto_2158631b","1","1","28","28","578.726866961","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","right","2.55736517906","581.28427577","2.44263482094","583.878721952","4.17958116531","588.058362961","1.82041883469","589.917249918","591.028264999","591.101862907","594.104863882","0","594.118242979","600.839449883",""
"sujeto_2158631b","1","1","29","29","600.969501972","direct","1","1","1","¿En qué año fue creado
 el sandwich?","1762","1653","","1","1","0","competitive","left","1.54789304733","602.517466784","3.45210695267","606.129371881","4.61909484863","610.748524904","1.38090515137","612.180586815","613.77914381","613.848106861","616.851109982","1","616.865413904","620.336057901",""
"sujeto_2158631b","1","1","30","30","620.484747887","inverse","4","1","2","El nombre de la moneda de Vietnam es:","Dinar","Dong","","0","0","1","competitive","right","1.29885387421","621.783675909","3.70114612579","625.65713191","4.34734988213","630.00453496","1.65265011787","631.707941771","633.139910936","633.225841999","636.228782892","0","636.242718935","642.411151886",""
"sujeto_2158631b","1","1","31","31","642.54061985","direct","2","1","1","¿cuantos aleteos puede dar 
un colibrí por segundo?","120","50","","0","0","0","competitive","left","1.57663702965","644.117321968","3.42336297035","647.718106985","3.89967393875","651.617819786","2.10032606125","653.768357992","655.500689983","655.569660902","658.571494818","0","658.587567806","662.799498796",""
"sujeto_2158631b","1","1","32","32","662.939789772","inverse","4","1","3","¿Qué altura promedio tienen
 los hombres uruguayos?","1.73 m","1.72 m","","1","1","1","competitive","right","2.28908610344","665.228937864","2.71091389656","668.110605001","2.96934294701","671.079986811","3.03065705299","674.162386894","675.424749851","675.497444868","678.500423908","1","678.514636993","682.987495899",""
"sujeto_2158631b","1","2","1","33","821.874205828","direct","1","1","1","¿En qué año nació 
el actor Bradd Pitt?","1967","1963","","1","1","1","competitive","right","1.44391798973","823.318185806","3.55608201027","827.028568983","4.39957404137","831.428199768","1.60042595863","833.079958916","834.17582798","834.247108936","837.250051975","1","837.264272928","843.191450834","682.999724865"
"sujeto_2158631b","1","2","2","34","843.315805912","inverse","2","1","1","¿Cual es el segundo 
monte más alto?","Kanchenjunga","K2","","1","1","1","competitive","left","1.21748900414","844.533353806","3.78251099586","848.490081787","5.21628499031","853.706426859","0.783715009689","854.541313887","855.993704796","856.074903965","859.077883959","1","859.092108965","862.522001982",""
"sujeto_2158631b","1","2","3","35","862.660789967","direct","3","1","1","¿Cuándo finalizó la construcción
 del Palacio Legislativo?","1925","1917","","0","0","1","competitive","right","3.31866812706","865.979519844","1.68133187294","867.864896774","4.29254198074","872.157478809","1.70745801926","873.898548841","875.539430857","875.616406918","878.619422913","0","878.633379936","884.330922842",""
"sujeto_2158631b","1","2","4","36","884.469071865","inverse","3","1","3","¿Cuántos integrantes tenía
 en su inicio  el cuarteto de nos?","3","4","","1","1","1","competitive","right","1.17561984062","885.644762993","3.82438015938","889.628011942","4.56664299965","894.194693804","1.43335700035","895.67924881","896.811430931","896.896102905","899.89909482","1","899.913407803","905.563210964",""
"sujeto_2158631b","1","2","5","37","905.698588848","direct","2","1","3","¿Qué valor tiene el número pi?","3.14","4.18","left","0","0","1","competitive","left","1.44319200516","907.141847849","3.55680799484","910.856120825","2.93072485924","913.786910772","3.06927514076","916.889008999","918.343201876","918.424457788","921.427433968","1","921.441500902","928.362480879",""
"sujeto_2158631b","1","2","6","38","928.493119001","inverse","2","1","2","¿Cuál es la esperanza de vida
 en Uruguay?","75","77","","1","1","0","competitive","right","1.60381102562","930.097006798","3.39618897438","933.650646925","4.0433511734","937.694082975","1.9566488266","939.685330868","941.339114904","941.420387983","944.423374891","1","944.43739295","950.900414944",""
"sujeto_2158631b","1","2","7","39","951.038710833","direct","1","1","2","¿Cuantos pisos tiene la torre 
de las comunicaciones?","26","32","","1","1","0","competitive","right","1.54042506218","952.579207897","3.45957493782","956.195766926","4.0464360714","960.242244959","1.9535639286","962.244262934","964.073029995","964.145806789","967.148788929","1","967.16305995","969.30921483",""
"sujeto_2158631b","1","2","8","40","969.44863987","inverse","2","1","4","¿En qué país sudamericano 
no hay McDonalds?","Bolivia","Venezuela","","0","0","1","competitive","right","1.85170197487","971.300387859","3.14829802513","974.638010979","4.20232510567","978.840397835","1.79767489433","980.690110922","981.999449968","982.074981928","985.075451851","0","985.09164381","991.451303005",""
"sujeto_2158631b","1","2","9","41","991.593625784","direct","3","1","1","¿En qué año empieza
 la Edad Media?","476","512","","1","1","1","competitive","right","1.81081008911","993.404502869","3.18918991089","996.749773979","3.58878207207","1000.33859491","2.41121792793","1002.80144382","1004.20517087","1004.28564596","1007.2886169","1","1007.30292082","1010.29143596",""
"sujeto_2158631b","1","2","10","42","1010.43743896","inverse","3","1","4","¿Hace cuántos años surgió
 el ser humano?","200mil","300mil","","0","0","0","competitive","left","1.29324913025","1011.73079586","3.70675086975","1015.62701297","4.90765094757","1020.53470492","1.09234905243","1021.66162086","1023.54764485","1023.62912488","1026.63208079","0","1026.64616179","1029.95660877",""
"sujeto_2158631b","1","2","11","43","1030.11503983","direct","3","1","4","¿Cuántas cuadras tiene
 actualmente 18 de julio? ","36","33","","0","0","1","competitive","left","1.24679398537","1031.361938","3.75320601463","1035.27047777","5.3713350296","1040.64185286","0.628664970398","1041.32209992","1043.0243659","1043.10577297","1046.10874295","0","1046.12301588","1050.84930682",""
"sujeto_2158631b","1","2","12","44","1050.97486186","inverse","1","1","4","¿Qué juego de equipo se 
considera mas rápido?","Lacrosse","Badminton","","0","0","0","competitive","right","2.61906599998","1053.59397197","2.38093400002","1056.144315","4.58563709259","1060.73001885","1.41436290741","1062.19368696","1063.43680596","1063.51136684","1066.51432896","0","1066.52835584","1074.52350187",""
"sujeto_2158631b","1","2","13","45","1074.64733791","direct","1","1","3","¿Qué promedio de edad 
vive una jirafa? ","25","20","","0","0","1","competitive","right","1.82683181763","1076.47422194","3.17316818237","1079.82820487","5.25497102737","1085.08324099","0.745028972626","1085.87901688","1087.64053679","1087.71251392","1090.71549296","0","1090.73052478","1096.68346381",""
"sujeto_2158631b","1","2","14","46","1096.8153069","inverse","1","1","2","¿Cuántos grandes lagos hay?","7","5","","0","0","1","competitive","left","1.65000295639","1098.4653728","3.34999704361","1102.00604081","3.77129387856","1105.77739978","2.22870612144","1108.05655694","1109.34866095","1109.42382193","1112.42677498","0","1112.44179988","1120.25943589",""
"sujeto_2158631b","1","2","15","47","1120.39310694","direct","3","1","2","¿Cuántos discos de estudio
 grabó Johhny Cash? ","54","43","","1","1","0","competitive","right","1.17643904686","1121.56959677","3.82356095314","1125.54861689","4.69096279144","1130.23964286","1.30903720856","1131.58432889","1132.86266685","1132.93544388","1135.93841696","1","1135.9527638","1142.60365486",""
"sujeto_2158631b","1","2","16","48","1142.73695683","inverse","4","1","1","¿Cuántos barrios tiene
 Montevideo? ","71","62","","0","0","1","competitive","right","3.20273089409","1145.93972898","1.79726910591","1147.9295249","4.86923098564","1152.79881692","1.13076901436","1153.98040199","1154.98745298","1155.06373477","1158.06671286","0","1158.08101988","1163.54303598",""
"sujeto_2158631b","1","2","17","49","1163.68339896","direct","3","1","3","¿Qué edad tiene Homero Simpson?","36","42","","0","0","1","competitive","right","1.36146998405","1165.04493594","3.63853001595","1168.84044886","2.52550888062","1171.36602187","3.47449111938","1174.89090991","1176.26696181","1176.34201384","1179.34499478","0","1179.35932899","1183.74811077",""
"sujeto_2158631b","1","2","18","50","1183.8756268","inverse","4","1","2","¿Cuántos países con monarquía 
hay en europa actualmente? ","6","10","","1","1","1","competitive","","1.30840301514","1185.18409395","3.69159698486","1189.05078578","6","1195.05093884","0","1195.06637478","1196.50468183","1196.58646989","1199.58749986","0","1199.60358787","1205.76040483",""
"sujeto_2158631b","1","2","19","51","1205.88815594","direct","2","1","3","¿Cuántos capítulos de
 Friends existen? ","236","228","","1","1","1","competitive","right","0.976061105728","1206.864259","4.02393889427","1211.04289794","2.8353600502","1213.87829781","3.1646399498","1217.09428883","1218.399858","1218.47967982","1221.48266387","1","1221.4969089","1223.872545",""
"sujeto_2158631b","1","2","20","52","1223.99849677","inverse","1","1","3","¿Cuántas óperas compuso Mozart? ","27","22","","1","1","1","competitive","left","1.00605607033","1225.00460792","3.99394392967","1229.1547339","2.6116027832","1231.76637483","3.3883972168","1235.18845391","1236.48060679","1236.55677581","1239.55975986","1","1239.57386684","1246.88347483",""
"sujeto_2158631b","1","2","21","53","1247.02687287","direct","4","1","3","¿Cuántos mundiales de fútbol 
femenino ha realizado FIFA? ","9","7","","1","1","1","competitive","left","1.19076085091","1248.21767783","3.80923914909","1252.18378496","3.74479293823","1255.92863679","2.25520706177","1258.2179718","1259.46167898","1259.53515792","1262.53813696","1","1262.55338788","1268.65585399",""
"sujeto_2158631b","1","2","22","54","1268.78798485","inverse","3","1","2","¿Cuál es la temperatura 
media anual en Montevideo? ","17.5","16.3","","0","0","1","competitive","left","0.983707904816","1269.7717638","4.01629209518","1273.94573879","3.5689971447","1277.51478291","2.4310028553","1279.99605298","1281.93463182","1282.01369596","1285.01665998","0","1285.03176594","1291.6013",""
