"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_2a9aaa08","1","1","1","1","558.019844055","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","individual","","2.52838110924","560.548294067","2.47161889076","563.204838037","6","569.204978943","0","569.227025986","570.255321026","570.295084","573.298058987","0","573.312690973","575.475231886",""
"sujeto_2a9aaa08","1","1","2","2","575.613208055","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","individual","right","1.29124188423","576.904491901","3.70875811577","580.752169847","2.1301920414","582.88239789","3.8698079586","586.803192854","588.68124795","588.719673872","591.722661972","0","591.738105059","593.830867052",""
"sujeto_2a9aaa08","1","1","3","3","593.969464064","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","2.05422306061","596.023779869","2.94577693939","599.126355886","3.27538299561","602.40178895","2.72461700439","605.176327944","606.788004875","606.861336946","609.864313841","1","609.878918886","614.157265902",""
"sujeto_2a9aaa08","1","1","4","4","614.299540997","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","individual","right","2.38542699814","616.685037851","2.61457300186","619.454457045","2.79055404663","622.24505496","3.20944595337","625.506137848","626.710895061","626.758179903","629.761151075","1","629.774752855","633.228678942",""
"sujeto_2a9aaa08","1","1","5","5","633.359900951","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","2.48824119568","635.84818387","2.51175880432","638.529561996","2.38062405586","640.910245895","3.61937594414","644.566251993","646.087648869","646.167760849","649.170738935","1","649.185268879","656.221966028",""
"sujeto_2a9aaa08","1","1","6","6","656.353638887","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","individual","right","2.40880203247","658.762508869","2.59119796753","661.513207912","3.10227584839","664.61552906","2.89772415161","667.562422991","668.61726594","668.663058996","671.666035891","0","671.680374861","679.306956053",""
"sujeto_2a9aaa08","1","1","7","7","679.435919046","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.9549779892","681.390967846","3.0450220108","684.603910923","2.74484705925","687.348799944","3.25515294075","690.637501955","692.501564026","692.573246002","695.576228857","1","695.590929031","701.351950884",""
"sujeto_2a9aaa08","1","1","8","8","701.495344877","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","2.50986003876","704.005307913","2.49013996124","706.667963028","2.42410492897","709.092128992","3.57589507103","712.718327045","714.162620068","714.237483978","717.240467072","0","717.254817963","723.354162931",""
"sujeto_2a9aaa08","1","1","9","9","723.492684841","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.86748409271","725.360230923","3.13251590729","728.66355896","3.70175099373","732.365350962","2.29824900627","734.713363886","736.262883902","736.348557949","739.351532936","1","739.366292953","745.413600922",""
"sujeto_2a9aaa08","1","1","10","10","745.552474022","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","2.12305116653","747.675591946","2.87694883347","750.724556923","3.68604898453","754.410645008","2.31395101547","756.776427031","758.344864845","758.426965952","761.429954052","0","761.444314957","768.517962933",""
