"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_2c6c72ad","1","1","1","1","648.329449892","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.53784704208","649.867357969","3.46215295792","653.499927998","4.05745911598","657.557461977","1.94254088402","659.550767899","660.579066038","660.652503014","663.655478954","0","663.669589043","665.832123041",""
"sujeto_2c6c72ad","1","1","2","2","665.970499992","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.57286787033","667.543422937","3.42713212967","671.109930992","3.41848301888","674.528492928","2.58151698112","677.157180071","679.035187006","679.125860929","682.128840923","0","682.143914938","684.236685991",""
"sujeto_2c6c72ad","1","1","3","3","684.378751993","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.15261697769","686.531413078","2.84738302231","689.567130089","4.21022605896","693.777417898","1.78977394104","695.603698969","697.215334892","697.287734985","700.288585901","1","700.305623055","704.580574036",""
"sujeto_2c6c72ad","1","1","4","4","704.707062006","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.5823059082","706.289432049","3.4176940918","709.863524914","2.47383189201","712.337419987","3.52616810799","715.913295031","717.118091106","717.197546005","720.200509071","1","720.215454102","723.66861701",""
"sujeto_2c6c72ad","1","1","5","5","723.799947023","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.08647179604","724.886493921","3.91352820396","728.953830004","3.07962083817","732.033494949","2.92037916183","734.989135981","736.510524988","736.590903044","739.593887091","1","739.607897997","746.644608021",""
"sujeto_2c6c72ad","1","1","6","6","746.775645971","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.16375088692","747.939439058","3.83624911308","751.933563948","4.04782104492","755.981426954","1.95217895508","757.985385895","759.040175915","759.11899209","762.121963978","0","762.136123896","769.760602951",""
"sujeto_2c6c72ad","1","1","7","7","769.887313128","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","2.251060009","772.138416052","2.748939991","775.06250906","3.96585202217","779.028423071","2.03414797783","781.097347021","782.96134901","783.032350063","786.035298109","1","786.049423933","791.808605909",""
"sujeto_2c6c72ad","1","1","8","8","791.951025009","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.77336788177","793.724421978","3.22663211823","797.108031034","2.33631682396","799.444386959","3.66368317604","803.157382965","804.601686001","804.6766119","807.679573059","0","807.69271493","813.792056084",""
"sujeto_2c6c72ad","1","1","9","9","813.928524971","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.3018579483","815.230454922","3.6981420517","819.084845066","3.96752715111","823.052412033","2.03247284889","825.13597393","826.684597015","826.770334005","829.773299932","1","829.788197994","835.832597971",""
"sujeto_2c6c72ad","1","1","10","10","836.005908966","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.45850491524","837.464497089","3.54149508476","841.147233009","4.42813587189","845.575408936","1.57186412811","847.195630074","848.764065027","848.846884966","851.849882126","0","851.863948107","858.937578917",""
"sujeto_2c6c72ad","1","1","11","11","859.066216946","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.38320398331","860.44946599","3.61679601669","864.22477603","4.34361982346","868.568437099","1.65638017654","870.259761095","871.941807032","872.010353088","875.012573957","0","875.027683973","878.760988951",""
"sujeto_2c6c72ad","1","1","12","12","878.895812988","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.70056390762","880.596440077","3.29943609238","884.052405119","4.49793601036","888.550401926","1.50206398964","890.102921963","891.475654125","891.553873062","894.556845903","0","894.572057962","897.346697092",""
"sujeto_2c6c72ad","1","1","13","13","897.489808083","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","2.08361101151","899.57348609","2.91638898849","902.69354105","3.74889802933","906.442481041","2.25110197067","908.745651007","909.824892998","909.897526026","912.900515079","0","912.914479017","916.755484104",""
"sujeto_2c6c72ad","1","1","14","14","916.882034063","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.31435513496","918.196435928","3.68564486504","922.038585901","3.7638399601","925.802470922","2.2361600399","928.088505983","929.546312094","929.623538971","932.626523018","1","932.640722036","940.408639908",""
"sujeto_2c6c72ad","1","1","15","15","940.542171001","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","0.964244842529","941.506469965","4.03575515747","945.700541973","3.45487499237","949.155482054","2.54512500763","951.750999928","952.799818039","952.868808031","955.871786118","1","955.885988951","962.576846123",""
