"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_2cd1c0e6","1","1","1","1","666.193491936","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.19292712212","668.38646698","2.80707287788","671.378060818","4.023458004","675.401562929","1.976541996","677.425053835","678.453339815","678.525149822","681.528120995","0","681.542866945","683.705374002",""
"sujeto_2cd1c0e6","1","1","2","2","683.843309879","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.40226101875","686.245615959","2.59773898125","689.0219419","3.31473493576","692.336715937","2.68526506424","695.056113958","696.934165001","697.023877859","700.026865959","0","700.042106867","702.134876013",""
"sujeto_2cd1c0e6","1","1","3","3","702.293805838","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.31596899033","704.609843969","2.68403100967","707.445155859","3.63659501076","711.081785917","2.36340498924","713.496130943","715.107783794","715.181320906","718.184305906","1","718.19868803","722.4770329",""
"sujeto_2cd1c0e6","1","1","4","4","722.616897821","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.09710001945","724.714058876","2.90289998055","727.773581982","3.07042503357","730.844065905","2.92957496643","733.825799942","735.030582905","735.110240936","738.113210917","1","738.126713991","741.580637932",""
"sujeto_2cd1c0e6","1","1","5","5","741.727407932","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.1907389164","743.918190956","2.8092610836","746.885118008","3.53705000877","750.422206879","2.46294999123","752.936422825","754.457840919","754.537251949","757.540226936","1","757.55556798","764.592217922",""
"sujeto_2cd1c0e6","1","1","6","6","764.739912987","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.9087331295","766.648718834","3.0912668705","769.91165185","3.65766310692","773.569350958","2.34233689308","775.965350866","777.020193815","777.098884821","780.101877928","0","780.117133856","787.743698835",""
"sujeto_2cd1c0e6","1","1","7","7","787.885061026","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","2.18853902817","790.07364893","2.81146097183","793.043658018","3.3659350872","796.409631968","2.6340649128","799.093375921","800.957412004","801.02708292","804.030058861","1","804.044613838","809.805616856",""
"sujeto_2cd1c0e6","1","1","8","8","809.946231842","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","2.90156507492","812.847838879","2.09843492508","815.117892027","4.42990899086","819.547843933","1.57009100914","821.15595603","822.599488974","822.673801899","825.676775932","0","825.690495014","831.789837837",""
"sujeto_2cd1c0e6","1","1","9","9","831.942430973","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.90964698792","833.852159023","3.09035301208","837.115411997","4.52959108353","841.645059824","1.47040891647","843.151218891","844.700706005","844.785206795","847.788199902","1","847.802649975","853.849973917",""
"sujeto_2cd1c0e6","1","1","10","10","853.98703599","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","2.28814601898","856.275223017","2.71185398102","859.160694838","4.37345099449","863.534199953","1.62654900551","865.211761951","866.780146837","866.863253832","869.866187811","0","869.880578995","876.954232931",""
"sujeto_2cd1c0e6","1","1","11","11","877.098514795","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.8528649807","878.951442003","3.1471350193","882.289585829","4.78586792946","887.075529814","1.21413207054","888.33915782","890.021255016","890.105671883","893.108669996","0","893.123474836","896.85677886",""
"sujeto_2cd1c0e6","1","1","12","12","896.991853952","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.93597507477","898.927901983","3.06402492523","902.166257858","3.69347405434","905.859771967","2.30652594566","908.20070982","909.573483944","909.651708841","912.65463686","0","912.669390917","915.444029808",""
