"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_3e78614c","1","1","1","1","528.682945967","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","1.25203084946","529.935040951","3.74796915054","533.842364073","4.42475509644","538.267185926","1.57524490356","539.876566887","540.904886961","540.977385998","543.980341911","0","543.99488306","546.157371998",""
"sujeto_3e78614c","1","1","2","2","546.296215057","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.34305500984","547.639347076","3.65694499016","551.451797009","4.53647518158","555.988340855","1.46352481842","557.503012896","559.381082058","559.452980042","562.455446959","0","562.471027851","564.563796043",""
"sujeto_3e78614c","1","1","3","3","564.706318855","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","0.955171108246","565.661556959","4.04482889175","569.861218929","3.49337291718","573.354631901","2.50662708282","575.894520044","577.506196976","577.579406977","580.582416058","1","580.596705914","584.875029087",""
"sujeto_3e78614c","1","1","4","4","585.015272856","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","0.853450059891","585.868793964","4.14654994011","590.170372009","3.00541901588","593.175833941","2.99458098412","596.222347021","597.427119017","597.50688386","600.509811878","1","600.522913933","603.976784945",""
"sujeto_3e78614c","1","1","5","5","604.123791933","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.38916993141","605.513007879","3.61083006859","609.263674974","2.55532383919","611.819058895","3.44467616081","615.313854933","616.835211992","616.91534996","619.918307066","1","619.932878017","626.966846943",""
"sujeto_3e78614c","1","1","6","6","627.101603031","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.01766395569","628.119328022","3.98233604431","632.260469913","4.49688792229","636.757417917","1.50311207771","638.312569857","639.367358923","639.445689917","642.448642969","0","642.463268042","650.089844942",""
"sujeto_3e78614c","1","1","7","7","650.231701851","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.29279708862","651.524543047","3.70720291138","655.388597965","3.38098883629","658.769626856","2.61901116371","661.423233032","663.287250996","663.375246048","666.378210068","1","666.392591","672.150449991",""
"sujeto_3e78614c","1","1","8","8","672.294200897","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.28254699707","673.576807976","3.71745300293","677.451082945","4.61383390427","682.064959049","1.38616609573","683.502048016","684.946366072","685.019751072","688.022439003","0","688.038661957","694.138007879",""
"sujeto_3e78614c","1","1","9","9","694.289000034","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.11811900139","695.407165051","3.88188099861","699.443876028","3.69431400299","703.138228893","2.30568599701","705.47862196","707.028111935","707.113890886","710.116878986","1","710.132153034","716.179475069",""
"sujeto_3e78614c","1","1","10","10","716.333215952","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","0.730202913284","717.063536882","4.26979708672","721.490876913","5.38657903671","726.877496004","0.613420963287","727.542582989","729.111022949","729.192596912","732.195572853","0","732.211102962","739.284745932",""
