"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_4517150c","1","1","1","1","586.896085978","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","0.995787143707","587.891942024","4.00421285629","592.05388999","3.86898207664","595.92292285","2.13101792336","598.104398966","599.132697821","599.205629826","602.208621979","0","602.223158836","604.385628939",""
"sujeto_4517150c","1","1","2","2","604.522521973","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","0.445555210114","604.968156815","4.55444478989","609.678527832","5.60947108269","615.288064957","0.390528917313","615.714171886","617.592175961","617.665308952","620.668232918","0","620.682152987","622.774888039",""
"sujeto_4517150c","1","1","3","3","622.917924881","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","0.902246952057","623.820225954","4.09775304794","628.072510958","2.81461000443","630.887166023","3.18538999557","634.105383873","635.717033863","635.791007996","638.793956995","1","638.808220863","643.086561918",""
"sujeto_4517150c","1","1","4","4","643.209806919","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","0.427464962006","643.637352943","4.57253503799","648.366204977","2.12998890877","650.49623394","3.87001109123","654.399725914","655.604493856","655.685096025","658.688055992","1","658.702098846","662.156028986",""
"sujeto_4517150c","1","1","5","5","662.303324938","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.57393598557","663.877310991","3.42606401443","667.460009813","2.81028795242","670.270357847","3.18971204758","673.492970943","675.014331818","675.094815969","678.097793818","1","678.112802029","685.149505854",""
"sujeto_4517150c","1","1","6","6","685.280158997","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","individual","left","1.19721698761","686.477419853","3.80278301239","690.434053898","3.41029381752","693.844408035","2.58970618248","696.468991995","697.523813963","697.570487022","700.570710897","0","700.587894917","708.214488029",""
"sujeto_4517150c","1","1","7","7","708.372211933","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","0.667403936386","709.039667845","4.33259606361","713.533208847","5.6442630291","719.177532911","0.355736970901","719.569068909","721.433094025","721.518719912","724.521698952","1","724.535923004","730.296947956",""
"sujeto_4517150c","1","1","8","8","730.437819958","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.0588350296","731.496738911","3.9411649704","735.594413996","4.25417208672","739.848654032","1.74582791328","741.646256924","743.090548992","743.163360834","746.166349888","0","746.180585861","752.279942989",""
"sujeto_4517150c","1","1","9","9","752.432579041","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","","1.04814910889","753.480779886","3.95185089111","757.589516878","6","763.589651823","0","763.605079889","765.154564857","765.22487998","768.227854967","0","768.242872","774.290155888",""
"sujeto_4517150c","1","1","10","10","774.410228968","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","0.990711927414","775.401026964","4.00928807259","779.567098856","2.83269786835","782.399839878","3.16730213165","785.618280888","787.186726809","787.269611835","790.272603989","0","790.286685944","797.360323906",""
"sujeto_4517150c","1","1","11","11","797.491207838","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","0.983808994293","798.475098848","4.01619100571","802.661687851","4.13111591339","806.792838812","1.86888408661","808.71267581","810.394732952","810.463999987","813.466886997","0","813.481006861","817.214310884",""
