"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_4ca6cef4","1","1","1","1","721.535419941","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","individual","right","2.33607506752","723.871532917","2.66392493248","726.707417965","3.05518102646","729.762640953","2.94481897354","732.759406805","733.787656784","733.827519894","736.830513954","0","736.843678951","739.006205797",""
"sujeto_4ca6cef4","1","1","2","2","739.130923986","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","individual","left","1.96209716797","741.093100786","3.03790283203","744.299402952","2.42942404747","746.728864908","3.57057595253","750.334057808","752.212044001","752.252539873","755.252797842","0","755.271330833","757.364045858",""
"sujeto_4ca6cef4","1","1","3","3","757.492036819","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.21801900864","758.710119963","3.78198099136","762.642437935","2.42670106888","765.069176912","3.57329893112","768.676980972","770.288669825","770.362332821","773.365301847","1","773.379152775","777.657501936",""
"sujeto_4ca6cef4","1","1","4","4","777.781417847","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.24481296539","779.02627182","3.75518703461","782.934841871","1.9914958477","784.9263978","4.0085041523","788.968961954","790.173690796","790.254650831","793.257572889","1","793.271663904","796.725536823",""
"sujeto_4ca6cef4","1","1","5","5","796.859171867","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.07836604118","797.937602997","3.92163395882","802.013900995","2.56465291977","804.578589916","3.43534708023","808.047500849","809.568889856","809.650063992","812.6530509","1","812.667151928","819.703853846",""
"sujeto_4ca6cef4","1","1","6","6","819.840325832","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.53844189644","821.378829002","3.46155810356","824.976540804","2.98542094231","827.962020874","3.01457905769","831.026789904","832.08075881","832.16224885","835.165179968","0","835.179172993","842.804768801",""
"sujeto_4ca6cef4","1","1","7","7","842.94647789","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.08167791367","844.028200865","3.91832208633","848.105764866","2.23645591736","850.342283964","3.76354408264","854.156022787","856.020035982","856.090215921","859.093179941","1","859.108143806","864.869149923",""
"sujeto_4ca6cef4","1","1","8","8","865.012969971","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","2.21648406982","867.229523897","2.78351593018","870.181204796","2.70737504959","872.888623953","3.29262495041","876.217120886","877.661423922","877.734902859","880.737866879","0","880.752066851","886.851436853",""
"sujeto_4ca6cef4","1","1","9","9","887.007193804","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","0.90962600708","887.916867971","4.09037399292","892.16149497","2.70037412643","894.861907959","3.29962587357","898.211759806","899.760752916","899.83095479","902.833906889","1","902.848037958","908.890822887",""
"sujeto_4ca6cef4","1","1","10","10","909.016741991","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.11238098145","910.129187822","3.88761901855","914.157429934","4.36373400688","918.521202803","1.63626599312","920.208261967","921.776716948","921.858928919","924.860776901","0","924.875980854","931.948786974",""
