"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_4e042fb0","1","1","1","1","56.9719939232","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","","1.99669694901","58.9687318802","3.00330305099","62.143666029","6","68.1438000202","0","68.16097188","69.1892828941","69.2636220455","72.2665679455","0","72.281897068","74.4444479942",""
"sujeto_4e042fb0","1","1","2","2","74.5843880177","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.41230416298","75.9967648983","3.58769583702","79.7359478474","2.59671783447","82.332711935","3.40328216553","85.7710618973","87.6490409374","87.722440958","90.7254228592","0","90.7407128811","92.8334779739",""
"sujeto_4e042fb0","1","1","3","3","92.9746639729","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","0.850045919418","93.8247549534","4.14995408058","98.1293969154","3.64427089691","101.773710012","2.35572910309","104.164249897","105.775929928","105.849097013","108.852082014","1","108.866746902","113.145084858",""
"sujeto_4e042fb0","1","1","4","4","113.286015987","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","0.822731971741","114.108792067","4.17726802826","118.440984964","2.57969093323","121.020740032","3.42030906677","124.490697861","125.695484877","125.775750875","128.778723955","1","128.793052912","132.24692893",""
"sujeto_4e042fb0","1","1","5","5","132.392520905","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","0.871270895004","133.263891935","4.128729105","137.549206018","2.47951197624","140.028774977","3.52048802376","143.583729982","145.105022907","145.185656071","148.188588858","1","148.202924967","155.239573956",""
"sujeto_4e042fb0","1","1","6","6","155.37431097","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","0.887393951416","156.261739969","4.11260604858","160.543967962","3.4287238121","163.972730875","2.5712761879","166.577777863","167.632541895","167.713433981","170.716438055","0","170.730195999","178.35678196",""
"sujeto_4e042fb0","1","1","7","7","178.501926899","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.09678602219","179.59877491","3.90321397781","183.656966925","2.45080089569","186.107826948","3.54919910431","189.707309961","191.571346998","191.64307189","194.646046877","1","194.66087389","200.421896935",""
"sujeto_4e042fb0","1","1","8","8","200.564899921","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.1778588295","201.742831945","3.8221411705","205.718770981","3.445966959","209.16477704","2.554033041","211.752682924","213.19697094","213.271393061","216.274371862","0","216.287827015","222.387193918",""
"sujeto_4e042fb0","1","1","9","9","222.525789022","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.00797009468","223.53380394","3.99202990532","227.663771868","3.42589497566","231.089709044","2.57410502434","233.697675943","235.247166872","235.332612991","238.335582972","1","238.34990406","244.39723587",""
"sujeto_4e042fb0","1","1","10","10","244.546134949","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","0.943634033203","245.489844084","4.0563659668","249.688392878","3.49737286568","253.185826063","2.50262713432","255.741210938","257.309634924","257.392458916","260.395447969","0","260.409751892","267.48338294",""
"sujeto_4e042fb0","1","1","11","11","267.629287004","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.10047721863","268.729829073","3.89952278137","272.785004854","3.63969397545","276.424736977","2.36030602455","278.836590052","280.518586874","280.603796959","283.606782913","0","283.621466875","287.354758978",""
"sujeto_4e042fb0","1","1","12","12","287.492872953","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","0.997869968414","288.490787029","4.00213003159","292.647403002","3.42329120636","296.070751905","2.57670879364","298.698225021","300.070983887","300.148757935","303.151011944","0","303.166897058","305.941525936",""
"sujeto_4e042fb0","1","1","13","13","306.085574865","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.23711800575","307.322733879","3.76288199425","311.240428925","3.12420797348","314.364692926","2.87579202652","317.290555","318.369808912","318.441734076","321.444717884","0","321.458956003","325.299968004",""
"sujeto_4e042fb0","1","1","14","14","325.477282047","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","left","0.936523914337","326.413874865","4.06347608566","330.631397009","4.11723303795","334.748667002","1.88276696205","336.683110952","338.140881062","338.217095852","341.220062971","1","341.235131979","349.008056879",""
"sujeto_4e042fb0","1","1","15","15","349.157083035","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.76264214516","350.919785023","3.23735785484","354.311831951","4.54892921448","358.860800028","1.45107078552","360.362686872","361.411541939","361.496762991","364.499017954","1","364.514765978","371.205569983",""
"sujeto_4e042fb0","1","1","16","16","371.352386951","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","right","1.16132593155","372.513755083","3.83867406845","376.507377863","4.27329492569","380.780730963","1.72670507431","382.541472912","384.281506062","384.358536005","387.36152792","0","387.376375914","390.836900949",""
"sujeto_4e042fb0","1","1","17","17","390.978484869","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","1.57819390297","392.556740046","3.42180609703","396.133687973","2.97600889206","399.109736919","3.02399110794","402.165452003","403.204444885","403.284157038","406.28715086","0","406.301655054","411.111332893",""
"sujeto_4e042fb0","1","1","18","18","411.271816015","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","0.948857069016","412.22073698","4.05114293098","416.426356077","4.14030313492","420.566716909","1.85969686508","422.477530003","424.433592081","424.51078701","427.513772011","0","427.529525995","431.132106066",""
"sujeto_4e042fb0","1","1","19","19","431.282389879","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","left","1.25432395935","432.53677392","3.74567604065","436.454525948","2.95409297943","439.408653975","3.04590702057","442.505184889","444.249273062","444.322733879","447.325686932","1","447.340168953","451.814570904",""
"sujeto_4e042fb0","1","1","20","20","451.959428072","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","0.702385902405","452.661877871","4.2976140976","457.13162303","2.40401411057","459.535676956","3.59598588943","463.181467056","465.120050907","465.200490952","468.203511","1","468.219023943","472.447824001",""
"sujeto_4e042fb0","1","1","21","21","472.60144496","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","0.950277805328","473.551766872","4.04972219467","477.755482912","3.77122306824","481.526746035","2.22877693176","483.807997942","485.322888851","485.408989906","488.411990881","0","488.427310944","495.549993992",""
"sujeto_4e042fb0","1","1","22","22","495.699110985","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","left","1.07164812088","496.770801067","3.92835187912","500.852545977","3.45705008507","504.309649944","2.54294991493","506.903691053","508.145767927","508.22134304","511.224339008","0","511.238986015","514.475297928",""
"sujeto_4e042fb0","1","1","23","23","514.606554031","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","left","1.06719183922","515.673793077","3.93280816078","519.764075994","5.53866910934","525.302805901","0.461330890656","525.799066067","527.060297966","527.132475853","530.135411024","1","530.148045063","533.949809074",""
"sujeto_4e042fb0","1","1","24","24","534.101711988","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","right","1.55501794815","535.656791925","3.44498205185","539.256778002","3.35990619659","542.616723061","2.64009380341","545.29072094","547.051456928","547.126066923","550.129045963","0","550.143318892","556.878417015",""
"sujeto_4e042fb0","1","1","25","25","557.015228033","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","competitive","right","0.705528020859","557.72082305","4.29447197914","562.181403875","4.14531803131","566.326766014","1.85468196869","568.233566999","570.22883606","570.300894976","573.30389595","1","573.319634914","578.862463951",""
"sujeto_4e042fb0","1","1","26","26","579.007750988","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","right","0.713940858841","579.721735001","4.28605914116","584.163792849","2.90687704086","587.070705891","3.09312295914","590.212852001","591.570878983","591.646842003","594.649834871","1","594.664579868","596.699297905",""
"sujeto_4e042fb0","1","1","27","27","596.867078066","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","competitive","right","1.20665597916","598.07379508","3.79334402084","602.005250931","4.08646798134","606.091778994","1.91353201866","608.057483912","609.812090874","609.890842915","612.893832922","1","612.908221006","620.304558992",""
"sujeto_4e042fb0","1","1","28","28","620.445391893","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","right","0.556424856186","621.001860857","4.44357514381","625.618006945","3.86266803741","629.48074007","2.13733196259","631.669229984","632.780313969","632.853715897","635.856687069","0","635.870990038","642.59108305",""
"sujeto_4e042fb0","1","1","29","29","642.73835206","direct","1","1","1","¿En qué año fue creado
 el sandwich?","1762","1653","","1","1","0","competitive","left","1.61530303955","644.353718042","3.38469696045","647.896811008","2.46594905853","650.362799883","3.53405094147","653.946435928","655.545001984","655.631386042","658.63438201","1","658.648953915","662.11958003",""
"sujeto_4e042fb0","1","1","30","30","662.267396927","inverse","4","1","2","El nombre de la moneda de Vietnam es:","Dinar","Dong","","0","0","1","competitive","right","0.65335893631","662.920804977","4.34664106369","667.440002918","3.80673503876","671.246777058","2.19326496124","673.49062705","674.922587872","675.008121967","678.011124849","0","678.025954008","684.194388866",""
"sujeto_4e042fb0","1","1","31","31","684.34719491","direct","2","1","1","¿cuantos aleteos puede dar 
un colibrí por segundo?","120","50","","0","0","0","competitive","left","1.03453588486","685.381772995","3.96546411514","689.501024961","2.95870113373","692.459765911","3.04129886627","695.551230907","697.283587933","697.370192051","700.373183012","0","700.387086868","704.597264051",""
"sujeto_4e042fb0","1","1","32","32","704.739739895","inverse","4","1","3","¿Qué altura promedio tienen
 los hombres uruguayos?","1.73 m","1.72 m","","1","1","1","competitive","left","1.16004800797","705.899852991","3.83995199203","709.895004034","2.74774503708","712.642808914","3.25225496292","715.945545912","717.207961082","717.280401945","720.283387899","1","720.297677994","724.773591042",""
"sujeto_4e042fb0","1","2","1","33","838.291414976","direct","1","1","1","¿En qué año nació 
el actor Bradd Pitt?","1967","1963","","1","1","1","competitive","left","1.61231708527","839.903792858","3.38768291473","843.445982933","3.65973186493","847.105772972","2.34026813507","849.479281902","850.575150967","850.648036957","853.651021004","1","853.664748907","859.592349052","724.788598061"
"sujeto_4e042fb0","1","2","2","34","859.736150026","inverse","2","1","1","¿Cual es el segundo 
monte más alto?","Kanchenjunga","K2","","1","1","1","competitive","right","1.16462516785","860.900835991","3.83537483215","864.891222","4.07551002502","868.966770887","1.92448997498","870.925446987","872.377857924","872.460052967","875.463011026","1","875.477607965","878.907526016",""
"sujeto_4e042fb0","1","2","3","35","879.047333956","direct","3","1","1","¿Cuándo finalizó la construcción
 del Palacio Legislativo?","1925","1917","","0","0","1","competitive","left","0.947494983673","879.99496007","4.05250501633","884.201472998","3.67931103706","887.880821943","2.32068896294","890.235455036","891.877168894","891.953157902","894.956127882","0","894.970468998","900.667984009",""
"sujeto_4e042fb0","1","2","4","36","900.822790861","inverse","3","1","3","¿Cuántos integrantes tenía
 en su inicio  el cuarteto de nos?","3","4","","1","1","1","competitive","right","1.7150220871","902.537885904","3.2849779129","905.979341984","4.18145680428","910.160862923","1.81854319572","912.030595064","913.163625002","913.248204947","916.251190901","1","916.265547037","921.915360928",""
"sujeto_4e042fb0","1","2","5","37","922.054297924","direct","2","1","3","¿Qué valor tiene el número pi?","3.14","4.18","left","0","0","1","competitive","left","1.08233880997","923.136690855","3.91766119003","927.20559907","1.78512215614","928.990758896","4.21487784386","933.254719019","934.708975077","934.79045701","937.793429852","1","937.80781889","944.72880888",""
"sujeto_4e042fb0","1","2","6","38","944.859513044","inverse","2","1","2","¿Cuál es la esperanza de vida
 en Uruguay?","75","77","","1","1","0","competitive","left","0.774297952652","945.633848906","4.22570204735","950.001038074","3.86269307137","953.863770008","2.13730692863","956.036228895","957.690042019","957.770192862","960.773191929","1","960.787806034","967.250818968",""
"sujeto_4e042fb0","1","2","7","39","967.392926931","direct","1","1","2","¿Cuantos pisos tiene la torre 
de las comunicaciones?","26","32","","1","1","0","competitive","left","1.26184487343","968.654813051","3.73815512657","972.547021866","3.62671995163","976.173779964","2.37328004837","978.581310034","980.41011095","980.482059002","983.485049009","1","983.500092983","985.646285057",""
"sujeto_4e042fb0","1","2","8","40","985.78460598","inverse","2","1","4","¿En qué país sudamericano 
no hay McDonalds?","Bolivia","Venezuela","","0","0","1","competitive","right","0.668194055557","986.452847958","4.33180594444","990.956069946","3.70067000389","994.656779051","2.29932999611","997.007061005","998.316432953","998.392030001","1001.39502001","0","1001.40930104","1007.76903105",""
"sujeto_4e042fb0","1","2","9","41","1007.91332698","direct","3","1","1","¿En qué año empieza
 la Edad Media?","476","512","","1","1","1","competitive","left","1.64644598961","1009.55981493","3.35355401039","1013.06763387","3.53517889977","1016.60285497","2.46482110023","1019.11643291","1020.52021289","1020.60153794","1023.60454488","1","1023.61938691","1026.60796404",""
"sujeto_4e042fb0","1","2","10","42","1026.75374889","inverse","3","1","4","¿Hace cuántos años surgió
 el ser humano?","200mil","300mil","","0","0","0","competitive","right","0.677068948746","1027.430861","4.32293105125","1031.91022205","5.14055109024","1037.05081701","0.85944890976","1037.94589591","1039.83197308","1039.91221094","1042.91520596","0","1042.9298749","1046.24035692",""
"sujeto_4e042fb0","1","2","11","43","1046.3993299","direct","3","1","4","¿Cuántas cuadras tiene
 actualmente 18 de julio? ","36","33","","0","0","1","competitive","right","1.68648695946","1048.08589196","3.31351304054","1051.57053399","3.28524184227","1054.85581493","2.71475815773","1057.62162495","1059.32388592","1059.40620899","1062.40920496","0","1062.423558","1067.14984703",""
"sujeto_4e042fb0","1","2","12","44","1067.29049492","inverse","1","1","4","¿Qué juego de equipo se 
considera mas rápido?","Lacrosse","Badminton","","0","0","0","competitive","left","1.20232892036","1068.4928689","3.79767107964","1072.44886088","3.59190297127","1076.04080701","2.40809702873","1078.48179197","1079.72490287","1079.80000591","1082.80299187","0","1082.81757998","1090.81272006",""
"sujeto_4e042fb0","1","2","13","45","1090.97162604","direct","1","1","3","¿Qué promedio de edad 
vive una jirafa? ","25","20","","0","0","1","competitive","right","1.27715110779","1092.24884295","3.72284889221","1096.109097","3.41668820381","1099.52582407","2.58331179619","1102.15961695","1103.92115498","1103.99375105","1106.99670887","0","1107.01181602","1112.96659088",""
"sujeto_4e042fb0","1","2","14","46","1113.13061404","inverse","1","1","2","¿Cuántos grandes lagos hay?","7","5","","0","0","1","competitive","right","1.96114206314","1115.09179807","3.03885793686","1118.286906","2.90282320976","1121.18979287","3.09717679024","1124.32300496","1125.61515093","1125.69074106","1128.69372988","0","1128.70620298","1136.52759385",""
"sujeto_4e042fb0","1","2","15","47","1136.67740703","direct","3","1","2","¿Cuántos discos de estudio
 grabó Johhny Cash? ","54","43","","1","1","0","competitive","left","0.831432104111","1137.50888705","4.16856789589","1141.83363199","2.92915487289","1144.76282597","3.07084512711","1147.86714792","1149.14576602","1149.21877503","1152.22174597","1","1152.23655701","1158.88749099",""
"sujeto_4e042fb0","1","2","16","48","1159.03966999","inverse","4","1","1","¿Cuántos barrios tiene
 Montevideo? ","71","62","","0","0","1","competitive","right","0.958158969879","1159.99787307","4.04184103012","1164.19543886","2.31339907646","1166.50890398","3.68660092354","1170.22817707","1171.23523402","1171.31397104","1174.31691289","0","1174.33136201","1179.79338694",""
"sujeto_4e042fb0","1","2","17","49","1179.94946194","direct","3","1","3","¿Qué edad tiene Homero Simpson?","36","42","","0","0","1","competitive","right","1.96432805061","1181.91385293","3.03567194939","1185.11935687","2.49842309952","1187.61784601","3.50157690048","1191.15735793","1192.53340888","1192.60822392","1195.61121392","0","1195.62555194","1200.01429892",""
"sujeto_4e042fb0","1","2","18","50","1200.16308188","inverse","4","1","2","¿Cuántos países con monarquía 
hay en europa actualmente? ","6","10","","1","1","1","competitive","left","0.94566488266","1201.10878897","4.05433511734","1205.31698895","3.7027759552","1209.01983285","2.2972240448","1211.36702704","1212.80534101","1212.8852489","1215.88825393","1","1215.902843","1222.05907106",""
"sujeto_4e042fb0","1","2","19","51","1222.20642304","direct","2","1","3","¿Cuántos capítulos de
 Friends existen? ","236","228","","1","1","1","competitive","left","1.33836698532","1223.54483199","3.66163301468","1227.34452105","2.73524808884","1230.07982802","3.26475191116","1233.39479804","1234.70037198","1234.77924895","1237.78224587","1","1237.79722285","1240.172858",""
"sujeto_4e042fb0","1","2","20","52","1240.333323","inverse","1","1","3","¿Cuántas óperas compuso Mozart? ","27","22","","1","1","1","competitive","left","1.36145615578","1241.69483995","3.63854384422","1245.486835","3.48988819122","1248.97678089","2.51011180878","1251.53798604","1252.83014798","1252.90542507","1255.90841389","1","1255.922791","1263.23109102",""
"sujeto_4e042fb0","1","2","21","53","1263.41127491","direct","4","1","3","¿Cuántos mundiales de fútbol 
femenino ha realizado FIFA? ","9","7","","1","1","1","competitive","right","1.43354892731","1264.84489298","3.56645107269","1268.58236408","4.38345313072","1272.96585703","1.61654686928","1274.63225389","1275.87597203","1275.96621394","1278.96920991","1","1278.98390508","1285.08638906",""
"sujeto_4e042fb0","1","2","22","54","1285.22205091","inverse","3","1","2","¿Cuál es la temperatura 
media anual en Montevideo? ","17.5","16.3","","0","0","1","competitive","left","1.36475205421","1286.58684492","3.63524794579","1290.37698388","4.39180898666","1294.76883292","1.60819101334","1296.41119099","1298.34979701","1298.42866802","1301.43163085","0","1301.44637203","1308.01590586",""
"sujeto_4e042fb0","1","2","23","55","1308.15049386","direct","2","1","2","¿En qué año se estrenó el
 videojuego The Sims? ","2000","2002","","0","0","0","individual","right","0.822298049927","1308.97285604","4.17770195007","1313.30520701","3.91355419159","1317.21880102","2.08644580841","1319.35640287","1321.21843195","1321.25727296","1324.26023889","0","1324.27513003","1331.66876793",""
"sujeto_4e042fb0","1","2","24","56","1331.81046891","inverse","2","1","1","¿Cuál es la canción con 
mas covers? ","Yesterday","Stand by me","","0","0","0","competitive","right","0.58837890625","1332.39892197","4.41162109375","1336.98401499","4.00078892708","1340.984864","1.99921107292","1343.03523588","1344.43379903","1344.5190599","1347.522048","0","1347.5374589","1351.70829892",""
"sujeto_4e042fb0","1","2","25","57","1351.85659289","direct","1","1","4","¿Cuánto duró la guerra
 de los 100 años?","116","123","","0","0","0","competitive","left","0.868293046951","1352.72497606","4.13170695305","1357.02645802","3.15634608269","1360.18284297","2.84365391731","1363.07828307","1364.55913305","1364.64673805","1367.64969206","0","1367.66589904","1369.9856689",""
"sujeto_4e042fb0","1","2","26","58","1370.13244987","inverse","4","1","4","¿Qué color tiene la  bandera de Brasil?","Amarillo","Naranja","left","0","0","1","competitive","left","0.859365940094","1370.99186301","4.14063405991","1375.28624701","3.17452502251","1378.46080899","2.82547497749","1381.33746886","1382.90400696","1382.989784","1385.99275899","1","1386.00735807","1389.04015708",""
"sujeto_4e042fb0","1","2","27","59","1389.17550898","direct","4","1","3","¿Qué carabela de 
Colon no volvió del viaje?","Santa María","La pinta","","0","0","1","competitive","left","0.941365003586","1390.11694908","4.05863499641","1394.33050108","4.47127509117","1398.80183291","1.52872490883","1400.38131189","1401.87237406","1401.96598887","1404.96898508","0","1404.98334098","1407.08277106",""
"sujeto_4e042fb0","1","2","28","60","1407.23635101","inverse","4","1","4","¿Cuántos huesos tiene
 un adulto humano?","217","206","","0","0","1","competitive","right","1.01546502113","1408.25187802","3.98453497887","1412.38723087","2.81460905075","1415.20190001","3.18539094925","1418.43927789","1419.7103219","1419.79047394","1422.79346395","0","1422.80776691","1430.64465094",""
"sujeto_4e042fb0","1","2","29","61","1430.79756188","direct","1","1","1","¿Qué país africano fue 
fundado por esclavos?","Liberia","Chad","","0","0","0","competitive","left","0.876314878464","1431.67392302","4.12368512154","1435.94953394","3.38428282738","1439.33388186","2.61571717262","1442.00098491","1443.99261904","1444.06926107","1447.07105994","0","1447.08733892","1455.07820296",""
"sujeto_4e042fb0","1","2","30","62","1455.2214129","inverse","4","1","2","¿A cuánto asciende la cima
 del monte Everest?","7.990 mts","8.848 mts","","0","0","1","competitive","right","0.660413980484","1455.88187003","4.33958601952","1460.38066888","4.05313611031","1464.43387103","1.94686388969","1466.43212485","1467.61697507","1467.69969106","1470.70265603","0","1470.71741295","1477.90150189",""
"sujeto_4e042fb0","1","2","31","63","1478.05526805","direct","4","1","1","¿Cuál es el país mas chico?","Sealand","Luxemburgo","","1","1","1","competitive","right","1.36358308792","1479.41891789","3.63641691208","1483.20959592","3.81817483902","1487.0278089","2.18182516098","1489.25439286","1491.11786604","1491.18890691","1494.19186497","1","1494.20687294","1497.3269639",""
"sujeto_4e042fb0","1","2","32","64","1497.4741869","inverse","2","1","4","¿Cuántas pirámides hay en Egipto?","10000","11000","","1","1","1","competitive","right","2.11264491081","1499.58687305","2.88735508919","1502.61691999","3.8568751812","1506.47385287","2.1431248188","1508.67108989","1509.70465207","1509.78892899","1512.79191899","1","1512.80590796","1517.91501403",""
"sujeto_4e042fb0","1","3","1","65","1624.27877498","direct","2","1","2","¿Cuál es el quinto país con 
mas extensión?","Canadá","Brasil","","1","1","0","competitive","left","0.896106958389","1625.17497396","4.10389304161","1629.43392205","3.45485210419","1632.88881397","2.54514789581","1635.48551202","1636.818753","1636.90315008","1639.90612197","1","1639.92080688","1647.6471889","1517.92996693"
"sujeto_4e042fb0","1","3","2","66","1647.78853798","inverse","1","1","2","¿Qué rasgo facial no tiene
 la Mona Lisa?","Cejas","Pómulos","","0","0","1","competitive","left","1.11433815956","1648.90292001","3.88566184044","1652.94696093","2.71788191795","1655.66490102","3.28211808205","1658.99689293","1660.74730587","1660.83160186","1663.83459592","0","1663.84930205","1670.12064004",""
