"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_5061298e","1","1","1","1","52.6207039356","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.35014891624","54.9708919525","2.64985108376","57.7899570465","4.75810313225","62.548101902","1.24189686775","63.8443410397","64.8726439476","64.9611520767","67.9641430378","0","67.9786729813","70.1412119865",""
"sujeto_5061298e","1","1","2","2","70.2799351215","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","2.07720994949","72.3571901321","2.92279005051","75.4670860767","3.86205601692","79.3292119503","2.13794398308","81.5026779175","83.3807170391","83.4532980919","86.4562699795","0","86.4708089828","88.5635719299",""
"sujeto_5061298e","1","1","3","3","88.7053670883","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.96090579033","90.6663501263","3.03909420967","93.878549099","3.08570313454","96.9643130302","2.91429686546","99.9285190105","101.540182114","101.613035917","104.616032124","1","104.631225109","108.909562111",""
"sujeto_5061298e","1","1","4","4","109.03264308","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.50372505188","110.536411047","3.49627494812","114.188318014","4.45908093452","118.64744091","1.54091906548","120.222340107","121.427158117","121.506422043","124.509335995","1","124.523957014","127.977855921",""
"sujeto_5061298e","1","1","5","5","128.126250029","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.52184700966","130.648205042","2.47815299034","133.296819925","3.02071094513","136.317569017","2.97928905487","139.349540949","140.870917082","140.95085907","143.953848124","1","143.968146086","151.001374006",""
"sujeto_5061298e","1","1","6","6","151.136631012","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","3.31206083298","154.448755026","1.68793916702","156.293388128","3.87529397011","160.16873908","2.12470602989","162.344559908","163.399383068","163.479912043","166.482844114","0","166.497013092","174.123642921",""
"sujeto_5061298e","1","1","7","7","174.24729991","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.73254609108","175.979908943","3.26745390892","179.389277935","4.12066793442","183.509987116","1.87933206558","185.438241005","187.302259922","187.373006105","190.375930071","1","190.390443087","196.151477098",""
"sujeto_5061298e","1","1","8","8","196.292149067","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","individual","left","2.85088419914","199.143079042","2.14911580086","201.466975927","3.03407597542","204.501091003","2.96592402458","207.518264055","208.962579966","209.002681971","212.003011942","0","212.020630121","218.119931936",""
"sujeto_5061298e","1","1","9","9","218.272438049","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.53776216507","220.810250998","2.46223783493","223.441128016","3.78711414337","227.228301048","2.21288585663","229.497105122","231.046607971","231.131124973","234.133898973","1","234.148541927","240.194921017",""
"sujeto_5061298e","1","1","10","10","240.333189011","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.91827082634","242.251511097","3.08172917366","245.505579948","5.21178507805","250.717406034","0.788214921951","251.542104959","253.110492945","253.192317009","256.195282936","0","256.209728003","263.283333063",""
"sujeto_5061298e","1","1","11","11","263.427910089","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.29661798477","264.724573135","3.70338201523","268.585751057","4.03877210617","272.624562025","1.96122789383","274.637120962","276.319171906","276.404565096","279.407506943","0","279.421659946","283.154916048",""
"sujeto_5061298e","1","1","12","12","283.290655136","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.267993927","284.558717012","3.732006073","288.459747076","4.33190917969","292.791695118","1.66809082031","294.511636972","295.883855104","295.963313103","298.966305017","0","298.980474949","301.755093098",""
"sujeto_5061298e","1","1","13","13","301.898962021","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","3.69187378883","305.590879917","1.30812621117","307.106363058","4.1804921627","311.286912918","1.8195078373","313.157063007","314.235882044","314.308267117","317.311254025","0","317.324914932","321.165921926",""
"sujeto_5061298e","1","1","14","14","321.309828043","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.27508091927","322.58495307","3.72491908073","326.46589303","4.31810998917","330.784039974","1.68189001083","332.516981125","333.974817991","334.050781965","337.05381608","1","337.06904912","344.841958046",""
"sujeto_5061298e","1","1","15","15","345.003993034","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","2.75719881058","347.7612679","2.24280118942","350.161340952","3.99184203148","354.153244019","2.00815796852","356.213373899","357.262197018","357.347054958","360.350037098","1","360.364180088","367.055043936",""
"sujeto_5061298e","1","1","16","16","367.182200909","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","right","1.56703805923","368.749306917","3.43296194077","372.357082129","5.14917492867","377.506298065","0.850825071335","378.40771699","380.147726059","380.225116014","383.228106976","0","383.242742062","386.703258991",""
"sujeto_5061298e","1","1","17","17","386.84454298","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","1.57683801651","388.421422005","3.42316198349","391.999704123","4.01776504517","396.017508984","1.98223495483","398.051479101","399.090485096","399.168884993","402.171864986","0","402.185357094","406.995034933",""
"sujeto_5061298e","1","1","18","18","407.137476921","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","1.59607601166","408.73359704","3.40392398834","412.293654919","5.42990803719","417.72362709","0.570091962814","418.345391989","420.301486969","420.378875971","423.381865978","0","423.397139072","426.999701977",""
"sujeto_5061298e","1","1","19","19","427.148324966","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","","","","","","","","","","","","","","","432.167660952","436.642086029",""
"sujeto_5061298e","1","1","20","20","436.767980099","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.23577809334","438.003853083","3.76422190666","441.926064968","2.93579888344","444.861926079","3.06420111656","447.976191998","449.915520906","449.995090961","452.998048067","1","453.012408972","457.241204977",""
"sujeto_5061298e","1","1","21","21","457.380329132","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","0.720564126968","458.100964069","4.27943587303","462.566782951","3.63915801048","466.20598197","2.36084198952","468.619420052","470.134244919","470.220569134","473.22356391","0","473.237985134","480.360683918",""
"sujeto_5061298e","1","1","22","22","480.505847931","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","right","2.7962679863","483.302191973","2.2037320137","485.665625095","3.50357604027","489.169245005","2.49642395973","491.715079069","492.957147121","493.0322299","496.035176992","0","496.049613953","499.285939932",""
"sujeto_5061298e","1","1","23","23","499.418035984","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","right","2.50119185448","501.919325113","2.49880814552","504.591929913","4.90534996986","509.497318983","1.09465003014","510.643821955","511.905064106","511.977967024","514.980957031","1","514.995461941","518.79720211",""
"sujeto_5061298e","1","1","24","24","518.929744005","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","right","2.51161599159","521.441425085","2.48838400841","524.08571291","3.44264507294","527.528415918","2.55735492706","530.13704896","531.896826029","531.971208096","534.974221945","0","534.989401102","541.724487066",""
"sujeto_5061298e","1","1","25","25","541.873234034","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","competitive","right","3.00127696991","544.874553919","1.99872303009","547.047075987","4.83656096458","551.883677959","1.16343903542","553.099173069","555.094424009","555.183510065","558.184411049","1","558.200940132","563.743745089",""
"sujeto_5061298e","1","1","26","26","563.86877799","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","left","2.8299369812","566.698848963","2.1700630188","569.041810036","4.17791295052","573.219773054","1.82208704948","575.077199936","576.43523097","576.510890007","579.513880968","1","579.528439045","581.563144922",""
"sujeto_5061298e","1","1","27","27","581.697487116","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","competitive","right","2.20440101624","583.901931047","2.79559898376","586.852134943","4.05571103096","590.90791297","1.94428896904","592.902879","594.657483101","594.737806082","597.740804911","1","597.755135059","605.151499987",""
"sujeto_5061298e","1","1","28","28","605.289237022","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","right","3.98976683617","609.279074907","1.01023316383","610.448221922","4.23484706879","614.683128119","1.76515293121","616.498268127","617.609309912","617.683131933","620.686065912","0","620.700417995","627.422920942",""
"sujeto_5061298e","1","1","29","29","627.568690062","direct","1","1","1","¿En qué año fue creado
 el sandwich?","1762","1653","","1","1","0","competitive","right","0.636431217194","628.205183983","4.36356878281","632.755927086","2.71924805641","635.475214958","3.28075194359","638.808097124","640.406661034","640.493397951","643.496380091","1","643.510504961","646.98111701",""
"sujeto_5061298e","1","1","30","30","647.128674984","inverse","4","1","2","El nombre de la moneda de Vietnam es:","Dinar","Dong","","0","0","1","competitive","","1.08927583694","648.218097925","3.91072416306","652.285581112","6","658.28571701","0","658.30181694","659.733793974","659.821675062","662.82467103","0","662.838917971","669.007313967",""
"sujeto_5061298e","1","1","31","31","669.156783104","direct","2","1","1","¿cuantos aleteos puede dar 
un colibrí por segundo?","120","50","","0","0","0","competitive","left","1.824696064","670.981539011","3.175303936","674.330625057","2.4829120636","676.813576937","3.5170879364","680.381381989","682.113811016","682.199491978","685.201234102","0","685.217411995","689.429654121",""
"sujeto_5061298e","1","1","32","32","689.585815907","inverse","4","1","3","¿Qué altura promedio tienen
 los hombres uruguayos?","1.73 m","1.72 m","","1","1","1","competitive","left","2.97480607033","692.560686111","2.02519392967","694.757544994","3.12307882309","697.880682945","2.87692117691","700.809221029","702.071604967","702.160587072","705.163557053","1","705.177830935","709.653739929",""
"sujeto_5061298e","1","2","1","33","836.206154108","direct","1","1","1","¿En qué año nació 
el actor Bradd Pitt?","1967","1963","","1","1","1","competitive","left","0.954298973083","837.160521984","4.04570102692","841.36746192","2.98926591873","844.356784105","3.01073408127","847.417746067","848.51363492","848.586303949","851.589303017","1","851.603543043","857.531137943","709.665740967"
"sujeto_5061298e","1","2","2","34","857.671483994","inverse","2","1","1","¿Cual es el segundo 
monte más alto?","Kanchenjunga","K2","","1","1","1","competitive","right","0.884479999542","858.556030035","4.11552000046","862.828655005","4.2963809967","867.125097036","1.7036190033","868.880579948","870.332999945","870.414461136","873.417459965","1","873.431800127","876.861709118",""
"sujeto_5061298e","1","2","3","35","876.999503136","direct","3","1","1","¿Cuándo finalizó la construcción
 del Palacio Legislativo?","1925","1917","","0","0","1","competitive","right","1.42056012154","878.420112133","3.57943987846","882.17346096","3.73962593079","885.913125992","2.26037406921","888.224035978","889.865739107","889.941334963","892.944317102","0","892.958964109","898.656538963",""
"sujeto_5061298e","1","2","4","36","898.79404211","inverse","3","1","3","¿Cuántos integrantes tenía
 en su inicio  el cuarteto de nos?","3","4","","1","1","1","competitive","right","0.873286008835","899.667397976","4.12671399117","903.949944973","3.48538184166","907.435385942","2.51461815834","910.000998974","911.134108067","911.219490051","914.222455978","1","914.237030029","919.886850119",""
"sujeto_5061298e","1","2","5","37","920.03769207","direct","2","1","3","¿Qué valor tiene el número pi?","3.14","4.18","left","0","0","1","competitive","left","1.12469315529","921.162447929","3.87530684471","925.195425034","2.45705914497","927.652543068","3.54294085503","931.245486975","932.698799133","932.780081987","935.783083916","1","935.797384977","942.717829943",""
"sujeto_5061298e","1","2","6","38","942.849235058","inverse","2","1","2","¿Cuál es la esperanza de vida
 en Uruguay?","75","77","","1","1","0","competitive","right","1.01931810379","943.868616104","3.98068189621","948.006330013","2.75030589104","950.756695032","3.24969410896","954.057282925","955.711076021","955.792483091","958.795464039","1","958.809817076","965.272846937",""
"sujeto_5061298e","1","2","7","39","965.411201954","direct","1","1","2","¿Cuantos pisos tiene la torre 
de las comunicaciones?","26","32","","1","1","0","competitive","right","0.833534955978","966.244837999","4.16646504402","970.568474054","3.94529294968","974.513839006","2.05470705032","976.602700949","978.431502104","978.520890951","981.523874998","1","981.538478136","983.684677124",""
"sujeto_5061298e","1","2","8","40","983.839802027","inverse","2","1","4","¿En qué país sudamericano 
no hay McDonalds?","Bolivia","Venezuela","","0","0","1","competitive","left","1.58909487724","985.428945065","3.41090512276","989.011868","3.77307891846","992.784990072","2.22692108154","995.062731028","996.372136116","996.44747901","999.450448036","0","999.464560986","1005.82428598",""
"sujeto_5061298e","1","2","9","41","1005.949301","direct","3","1","1","¿En qué año empieza
 la Edad Media?","476","512","","1","1","1","competitive","left","1.32474899292","1007.27411604","3.67525100708","1011.10662508","3.67248392105","1014.77917504","2.32751607895","1017.15754509","1018.56130791","1018.64221001","1021.64518809","1","1021.66006398","1024.64861798",""
