"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_529b55b0","1","1","1","1","928.175816059","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","1.75997805595","929.935845137","3.24002194405","933.331532001","2.07037806511","935.401982069","3.92962193489","939.381458998","940.409732103","940.483821154","943.483990192","0","943.500790119","945.663328171",""
"sujeto_529b55b0","1","1","2","2","945.802529097","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.19446992874","946.997045994","3.80553007126","950.957280159","3.6167371273","954.574058056","2.3832628727","957.007723093","958.885763168","958.959724188","961.962699175","0","961.976944208","964.069710016",""
"sujeto_529b55b0","1","1","3","3","964.212311029","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","0.574815988541","964.787204027","4.42518401146","969.367179155","3.99991512299","973.367154121","2.00008487701","975.418023109","977.029707193","977.102571011","980.105552197","1","980.119760036","984.398095131",""
"sujeto_529b55b0","1","1","4","4","984.538101196","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","0.902173042297","985.440328121","4.0978269577","989.708464146","2.29182505608","992.00033021","3.70817494392","995.760902166","996.965643167","997.046497107","1000.04946613","1","1000.06349802","1003.51741099",""
"sujeto_529b55b0","1","1","5","5","1003.64864421","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","0.933783054352","1004.58247304","4.06621694565","1008.80459213","3.56090307236","1012.36553502","2.43909692764","1014.83822203","1016.35957718","1016.43912315","1019.44209599","1","1019.45725298","1026.49200916",""
"sujeto_529b55b0","1","1","6","6","1026.65836215","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","0.757295131683","1027.41572905","4.24270486832","1031.81558919","3.42605614662","1035.24171615","2.57394385338","1037.85001898","1038.90483403","1038.98475099","1041.98773313","0","1042.0020442","1049.62801003",""
"sujeto_529b55b0","1","1","7","7","1049.78719807","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","0.555644035339","1050.34292507","4.44435596466","1054.94451499","3.92229700089","1058.86685801","2.07770299911","1060.99567914","1062.85968018","1062.93018413","1065.93315411","1","1065.94735098","1071.70837617",""
"sujeto_529b55b0","1","1","8","8","1071.883008","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.35590100288","1073.23895001","3.64409899712","1077.040272","3.6076798439","1080.64799404","2.3923201561","1083.09075212","1084.53505707","1084.60877419","1087.611763","0","1087.62675309","1093.72611117",""
"sujeto_529b55b0","1","1","9","9","1093.86039209","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","0.860790967941","1094.72125602","4.13920903206","1099.0135591","3.946641922","1102.96026516","2.053358078","1105.04934812","1106.59886408","1106.68372798","1109.68395305","1","1109.7013042","1115.74861002",""
"sujeto_529b55b0","1","1","10","10","1115.88628101","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","0.619078874588","1116.50540805","4.38092112541","1121.06313705","4.51914286613","1125.58234406","1.48085713387","1127.11398101","1128.6823802","1128.76544619","1131.76800299","0","1131.78239703","1138.85602212",""
"sujeto_529b55b0","1","1","11","11","1138.98440218","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.12214899063","1140.106637","3.87785100937","1144.14142203","3.96203398705","1148.10352206","2.03796601295","1150.17530203","1151.85598612","1151.92713714","1154.93011212","0","1154.94455814","1158.6778512",""
"sujeto_529b55b0","1","1","12","12","1158.81275916","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","0.755923986435","1159.568753","4.24407601357","1163.98426914","3.59143209457","1167.575773","2.40856790543","1170.03564405","1171.40838504","1171.48657012","1174.48956513","0","1174.50465417","1177.27929211",""
"sujeto_529b55b0","1","1","13","13","1177.40561008","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","0.850181102753","1178.25585818","4.14981889725","1182.57664013","3.10211610794","1185.6787951","2.89788389206","1188.66235113","1189.74156904","1189.81421518","1192.81719303","0","1192.83039212","1196.671386",""
"sujeto_529b55b0","1","1","14","14","1196.79931808","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","0.751649856567","1197.55101705","4.24835014343","1201.97128415","5.27473020554","1207.24606299","0.725269794464","1208.02383518","1209.481704","1209.55702615","1212.55999303","1","1212.57431412","1220.34724307",""
"sujeto_529b55b0","1","1","15","15","1220.50948715","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.10461115837","1221.61414814","3.89538884163","1225.66727209","5.33288216591","1231.0002141","0.667117834091","1231.71892214","1232.76770806","1232.83632302","1235.83924508","1","1235.8535161","1242.54433298",""
