"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_587bbcbb","1","1","1","1","57.3244018555","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.12443900108","59.4489450455","2.87556099892","62.5123279095","4.47852492332","66.9909000397","1.52147507668","68.5485780239","69.5768170357","69.6478710175","72.6508228779","0","72.6658740044","74.8284139633",""
"sujeto_587bbcbb","1","1","2","2","74.9671859741","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","3.94276809692","78.9100179672","1.05723190308","80.1234438419","3.53854012489","83.6620528698","2.46145987511","86.1741878986","88.0522089005","88.1253118515","91.1282958984","0","91.142539978","93.2353110313",""
"sujeto_587bbcbb","1","1","3","3","93.3774869442","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","2.67264294624","96.0501718521","2.32735705376","98.5326490402","3.28650593758","101.819222927","2.71349406242","104.583001852","106.194679976","106.266782045","109.2697649","1","109.285404921","113.563753843",""
"sujeto_587bbcbb","1","1","4","4","113.703083038","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.37417507172","116.077311993","2.62582492828","118.876790047","2.70055913925","121.577409029","3.29944086075","124.926878929","126.131645918","126.212383032","129.215342999","1","129.229218006","132.683161974",""
"sujeto_587bbcbb","1","1","5","5","132.830533981","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.04892802238","134.879524946","2.95107197762","138.001637936","3.0248799324","141.026587963","2.9751200676","144.053900957","145.575292826","145.655279875","148.658272028","1","148.672576904","155.709307909",""
"sujeto_587bbcbb","1","1","6","6","155.840205908","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.77442193031","157.614680052","3.22557806969","161.015374899","3.74221205711","164.757647991","2.25778794289","167.066097975","168.120918989","168.200615883","171.203569889","0","171.218127966","178.844678879",""
"sujeto_587bbcbb","1","1","7","7","178.986379862","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","2.98552203178","181.972022057","2.01447796822","184.139030933","3.54582190514","187.68491888","2.45417809486","190.175636053","192.039676905","192.110312939","195.11329484","1","195.127940893","200.888944864",""
"sujeto_587bbcbb","1","1","8","8","201.029191971","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","2.07287621498","203.102109909","2.92712378502","206.188213825","3.01490402222","209.203177929","2.98509597778","212.238692045","213.682976961","213.757206917","216.760143995","0","216.774816036","222.874176979",""
"sujeto_587bbcbb","1","1","9","9","223.009865046","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.80636715889","224.816335917","3.19363284111","228.199542046","4.1617000103","232.361315966","1.8382999897","234.233924866","235.783442974","235.868805885","238.871798992","1","238.886504889","244.933820009",""
"sujeto_587bbcbb","1","1","10","10","245.071013927","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","2.53340792656","247.604464054","2.46659207344","250.22731185","4.3891479969","254.616519928","1.6108520031","256.280283928","257.848726988","257.930321932","260.933313847","0","260.948513031","268.022150993",""
"sujeto_587bbcbb","1","1","11","11","268.166609049","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.8959748745","270.062648058","3.1040251255","273.323770046","3.37491393089","276.698724031","2.62508606911","279.374701023","281.056751966","281.142904997","284.145894051","0","284.160128832","287.893445015",""
"sujeto_587bbcbb","1","1","12","12","288.045660019","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","3.04112505913","291.086833","1.95887494087","293.214620829","3.38222813606","296.596890926","2.61777186394","299.251835823","300.624588966","300.703670025","303.704397917","0","303.721163034","306.495777845",""
"sujeto_587bbcbb","1","1","13","13","306.63915205","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","left","2.08974099159","308.728955984","2.91025900841","311.794311047","4.00969004631","315.804066896","1.99030995369","317.877693892","318.956918955","319.029011965","322.031963825","0","322.046210051","325.887228966",""
"sujeto_587bbcbb","1","1","14","14","326.014550924","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.94589090347","327.960491896","3.05410909653","331.187242985","4.05133318901","335.238647938","1.94866681099","337.236522913","338.694347858","338.771014929","341.77401495","1","341.789240837","349.562165976",""
"sujeto_587bbcbb","1","1","15","15","349.707008839","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","2.41030693054","352.117365837","2.58969306946","354.86715889","4.38918089867","359.256379843","1.61081910133","360.916795015","361.965569973","362.051333904","365.054280996","1","365.068945885","371.75977397",""
"sujeto_587bbcbb","1","1","16","16","371.886162043","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","left","1.9853451252","373.871557951","3.0146548748","377.043973923","3.61557292938","380.659589052","2.38442707062","383.096067905","384.83603406","384.91346097","387.915465832","0","387.931447983","391.391968966",""
"sujeto_587bbcbb","1","1","17","17","391.533162832","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","3.05752396584","394.590731859","1.94247603416","396.704568863","2.97301197052","399.677634954","3.02698802948","402.756135941","403.795151949","403.874248981","406.877249002","0","406.891578913","411.700366974",""
"sujeto_587bbcbb","1","1","18","18","411.842674971","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","individual","right","1.31612014771","413.158859968","3.68387985229","417.016170979","4.51070308685","421.526933908","1.48929691315","423.049485922","425.005601883","425.049887896","428.052830935","0","428.068091869","431.670400858",""
