"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_5ce680d","1","1","1","1","124.841533899","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","","2.03059697151","126.872175932","2.96940302849","129.998558044","6","135.998697996","0","136.017145872","137.04539299","137.11815691","140.12113905","0","140.135185003","142.297703028",""
"sujeto_5ce680d","1","1","2","2","142.452048063","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","2.15188312531","144.60401392","2.84811687469","147.609299898","2.90185594559","150.511194944","3.09814405441","153.659700871","155.537716866","155.611222982","158.614198923","0","158.628496885","160.721256018",""
"sujeto_5ce680d","1","1","3","3","160.864458084","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.74421811104","162.608720064","3.25578188896","166.01925993","2.78765797615","168.806957006","3.21234202385","172.069417953","173.680502892","173.754493952","176.757467985","1","176.771637917","181.049942017",""
"sujeto_5ce680d","1","1","4","4","181.209750891","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.53677201271","182.746564865","3.46322798729","186.347033978","2.53179979324","188.878875017","3.46820020676","192.39683795","193.601594925","193.68241787","196.684534073","1","196.699524879","200.15344286",""
"sujeto_5ce680d","1","1","5","5","200.300021887","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.92736887932","202.227441072","3.07263112068","205.47095108","2.1196539402","207.59067297","3.8803460598","211.52431488","213.045681953","213.127100945","216.130084038","1","216.144442081","223.181108952",""
"sujeto_5ce680d","1","1","6","6","223.316717863","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.00764608383","224.324454069","3.99235391617","228.470151901","2.32743191719","230.79762888","3.67256808281","234.503637075","235.558423042","235.639221907","238.640539885","0","238.656885862","246.283479929",""
"sujeto_5ce680d","1","1","7","7","246.443983078","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","2.28745102882","248.731474876","2.71254897118","251.583848","2.53576588631","254.119693995","3.46423411369","257.63397789","259.496545076","259.569449902","262.572437048","1","262.586704016","268.344511032",""
"sujeto_5ce680d","1","1","8","8","268.49138689","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.11994504929","269.611397982","3.88005495071","273.645201921","3.64344000816","277.288686991","2.35655999184","279.679365873","281.123668909","281.198289871","284.201271057","0","284.214586973","290.313907862",""
"sujeto_5ce680d","1","1","9","9","290.48643899","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.5229279995","292.009433031","3.4770720005","295.624142885","3.38233304024","299.006537914","2.61766695976","301.675203085","303.224719048","303.309460878","306.312443972","1","306.327375889","312.374168873",""
"sujeto_5ce680d","1","1","10","10","312.512508869","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.1077029705","313.620259047","3.8922970295","317.649535894","3.69050693512","321.34008193","2.30949306488","323.70189786","325.270340919","325.353095055","328.356067896","0","328.37025094","335.443866014",""
"sujeto_5ce680d","1","1","11","11","335.588563919","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.57222390175","337.160826921","3.42777609825","340.730493069","2.80832099915","343.538851976","3.19167900085","346.780917883","348.462892056","348.532567978","351.53551507","0","351.549725056","355.280494928",""
"sujeto_5ce680d","1","1","12","12","355.417592049","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","2.50508117676","357.92275095","2.49491882324","360.587971926","4.64853596687","365.23656702","1.35146403313","366.625420094","367.998133898","368.075860023","371.078830957","0","371.093160868","373.867800951",""
"sujeto_5ce680d","1","1","13","13","374.010210991","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","left","1.52326488495","375.533523083","3.47673511505","379.199562073","3.19574809074","382.395375967","2.80425190926","385.249808073","386.32852602","386.402137995","389.405124903","0","389.419127941","393.260117054",""
"sujeto_5ce680d","1","1","14","14","393.386657","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.68763589859","395.074357033","3.31236410141","398.52671504","3.78346204758","402.310217857","2.21653795242","404.577095985","406.034916878","406.111427069","409.114403963","1","409.128630877","416.901571989",""
"sujeto_5ce680d","1","1","15","15","417.051248074","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","1.7779109478","418.829220057","3.2220890522","422.205466032","3.44062495232","425.646151066","2.55937504768","428.256248951","429.305051088","429.390476942","432.392519951","1","432.407711983","439.096528053",""
"sujeto_5ce680d","1","1","16","16","439.243221998","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","individual","left","2.1458158493","441.389107943","2.8541841507","444.413908958","3.34509181976","447.759065866","2.65490818024","450.450867891","452.190855026","452.235478878","455.236530066","0","455.252811909","458.713348866",""
