"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_61b0c637","1","1","1","1","629.499253988","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.89349889755","631.392816067","3.10650110245","634.669242144","3.42959499359","638.098886967","2.57040500641","640.704997063","641.733296156","641.806514025","644.808104992","0","644.82267499","646.984097958",""
"sujeto_61b0c637","1","1","2","2","647.143144131","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.41567611694","648.558887959","3.58432388306","652.296029091","4.23980498314","656.535897017","1.76019501686","658.3463521","660.22437501","660.296939135","663.299891949","0","663.31490016","665.407629967",""
"sujeto_61b0c637","1","1","3","3","665.55102396","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.30678796768","666.857881069","3.69321203232","670.688814163","3.79598402977","674.484859943","2.20401597023","676.722296","678.333971977","678.405420065","681.408369064","1","681.422559977","685.700123072",""
"sujeto_61b0c637","1","1","4","4","685.84315896","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.30363202095","687.146841049","3.69636797905","690.982967138","2.31289410591","693.29590416","3.68710589409","697.016509056","698.221272945","698.301398039","701.304389954","1","701.318747044","704.77263999",""
"sujeto_61b0c637","1","1","5","5","704.919866085","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.40994501114","706.329877138","3.59005498886","710.059239149","2.48159503937","712.540904045","3.51840496063","716.109152079","717.630522966","717.711439133","720.712104082","1","720.729220152","727.765872955",""
"sujeto_61b0c637","1","1","6","6","727.900058985","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.200756073","729.100860119","3.799243927","733.052778959","4.11803603172","737.170858145","1.88196396828","739.104233027","740.159039021","740.238353968","743.240105152","0","743.255411148","750.880146027",""
"sujeto_61b0c637","1","1","7","7","751.011920929","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.09185409546","752.103824139","3.90814590454","756.165912151","1.37985515594","757.545813084","4.62014484406","762.198899031","764.06290102","764.135545969","767.138529062","1","767.152838945","772.913865089",""
"sujeto_61b0c637","1","1","8","8","773.073815107","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.2179620266","774.291851997","3.7820379734","778.227836132","2.15493297577","780.38283515","3.84506702423","784.27820611","785.722523928","785.796164036","788.799139977","0","788.813717127","794.913073063",""
"sujeto_61b0c637","1","1","9","9","795.051779985","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","","2.047082901","797.098932028","2.952917099","800.220701933","6","806.220850945","0","806.240077972","807.789572001","807.875152111","810.878134012","0","810.892290115","816.939574957",""
"sujeto_61b0c637","1","1","10","10","817.076281071","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.59760594368","818.673931122","3.40239405632","822.217504025","4.54135489464","826.75893712","1.45864510536","828.250753164","829.819180965","829.901685953","832.904634953","0","832.918703079","839.992336988",""
