"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_63c82dc6","1","1","1","1","74.0264840126","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","1.26174998283","75.2882769108","3.73825001717","79.1948039532","4.82441186905","84.0192630291","1.17558813095","85.2312459946","86.2595448494","86.3320329189","89.3341629505","0","89.3491649628","91.5116698742",""
"sujeto_63c82dc6","1","1","2","2","91.6513228416","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.99503397942","93.6464240551","3.00496602058","96.8071238995","3.83129096031","100.638458967","2.16870903969","102.844609976","104.722650051","104.812711","107.815690994","0","107.830391884","109.923168898",""
"sujeto_63c82dc6","1","1","3","3","110.06578207","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.01569008827","112.081521034","2.98430991173","115.218564034","2.58195018768","117.800555944","3.41804981232","121.270097017","122.881780863","122.955307007","125.958292961","1","125.96876502","130.247110844",""
"sujeto_63c82dc6","1","1","4","4","130.386716843","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.5589029789","131.945668936","3.4410970211","135.527721882","2.646889925","138.174677849","3.353110075","141.576416969","142.781184912","142.862437963","145.862933874","1","145.879520893","149.333463907",""
"sujeto_63c82dc6","1","1","5","5","149.481261969","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.98944592476","151.470751047","3.01055407524","154.623513937","3.79528403282","158.418859959","2.20471596718","160.657533884","162.178920984","162.259338856","165.262325048","1","165.277063847","172.313695908",""
"sujeto_63c82dc6","1","1","6","6","172.461109877","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","2.09679794312","174.557950974","2.90320205688","177.618886948","3.60002303123","181.218950987","2.39997696877","183.66831398","184.723129988","184.802433014","187.805412054","0","187.819922924","195.442971945",""
"sujeto_63c82dc6","1","1","7","7","195.605097055","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.86897110939","197.474164963","3.13102889061","200.764410973","3.68669581413","204.451159","2.31330418587","206.814477921","208.678499937","208.766258001","211.769239902","1","211.778559923","217.536290884",""
"sujeto_63c82dc6","1","1","8","8","217.67967701","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.54753112793","219.227272987","3.45246887207","222.842658997","4.79465913773","227.63735795","1.20534086227","228.889569044","230.333885908","230.423549891","233.426514864","0","233.442534924","239.541898012",""
"sujeto_63c82dc6","1","1","9","9","239.676481962","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","individual","left","1.15794110298","240.834465981","3.84205889702","244.819339991","4.44502520561","249.264410019","1.55497479439","250.869600058","252.419112921","252.471361876","255.47430706","1","255.488843918","261.536174059",""
"sujeto_63c82dc6","1","1","10","10","261.707031012","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","1.20053720474","262.907635927","3.79946279526","266.865658045","6","272.865779877","0","272.881093025","274.449472904","274.533915997","277.536854982","0","277.551573992","284.625213861",""
