"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_665d6eab","1","1","1","1","13.5160298347","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.18755102158","15.703622818","2.81244897842","18.6879339218","4.11167287827","22.7996468544","1.88832712173","24.7217268944","25.7500038147","25.8230659962","28.8260178566","0","28.8404178619","31.0029098988",""
"sujeto_665d6eab","1","1","2","2","31.1447248459","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","2.2730038166","33.4178099632","2.7269961834","36.2983629704","2.88341903687","39.1818408966","3.11658096313","42.3485338688","44.2265758514","44.2995738983","47.3025548458","0","47.3180999756","49.4108378887",""
"sujeto_665d6eab","1","1","3","3","49.5357339382","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.58221101761","52.1180188656","2.41778898239","54.7050189972","3.85691404343","58.56199193","2.14308595657","60.758510828","62.3701708317","62.443723917","65.4467117786","1","65.4601428509","69.7385129929",""
"sujeto_665d6eab","1","1","4","4","69.8971838951","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","left","2.78298091888","72.6802129745","2.21701908112","75.0518839359","4.30135917664","79.3532819748","1.69864082336","81.1024198532","82.3071379662","82.3865129948","85.3894479275","0","85.4046969414","88.8585789204",""
"sujeto_665d6eab","1","1","5","5","88.9889338017","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","2.27843594551","91.2674148083","2.72156405449","94.1452748775","3.81115794182","97.9564929008","2.18884205818","100.178614855","101.699993849","101.780591011","104.783535004","1","104.798183918","111.834841967",""
"sujeto_665d6eab","1","1","6","6","111.96626091","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","2.20739507675","114.173766851","2.79260492325","117.140631914","3.77101302147","120.911682844","2.22898697853","123.191133976","124.245957851","124.325568914","127.328557014","0","127.343194008","134.969758987",""
"sujeto_665d6eab","1","1","7","7","135.114540815","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","right","2.12353491783","137.238173008","2.87646508217","140.302649975","3.44225001335","143.744966984","2.55774998665","146.352952003","148.216921806","148.255011797","151.257959843","1","151.272473812","157.033499956",""
"sujeto_665d6eab","1","1","8","8","157.176853895","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","2.56532001495","159.74224782","2.43467998505","162.344081879","3.89809584618","166.242236853","2.10190415382","168.381577969","169.825895786","169.899041891","172.902051926","0","172.917240858","179.016561985",""
"sujeto_665d6eab","1","1","9","9","179.151801825","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.84059095383","180.992455006","3.15940904617","184.325873852","5.02467703819","189.350610971","0.975322961807","190.357758999","191.907270908","191.991981983","194.994988918","1","195.009562969","201.056869984",""
"sujeto_665d6eab","1","1","10","10","201.194480896","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","2.77422595024","203.968770981","2.22577404976","206.368068933","4.30474209785","210.672851801","1.69525790215","212.422182798","213.990605831","214.072691917","217.075658798","0","217.090227842","224.163808823",""
