"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_685cae59","1","1","1","1","72.7963829041","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","1.9777739048","74.7741990089","3.0222260952","77.9842648506","3.64589095116","81.6302268505","2.35410904884","84.0191919804","85.0474848747","85.1200840473","88.1230258942","0","88.1372740269","90.2998099327",""
"sujeto_685cae59","1","1","2","2","90.4555149078","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.83965396881","93.295238018","2.16034603119","95.6235408783","3.86767101288","99.4912729263","2.13232898712","101.659510851","103.537535906","103.609892845","106.612894058","0","106.627552032","108.719295025",""
"sujeto_685cae59","1","1","3","3","108.863688946","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","2.05951786041","110.923253059","2.94048213959","114.020807981","2.50243020058","116.523278952","3.49756979942","120.070041895","121.681725025","121.755568027","124.758542061","1","124.772804976","129.051105976",""
"sujeto_685cae59","1","1","4","4","129.191071987","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","individual","right","2.57019019127","131.76133585","2.42980980873","134.363285065","3.30988192558","137.673209906","2.69011807442","140.414880991","141.619674921","141.66603303","144.66901803","1","144.683809042","148.136981964",""
"sujeto_685cae59","1","1","5","5","148.284874916","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.98346996307","150.268390894","3.01653003693","153.44064188","2.26066303253","155.701372862","3.73933696747","159.490248919","161.01164794","161.092113018","164.095093012","1","164.109829903","171.14653492",""
"sujeto_685cae59","1","1","6","6","171.294359922","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.77704000473","173.071442842","3.22295999527","176.452751875","2.91459107399","179.367405891","3.08540892601","182.502580881","183.557361841","183.638066053","186.641054869","0","186.653790951","194.280324936",""
"sujeto_685cae59","1","1","7","7","194.42236805","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.44051098824","195.862973928","3.55948901176","199.580451965","2.92301678658","202.503530979","3.07698321342","205.631260872","207.495287895","207.56597805","210.568968058","1","210.583323956","216.34432888",""
"sujeto_685cae59","1","1","8","8","216.501186848","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","individual","left","1.83429503441","218.335530043","3.16570496559","221.674958944","2.0326461792","223.707644939","3.9673538208","227.723698854","229.168030977","229.208919048","232.211865902","0","232.226525068","238.325101852",""
"sujeto_685cae59","1","1","9","9","238.461500883","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","individual","right","1.94113302231","240.402709007","3.05886697769","243.619777918","2.18676805496","245.806584835","3.81323194504","249.669960976","251.219445944","251.272202969","254.275178909","1","254.288967848","260.336281061",""
"sujeto_685cae59","1","1","10","10","260.490392923","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.28228497505","261.77274704","3.71771502495","265.64844203","2.63922405243","268.287726879","3.36077594757","271.698329926","273.26600194","273.350227833","276.353229046","0","276.367709875","283.441340923",""
"sujeto_685cae59","1","1","11","11","283.586889982","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","individual","left","2.39485502243","285.981797934","2.60514497757","288.760900974","3.04091191292","291.801879883","2.95908808708","294.811203957","296.493264914","296.545543909","299.548550844","0","299.563171864","303.296478033",""
"sujeto_685cae59","1","1","12","12","303.448706865","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","1.41927909851","304.868057966","3.58072090149","308.603950977","2.78688716888","311.390879869","3.21311283112","314.654109955","316.026792049","316.105582952","319.108585835","0","319.12337184","321.897968054",""
"sujeto_685cae59","1","1","13","13","322.041718006","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","left","1.46016097069","323.501946926","3.53983902931","327.195384979","4.21456003189","331.41001606","1.78543996811","333.279062986","334.358283997","334.430888891","337.433861971","0","337.447501898","341.288477898",""
"sujeto_685cae59","1","1","14","14","341.418335915","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.4285838604","342.846963882","3.5714161396","346.574136972","2.3768658638","348.95104599","3.6231341362","352.623613834","354.081446886","354.159142017","357.162118912","1","357.176759005","364.949718952",""
"sujeto_685cae59","1","1","15","15","365.077152014","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","individual","right","1.6189930439","366.696192026","3.3810069561","370.235395908","3.82878088951","374.064237833","2.17121911049","376.270983934","377.319773912","377.371278048","380.374250889","1","380.38862586","387.079470873",""
"sujeto_685cae59","1","1","16","16","387.206758976","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","individual","left","2.77311897278","389.979997873","2.22688102722","392.379861832","4.00434708595","396.384275913","1.99565291405","398.432510853","400.172533989","400.216753006","403.219727039","0","403.234086037","406.694614887",""
"sujeto_685cae59","1","1","17","17","406.851207972","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","individual","right","2.00112986565","408.852411032","2.99887013435","412.023962975","3.20531415939","415.229318857","2.79468584061","418.074621916","419.113639832","419.158956051","422.161915064","0","422.176734924","426.986392021",""
"sujeto_685cae59","1","1","18","18","427.12788105","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","individual","right","1.84955596924","428.977483988","3.15044403076","432.318757057","3.69773006439","436.016531944","2.30226993561","438.368888855","440.325037956","440.370121956","443.373090029","0","443.388144016","446.990720034",""
"sujeto_685cae59","1","1","19","19","447.14013505","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","individual","left","2.37338495255","449.513584852","2.62661504745","452.296496868","4.13004207611","456.426609993","1.86995792389","458.346894979","460.091033936","460.130795002","463.133780956","1","463.1483109","467.622752905",""
"sujeto_685cae59","1","1","20","20","467.766712904","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.87597703934","469.642734051","3.12402296066","472.956809044","3.3018488884","476.258724928","2.6981511116","479.005156994","480.944421053","481.022856951","484.025866032","1","484.040475845","488.269278049",""
"sujeto_685cae59","1","1","21","21","488.409241915","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","individual","right","1.35456395149","489.763874054","3.64543604851","493.566917896","3.80086779594","497.367835999","2.19913220406","499.617712021","501.132551908","501.185721874","504.188679934","0","504.202002048","511.324689865",""
"sujeto_685cae59","1","1","22","22","511.470357895","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","right","1.79449605942","513.264932871","3.20550394058","516.629175901","5.43579888344","522.065038919","0.564201116562","522.681047916","523.923163891","524.014276981","527.017255068","0","527.031959057","530.268278837",""
"sujeto_685cae59","1","1","23","23","530.416962862","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","left","2.32509207726","532.742100954","2.67490792274","535.604023933","4.29504799843","539.899140835","1.70495200157","541.640516043","542.901763916","542.973573923","545.976551056","1","545.991852999","549.793647051",""
"sujeto_685cae59","1","1","24","24","549.942725897","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","right","1.05438089371","550.997180939","3.94561910629","555.110966921","4.20123291016","559.312240839","1.79876708984","561.162783861","562.923477888","562.996748924","565.99899292","0","566.014816999","572.749974966",""
"sujeto_685cae59","1","1","25","25","572.899688959","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","competitive","right","1.36861610413","574.268372059","3.63138389587","578.060958862","3.41935920715","581.480366945","2.58064079285","584.1113379","586.106554985","586.176735878","589.179683924","1","589.192335844","594.73504591",""
"sujeto_685cae59","1","1","26","26","594.877372026","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","left","1.45502710342","596.33246398","3.54497289658","600.022228956","3.48624300957","603.508512974","2.51375699043","606.073302031","607.431294918","607.50689292","610.509865999","1","610.525239944","612.559942007",""
"sujeto_685cae59","1","1","27","27","612.709616899","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","competitive","left","1.31891489029","614.028594971","3.68108510971","617.865316868","2.70024609566","620.565603018","3.29975390434","623.91257906","625.667216063","625.746873856","628.749825001","1","628.765045881","636.161442995",""
"sujeto_685cae59","1","1","28","28","636.319154978","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","right","1.59352612495","637.912744045","3.40647387505","641.47727704","2.47446203232","643.95179987","3.52553796768","647.524747849","648.635825872","648.710034847","651.713029861","0","651.727771997","658.450261831",""
"sujeto_685cae59","1","1","29","29","658.595921993","direct","1","1","1","¿En qué año fue creado
 el sandwich?","1762","1653","","1","1","0","competitive","left","1.67588114738","660.271873951","3.32411885262","663.754575968","2.92530298233","666.67997098","3.07469701767","669.805346012","671.403892994","671.489842892","674.492807865","1","674.507338047","677.977980852",""
