"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_725769f0","1","1","1","1","80.5994000435","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","3.01667308807","83.6161198616","1.98332691193","85.7676920891","4.15064311028","89.918380022","1.84935688972","91.8052399158","92.8335418701","92.9226939678","95.9256880283","0","95.9403619766","98.1025660038",""
"sujeto_725769f0","1","1","2","2","98.2438058853","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.41592597961","99.6598050594","3.58407402039","103.397710085","4.75227594376","108.150044918","1.24772405624","109.446809053","111.324863911","111.397141933","114.400099993","0","114.415760994","116.508519888",""
"sujeto_725769f0","1","1","3","3","116.651319027","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.66396903992","118.315334082","3.33603096008","121.807533026","4.11602497101","125.923616886","1.88397502899","127.858463049","129.47014904","129.54264307","132.545603037","1","132.552207947","136.830550909",""
"sujeto_725769f0","1","1","4","4","136.970905066","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.02699494362","137.997942924","3.97300505638","142.117217064","3.17091202736","145.288188934","2.82908797264","148.168737888","149.373501062","149.453773975","152.456747055","1","152.471045971","155.924966097",""
"sujeto_725769f0","1","1","5","5","156.074874878","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.40064287186","157.475583076","3.59935712814","161.228961945","3.83468985558","165.063695908","2.16531014442","167.280059099","168.801487923","168.880668879","171.883650064","1","171.897209883","178.933887959",""
"sujeto_725769f0","1","1","6","6","179.086785078","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.00135302544","180.088203907","3.99864697456","184.240694046","4.49655914307","188.737292051","1.50344085693","190.275748014","191.330543041","191.409429073","194.412417889","0","194.427059889","202.053654909",""
"sujeto_725769f0","1","1","7","7","202.19508791","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","left","2.07060909271","204.265762091","2.92939090729","207.352988005","3.2097671032","210.56281209","2.7902328968","213.404677868","215.268709898","215.305928946","218.308876991","1","218.324258089","224.085282087",""
"sujeto_725769f0","1","1","8","8","224.226041079","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","0.849138021469","225.075226068","4.15086197853","229.398463964","3.34287619591","232.741400003","2.65712380409","235.432326078","236.876641989","236.95071888","239.953686953","0","239.967952967","246.067342997",""
"sujeto_725769f0","1","1","9","9","246.221229076","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.80934715271","248.030639887","3.19065284729","251.394269943","4.30551600456","255.699822903","1.69448399544","257.443276882","258.992763996","259.077810049","262.080775976","1","262.095556021","268.142874956",""
"sujeto_725769f0","1","1","10","10","268.283169031","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","2.27396512032","270.557180882","2.72603487968","273.439423084","6","279.43956089","0","279.457705021","281.02610302","281.107950926","284.110926867","0","284.125417948","291.198534012",""
"sujeto_725769f0","1","1","11","11","291.343590975","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.28678107262","292.63043499","3.71321892738","296.49969101","5.08331418037","301.583065987","0.916685819626","302.551522017","304.233558893","304.318649054","307.321606874","0","307.336267948","311.06952405",""
"sujeto_725769f0","1","1","12","12","311.206016064","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","0.849730014801","312.055855036","4.1502699852","316.359049082","3.87626314163","320.235372066","2.12373685837","322.393495083","323.766174078","323.844510078","326.846571922","0","326.861718893","329.636314869",""
"sujeto_725769f0","1","1","13","13","329.762928009","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.1590731144","330.922041893","3.8409268856","334.913089991","3.66672897339","338.579859972","2.33327102661","340.965466976","342.044651031","342.11550498","345.11847496","0","345.132164955","348.973166943",""
"sujeto_725769f0","1","1","14","14","349.152755976","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.38181591034","350.534631968","3.61818408966","354.295218945","3.91812586784","358.213401079","2.08187413216","360.345809937","361.803634882","361.879755974","364.882744074","1","364.896820068","372.665647984",""
