"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_74e96e22","1","1","1","1","754.663607121","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.28425598145","756.94790411","2.71574401855","759.83374691","3.78112196922","763.614908934","2.21887803078","765.869513988","766.897778034","766.970982075","769.973953009","0","769.987381935","772.149904966",""
"sujeto_74e96e22","1","1","2","2","772.290632963","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.45335102081","773.744050026","3.54664897919","777.444592953","3.57532906532","781.019987106","2.42467093468","783.494455099","785.371303082","785.444679976","788.447333097","0","788.461537123","790.55429101",""
"sujeto_74e96e22","1","1","3","3","790.697531939","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.6064388752","792.304032087","3.3935611248","795.836730003","4.2452249527","800.082015038","1.7547750473","801.870558023","803.48220706","803.554055929","806.555347919","1","806.571897984","810.850246906",""
"sujeto_74e96e22","1","1","4","4","810.982602119","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","individual","right","2.78450107574","813.767225981","2.21549892426","816.1429739","4.53511810303","820.678134918","1.46488189697","822.182421923","823.38715601","823.433252096","826.436180115","1","826.450207949","829.90328908",""
"sujeto_74e96e22","1","1","5","5","830.049640894","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","individual","right","3.54454493523","833.594248056","1.45545506477","835.207741976","2.13952589035","837.347332001","3.86047410965","841.258009911","842.779289007","842.82652092","845.829504967","1","845.843997002","852.87934804",""
"sujeto_74e96e22","1","1","6","6","853.01445508","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.77083206177","854.785353899","3.22916793823","858.152622938","3.80374693871","861.956430912","2.19625306129","864.203664064","865.258426905","865.338187933","868.339312077","0","868.354482889","875.979300022",""
"sujeto_74e96e22","1","1","7","7","876.106363058","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","right","2.16201615334","878.26842308","2.83798384666","881.25911808","2.24933099747","883.50851512","3.75066900253","887.298789024","889.162817001","889.200750113","892.203318119","1","892.217612982","897.97863102",""
"sujeto_74e96e22","1","1","8","8","898.118599892","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.42984509468","899.548485041","3.57015490532","903.276025057","2.53655219078","905.81261611","3.46344780922","909.324800968","910.769094944","910.843409061","913.846411943","0","913.860554934","919.955255032",""
"sujeto_74e96e22","1","1","9","9","920.111979961","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.8097410202","921.921766043","3.1902589798","925.269802094","4.48084998131","929.750693083","1.51915001869","931.320523024","932.869995117","932.954799891","935.957752943","1","935.972145081","942.019458055",""
"sujeto_74e96e22","1","1","10","10","942.156608105","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.86022901535","944.016910076","3.13977098465","947.316241026","4.78552317619","952.101802111","1.21447682381","953.366844893","954.935277939","955.01761198","958.020596027","0","958.034883022","965.108522892",""
"sujeto_74e96e22","1","1","11","11","965.254543066","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","2.31542015076","967.570013046","2.68457984924","970.40845108","3.89953708649","974.308053017","2.10046291351","976.445863962","978.127316952","978.197031975","981.199990034","0","981.21408391","984.94737792",""
"sujeto_74e96e22","1","1","12","12","985.082520008","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","2.41656088829","987.49912405","2.58343911171","990.25286293","3.04629302025","993.299242973","2.95370697975","996.288275957","997.660983086","997.740242004","1000.7432251","0","1000.7571981","1003.53184295",""
