"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_7b0e6648","1","1","1","1","551.829515934","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.56325411797","553.39281106","3.43674588203","557.002753019","3.96904611588","560.971863031","2.03095388412","563.054481983","564.082772017","564.154742002","567.157667875","0","567.171949863","569.334496021",""
"sujeto_7b0e6648","1","1","2","2","569.490629911","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.17113184929","571.661798","2.82886815071","574.661551952","3.56937384605","578.230990887","2.43062615395","580.713959932","582.591995955","582.665098906","585.668078899","0","585.682538986","587.775298834",""
"sujeto_7b0e6648","1","1","3","3","587.916770935","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","individual","right","2.64923501015","590.566081047","2.35076498985","593.08634305","3.73267102242","596.819053888","2.26732897758","599.122088909","600.733775854","600.773288012","603.776217937","1","603.790838003","608.068567038",""
"sujeto_7b0e6648","1","1","4","4","608.209933996","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","0.847259044647","609.057235956","4.15274095535","613.382117987","3.51209115982","616.89426589","2.48790884018","619.417065859","620.621836901","620.700767994","623.703738928","1","623.718234062","627.172137022",""
"sujeto_7b0e6648","1","1","5","5","627.320584059","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.57279706001","628.893446922","3.42720293999","632.475689888","3.00067782402","635.476425886","2.99932217598","638.523969889","640.045311928","640.126538038","643.129493952","1","643.143976927","650.180636883",""
"sujeto_7b0e6648","1","1","6","6","650.312624931","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.84094500542","652.153635979","3.15905499458","655.471835852","3.58877110481","659.060667038","2.41122889519","661.521776915","662.576578856","662.656182051","665.659164906","0","665.673419952","673.300014973",""
"sujeto_7b0e6648","1","1","7","7","673.441499949","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","left","3.42120981216","676.862756968","1.57879018784","678.595113039","3.79462099075","682.389799833","2.20537900925","684.634263039","686.498287916","686.535280943","689.536648989","1","689.553223848","695.314515829",""
"sujeto_7b0e6648","1","1","8","8","695.454864025","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.86703705788","697.321943045","3.13296294212","700.644768953","4.05319094658","704.697988987","1.94680905342","706.693670988","708.13793087","708.210760832","711.213762045","0","711.228375912","717.327774048",""
"sujeto_7b0e6648","1","1","9","9","717.463081837","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.7069170475","719.170057058","3.2930829525","722.605393887","3.53972887993","726.145179987","2.46027112007","728.656997919","730.206521988","730.292140961","733.295069933","1","733.309737921","739.356556892",""
"sujeto_7b0e6648","1","1","10","10","739.494711876","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.80752396584","741.302279949","3.19247603416","744.667953014","4.01336312294","748.681359053","1.98663687706","750.718348026","752.286567926","752.369495869","755.372493029","0","755.386723042","762.460338831",""
