"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_7e1d6f1a","1","1","1","1","612.48574996","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","individual","right","2.81130313873","615.297113895","2.18869686127","617.670830965","3.60832309723","621.279221773","2.39167690277","623.723816872","624.752092838","624.791550875","627.794524908","0","627.807871819","629.97039485",""
"sujeto_7e1d6f1a","1","1","2","2","630.110536814","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.59092998505","631.701509953","3.40907001495","635.265283823","4.48629498482","639.751621962","1.51370501518","641.314934969","643.192926884","643.265690804","646.268647909","0","646.284343004","648.377113819",""
"sujeto_7e1d6f1a","1","1","3","3","648.519410849","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.46436905861","649.983822823","3.53563094139","653.675636768","3.57238006592","657.248062849","2.42761993408","659.726965904","661.338642836","661.411288977","664.414264917","1","664.42904377","668.707394838",""
"sujeto_7e1d6f1a","1","1","4","4","668.846393824","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.79595398903","671.642392874","2.20404601097","674.003585815","3.5517950058","677.555416822","2.4482049942","680.054775953","681.259494781","681.338638783","684.341610909","1","684.356076956","687.810002804",""
"sujeto_7e1d6f1a","1","1","5","5","687.956727982","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","3.66201806068","691.618846893","1.33798193932","693.11115098","3.27173900604","696.382952929","2.72826099396","699.164087772","700.685481787","700.766165972","703.769157887","1","703.783289909","710.819983959",""
"sujeto_7e1d6f1a","1","1","6","6","710.951680899","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","2.92055511475","713.872277975","2.07944488525","716.122443914","4.57992315292","720.702427864","1.42007684708","722.15773797","723.212578773","723.291612864","726.294597864","0","726.309235811","733.935825825",""
"sujeto_7e1d6f1a","1","1","7","7","734.060373783","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","2.17032003403","736.230776787","2.82967996597","739.222035885","3.56085705757","742.782953978","2.43914294243","745.271073818","747.135106802","747.220978975","750.223951817","1","750.238601923","755.999633789",""
"sujeto_7e1d6f1a","1","1","8","8","756.157151937","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","2.20398402214","758.361178875","2.79601597786","761.331773996","4.50552296638","765.837334871","1.49447703362","767.38496995","768.829223871","768.902861834","771.9058249","0","771.919275999","778.018638849",""
"sujeto_7e1d6f1a","1","1","9","9","778.170952797","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.64067697525","780.811671972","2.35932302475","783.328844786","4.71588397026","788.044793844","1.28411602974","789.380350828","790.929876804","790.997200966","794.000181913","1","794.015416861","800.062757969",""
"sujeto_7e1d6f1a","1","1","10","10","800.199918985","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","2.02017402649","802.220158815","2.97982597351","805.340531826","5.47175192833","810.812328815","0.528248071671","811.392422915","812.959903955","813.043088913","816.04608798","0","816.055062771","823.128693819",""
"sujeto_7e1d6f1a","1","1","11","11","823.256061792","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","2.53251409531","825.788626909","2.46748590469","828.418885946","5.03084897995","833.44980979","0.96915102005","834.470199823","836.152253866","836.23761487","839.24058795","0","839.255291939","842.988605976",""
"sujeto_7e1d6f1a","1","1","12","12","843.138969898","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","3.46398878098","846.60303092","1.53601121902","848.310504913","5.82561016083","854.136162996","0.174389839172","854.345603943","855.718332767","855.795550823","858.798531771","0","858.813282967","861.587954998",""
"sujeto_7e1d6f1a","1","1","13","13","861.731709003","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","2.11054396629","863.842324972","2.88945603371","866.890275002","4.40316390991","871.293478966","1.59683609009","872.940987825","874.020241976","874.10836482","877.111332893","0","877.12655592","880.967541933",""
"sujeto_7e1d6f1a","1","1","14","14","881.160637856","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","left","2.64072585106","883.801472902","2.35927414894","886.329911947","4.36882209778","890.698781967","1.63117790222","892.382115841","893.839936972","893.917004824","896.919985771","1","896.933964968","904.706877947",""
"sujeto_7e1d6f1a","1","1","15","15","904.852558851","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","4.09957194328","908.952203989","0.900428056717","910.011750937","5.08339715004","915.095191956","0.91660284996","916.048066854","917.096860886","917.181246996","920.184220791","1","920.198897839","926.889747858",""
"sujeto_7e1d6f1a","1","1","16","16","927.052190781","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","individual","left","3.5083091259","930.560548782","1.4916908741","932.207296848","5.68732786179","937.894663811","0.312672138214","938.26035881","940.00037384","940.042717934","943.045693874","0","943.06129694","946.521826982",""
"sujeto_7e1d6f1a","1","1","17","17","946.679209948","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","left","2.63369297981","949.312963963","2.36630702019","951.848496914","5.45938801765","957.30794096","0.540611982346","957.887582779","958.926599979","959.004416943","962.007399797","0","962.021670818","966.831352949",""
"sujeto_7e1d6f1a","1","1","18","18","966.973080873","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","individual","right","2.46413898468","969.437291861","2.53586101532","972.143661976","3.61463809013","975.758381844","2.38536190987","978.194060802","980.150197983","980.196031809","983.198986769","0","983.214186907","986.81673193",""
"sujeto_7e1d6f1a","1","1","19","19","986.965945959","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","individual","right","2.01060605049","988.976614952","2.98939394951","992.139748812","4.26491498947","996.404733896","1.73508501053","998.191819906","999.935890913","999.975718975","1002.97868085","1","1002.99318981","1007.467628",""
