"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_85db03a2","1","1","1","1","46.5225119591","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","","1.97038912773","48.4929659367","3.02961087227","51.6784999371","6","57.6786558628","0","57.691480875","58.7196969986","58.7938959599","61.7968418598","0","61.810956955","63.9734790325",""
"sujeto_85db03a2","1","1","2","2","64.1125018597","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.3795208931","65.4920928478","3.6204791069","69.2692699432","3.0427441597","72.312076807","2.9572558403","75.3028388023","77.18085289","77.2547729015","80.2577469349","0","80.2719459534","82.3647079468",""
"sujeto_85db03a2","1","1","3","3","82.523157835","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.39677286148","83.9199738503","3.60322713852","87.6792190075","2.58073592186","90.2600150108","3.41926407814","93.7125489712","95.3241798878","95.3978698254","98.4008069038","1","98.4146709442","102.692979813",""
"sujeto_85db03a2","1","1","4","4","102.849172831","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.09577894211","103.94499588","3.90422105789","107.987716913","2.64325785637","110.631017923","3.35674214363","114.022943974","115.22771287","115.30745101","118.310375929","1","118.325218916","121.779130936",""
"sujeto_85db03a2","1","1","5","5","121.926295996","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.82568192482","123.752022028","3.17431807518","127.082477808","3.20151209831","130.284032822","2.79848790169","133.133131981","134.654511929","134.734027863","137.737015963","1","137.751227856","144.787922859",""
"sujeto_85db03a2","1","1","6","6","144.939965963","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","0.902022123337","145.842037916","4.09797787666","150.094056845","4.49790787697","154.592007875","1.50209212303","156.145001888","157.199796915","157.279500008","160.282478809","0","160.296661854","167.923249006",""
"sujeto_85db03a2","1","1","7","7","168.069038868","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","0.972955942154","169.042042971","4.02704405785","173.205968857","2.94404387474","176.150085926","3.05595612526","179.239871979","181.103878021","181.192335844","184.195310831","1","184.209281921","189.97030282",""
"sujeto_85db03a2","1","1","8","8","190.113569975","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.2414419651","191.355054855","3.7585580349","195.267166853","5.0328578949","200.300096989","0.967142105103","201.319301844","202.763553858","202.83620286","205.839170933","0","205.853084803","211.952453852",""
"sujeto_85db03a2","1","1","9","9","212.106724024","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.10932993889","213.216118813","3.89067006111","217.242269993","4.91674518585","222.159083843","1.08325481415","223.29526186","224.844756842","224.929841995","227.932813883","1","227.946929932","233.994242907",""
"sujeto_85db03a2","1","1","10","10","234.135166883","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.2168610096","235.352074862","3.7831389904","239.289775848","0.0271980762482","239.317032814","5.97280192375","245.338666916","246.907070875","246.97573781","249.978713989","0","249.992825985","257.063707829",""
"sujeto_85db03a2","1","1","11","11","257.415462017","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","0.99564909935","258.411180019","4.00435090065","262.568625927","5.97841596603","268.547103882","0.0215840339661","268.60394001","270.285938025","270.354060888","273.357033014","0","273.371212959","277.104514837",""
"sujeto_85db03a2","1","1","12","12","277.241642952","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.04844522476","278.29015398","3.95155477524","282.39526701","4.07978701591","286.475100994","1.92021298409","288.430311918","289.803017855","289.880657911","292.883634806","0","292.898509026","295.673144817",""
"sujeto_85db03a2","1","1","13","13","295.815932035","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.07911992073","296.895117998","3.92088007927","301.002322912","3.75580716133","304.758196831","2.24419283867","307.054280996","308.133526802","308.2054739","311.207700968","0","311.222814798","315.063799858",""
"sujeto_85db03a2","1","1","14","14","315.192972898","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.00012803078","316.193176031","3.99987196922","320.348322868","3.71581697464","324.064211845","2.28418302536","326.399271965","327.857060909","327.934176922","330.935772896","1","330.950898886","338.723833799",""
"sujeto_85db03a2","1","1","15","15","338.855494976","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","1.44760012627","340.303138971","3.55239987373","343.994132996","4.16300010681","348.157174826","1.83699989319","350.028576851","351.077386856","351.145668983","354.148645878","1","354.163628817","360.854499817",""
