"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_8932899d","1","1","1","1","28.6547889709","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","3.74971413612","32.4045658112","1.25028586388","33.8264238834","4.34607291222","38.1725399494","1.65392708778","39.8610079288","40.889330864","40.9623370171","43.9653379917","0","43.9790840149","46.1416079998",""
"sujeto_8932899d","1","1","2","2","46.2827019691","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.53485894203","47.8176319599","3.46514105797","51.4356248379","5.75788903236","57.1935749054","0.242110967636","57.4701328278","59.3481369019","59.4203009605","62.4231908321","0","62.4373099804","64.5286998749",""
"sujeto_8932899d","1","1","3","3","64.6739249229","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.05564594269","65.7296378613","3.94435405731","69.8116168976","4.54889702797","74.3605549335","1.45110297203","75.8630130291","77.4747109413","77.5462799072","80.5492768288","1","80.5638298988","84.8421978951",""
"sujeto_8932899d","1","1","4","4","84.984885931","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","0.726719856262","85.7116479874","4.27328014374","90.1387460232","2.81583595276","92.9546208382","3.18416404724","96.1889488697","97.3936979771","97.473623991","100.476588011","1","100.491019011","103.94491601",""
"sujeto_8932899d","1","1","5","5","104.077231884","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.3933699131","105.470667839","3.6066300869","109.230008841","3.95952987671","113.189580917","2.04047012329","115.265456915","116.786840916","116.867085934","119.870065928","1","119.884428024","126.921128035",""
"sujeto_8932899d","1","1","6","6","127.053996801","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","0.889647960663","127.943722963","4.11035203934","132.208439827","5.36312699318","137.571606874","0.636873006821","138.243677855","139.298468828","139.377822876","142.37845397","0","142.395007849","150.021174908",""
"sujeto_8932899d","1","1","7","7","150.166512966","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","0.95200419426","151.118583918","4.04799580574","155.321655989","4.38389706612","159.705591917","1.61610293388","161.373631954","163.237655878","163.323854923","166.326792002","1","166.341535807","172.101217985",""
"sujeto_8932899d","1","1","8","8","172.246276855","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","0.858376026154","173.104722023","4.14162397385","177.416404009","5.408203125","182.824645996","0.591796875","183.45242691","184.896692991","184.969416857","187.97240901","0","187.985929012","194.085325003",""
"sujeto_8932899d","1","1","9","9","194.22178793","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","0.867878913879","195.08977294","4.13212108612","199.377692938","5.52287793159","204.90060997","0.477122068405","205.413184881","206.962694883","207.04702282","210.05002284","1","210.06427002","216.107923985",""
"sujeto_8932899d","1","1","10","10","216.247839928","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","0.851776838303","217.099661827","4.1482231617","221.421260834","4.88033008575","226.301628828","1.11966991425","227.472460032","229.040896893","229.124291897","232.127283812","0","232.141112804","239.214710951",""
"sujeto_8932899d","1","1","11","11","239.362113953","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.02657222748","240.388731956","3.97342777252","244.518384933","4.68518996239","249.203612804","1.31481003761","250.568974018","252.250991821","252.336884975","255.339820862","0","255.354585886","259.087850809",""
"sujeto_8932899d","1","1","12","12","259.224238873","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.03343987465","260.257721901","3.96656012535","264.378818035","3.97984600067","268.358702898","2.02015399933","270.429390907","271.802129984","271.879820824","274.882751942","0","274.896598816","277.671248913",""
"sujeto_8932899d","1","1","13","13","277.796882868","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.22669792175","279.023643017","3.77330207825","282.954262972","3.87336611748","286.827689886","2.12663388252","289.055464029","290.134711981","290.207104921","293.210085869","0","293.224323034","297.065335989",""
"sujeto_8932899d","1","1","14","14","297.20906496","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","0.594648122787","297.803754807","4.40535187721","302.362612009","4.20903396606","306.571704865","1.79096603394","308.397960901","309.855782986","309.931784868","312.934773922","1","312.949331999","320.722275019",""
"sujeto_8932899d","1","1","15","15","320.855157852","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","0.66846704483","321.52368784","4.33153295517","326.026091814","4.75455212593","330.780704021","1.24544787407","332.077642918","333.126483917","333.211953878","336.214891911","1","336.228717804","342.919523001",""
"sujeto_8932899d","1","1","16","16","343.064253807","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","left","0.579397916794","343.643694878","4.42060208321","348.220937014","4.10370707512","352.324704885","1.89629292488","354.272593021","356.01224184","356.090021849","359.093006849","0","359.107533932","362.568056822",""
"sujeto_8932899d","1","1","17","17","362.710836887","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","left","0.875825881958","363.586704969","4.12417411804","367.864003897","3.91261982918","371.776662827","2.08738017082","373.898813963","374.937821865","375.016944885","378.019937992","0","378.034272909","382.843941927",""
"sujeto_8932899d","1","1","18","18","382.987535","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","0.637112140656","383.624689817","4.36288785934","388.157480001","4.53820705414","392.695746899","1.46179294586","394.207001925","396.162169933","396.24032402","399.243312836","0","399.257942915","402.860505819",""
"sujeto_8932899d","1","1","19","19","403.011755943","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","left","0.650948047638","403.66276598","4.34905195236","408.1852808","3.58135104179","411.76667285","2.41864895821","414.236717939","415.980830908","416.054055929","419.057068825","1","419.071653843","423.546085835",""
"sujeto_8932899d","1","1","20","20","423.692444801","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","0.527324914932","424.219815016","4.47267508507","428.84559989","4.10012602806","432.945785999","1.89987397194","434.897692919","436.837021828","436.914665937","439.917587996","1","439.933159828","444.161948919",""
"sujeto_8932899d","1","1","21","21","444.299693823","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","0.712089061737","445.011865854","4.28791093826","449.455528975","3.57822203636","453.033797026","2.42177796364","455.491137028","457.006024837","457.09213686","460.09512496","0","460.109391928","467.232077837",""
"sujeto_8932899d","1","1","22","22","467.364413023","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","right","0.536339998245","467.900798798","4.46366000175","472.514073849","4.85265803337","477.36679101","1.14734196663","478.56711483","479.809228897","479.884094954","482.887064934","0","482.901887894","486.138193846",""
"sujeto_8932899d","1","1","23","23","486.271072865","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","right","0.874718904495","487.14583683","4.1252810955","491.445498943","5.63322019577","497.078758001","0.36677980423","497.496392012","498.757586002","498.831075907","501.834048033","1","501.847646952","505.649444818",""
"sujeto_8932899d","1","1","24","24","505.784011841","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","left","0.658746957779","506.442822933","4.34125304222","510.937772989","2.45701408386","513.394846916","3.54298591614","516.988920927","518.749200821","518.82357502","521.826570988","0","521.840881824","528.575973988",""
"sujeto_8932899d","1","1","25","25","528.725907803","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","competitive","left","0.769936084747","529.495887995","4.23006391525","533.897819996","5.08390903473","538.981791973","0.916090965271","539.950996876","541.946152925","542.035087824","545.038075924","1","545.052356958","550.595157862",""
"sujeto_8932899d","1","1","26","26","550.723475933","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","right","1.03529596329","551.758832932","3.96470403671","555.878125906","4.19466495514","560.072834015","1.80533504486","561.913395882","563.271394968","563.347154856","566.350135803","1","566.364641905","568.399341822",""
"sujeto_8932899d","1","1","27","27","568.533881903","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","competitive","left","0.631975889206","569.165899992","4.36802411079","573.704075813","3.64376401901","577.34788084","2.35623598099","579.738873959","581.493508816","581.573086023","584.576073885","1","584.59077096","591.987125874",""
"sujeto_8932899d","1","1","28","28","592.129317999","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","left","0.721551179886","592.850914001","4.27844882011","597.299091816","5.17067694664","602.469828844","0.82932305336","603.350716829","604.461732864","604.535060883","607.538003922","0","607.552436829","614.274888992",""
"sujeto_8932899d","1","1","29","29","614.403894901","direct","1","1","1","¿En qué año fue creado
 el sandwich?","1762","1653","","1","1","0","competitive","left","0.681940078735","615.085881948","4.31805992126","619.559024811","3.58281707764","623.141901016","2.41718292236","625.611323833","627.209832907","627.295559883","630.298566818","1","630.312908888","633.783566952",""
"sujeto_8932899d","1","1","30","30","633.9161098","inverse","4","1","2","El nombre de la moneda de Vietnam es:","Dinar","Dong","","0","0","1","competitive","right","0.655761957169","634.571938992","4.34423804283","639.070514917","3.76532506943","642.835896969","2.23467493057","645.122615814","646.554628849","646.639794827","649.642769814","0","649.657426834","655.825850964",""
"sujeto_8932899d","1","1","31","31","655.961825848","direct","2","1","1","¿cuantos aleteos puede dar 
un colibrí por segundo?","120","50","","0","0","0","competitive","left","0.7446808815","656.706604004","4.2553191185","661.115204811","4.15065407753","665.265916824","1.84934592247","667.167171955","668.899171829","668.984596968","671.987601995","0","672.002430916","676.214672804",""
"sujeto_8932899d","1","1","32","32","676.353379011","inverse","4","1","3","¿Qué altura promedio tienen
 los hombres uruguayos?","1.73 m","1.72 m","","1","1","1","competitive","left","1.40051794052","677.753942966","3.59948205948","681.509312868","4.43453001976","685.943903923","1.56546998024","687.560761929","688.823199987","688.894605875","691.897590876","1","691.913015842","696.388978958",""
"sujeto_8932899d","1","2","1","33","838.15239501","direct","1","1","1","¿En qué año nació 
el actor Bradd Pitt?","1967","1963","","1","1","1","competitive","left","0.93354010582","839.085978985","4.06645989418","843.308187008","2.80271911621","846.110965014","3.19728088379","849.358438969","850.454281807","850.52718401","853.53012681","1","853.54377389","859.47137785","696.400596857"
"sujeto_8932899d","1","2","2","34","859.595333815","inverse","2","1","1","¿Cual es el segundo 
monte más alto?","Kanchenjunga","K2","","1","1","1","competitive","left","0.817641019821","860.413019896","4.18235898018","864.753314972","4.11158394814","868.864956856","1.88841605186","870.787777901","872.240173817","872.322598934","875.325590849","1","875.340497017","878.770397902",""
"sujeto_8932899d","1","2","3","35","878.909153938","direct","3","1","1","¿Cuándo finalizó la construcción
 del Palacio Legislativo?","1925","1917","","0","0","1","competitive","right","0.881858825684","879.791100979","4.11814117432","884.064595938","5.44334077835","889.507999897","0.556659221649","890.098884821","891.740603924","891.815833807","894.818135023","0","894.833487034","900.531008005",""
"sujeto_8932899d","1","2","4","36","900.668043852","inverse","3","1","3","¿Cuántos integrantes tenía
 en su inicio  el cuarteto de nos?","3","4","","1","1","1","competitive","right","0.608050107956","901.276153803","4.39194989204","905.824862957","3.17507100105","908.999993801","2.82492899895","911.876358032","913.009459019","913.094522953","916.097504854","1","916.111840963","921.761655807",""
"sujeto_8932899d","1","2","5","37","921.896392822","direct","2","1","3","¿Qué valor tiene el número pi?","3.14","4.18","left","0","0","1","competitive","left","0.863604068756","922.760066032","4.13639593124","927.051361799","2.4405939579","929.492013931","3.5594060421","933.100405931","934.554180861","934.63466692","937.637653828","1","937.651594877","944.572562933",""
"sujeto_8932899d","1","2","6","38","944.720803976","inverse","2","1","2","¿Cuál es la esperanza de vida
 en Uruguay?","75","77","","1","1","0","competitive","right","2.65619492531","947.37706399","2.34380507469","949.877942801","3.34394001961","953.221936941","2.65605998039","955.932960033","957.58680582","957.66753602","960.670523882","1","960.684242964","967.147228956",""
