"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_96083b42","1","1","1","1","878.846818924","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","4.13559103012","882.982477903","0.864408969879","884.017782927","3.35061621666","887.368446827","2.64938378334","890.06434083","891.092638969","891.16621685","894.169163942","0","894.182921886","896.345431805",""
"sujeto_96083b42","1","1","2","2","896.470677853","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.43486499786","897.905612946","3.56513500214","901.64577198","3.56177997589","905.207619905","2.43822002411","907.680093765","909.558141947","909.63158679","912.634539843","0","912.648723841","914.7414608",""
"sujeto_96083b42","1","1","3","3","914.884145975","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.75449919701","916.638691902","3.24550080299","920.039309978","2.83240294456","922.871751785","3.16759705544","926.089445829","927.701093912","927.774433851","930.77738595","1","930.791583776","935.069931984",""
"sujeto_96083b42","1","1","4","4","935.209896803","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.64094305038","936.850881815","3.35905694962","940.349695921","3.22320008278","943.57293582","2.77679991722","946.40046382","947.605236769","947.685507774","950.688472986","1","950.701626778","954.155543804",""
"sujeto_96083b42","1","1","5","5","954.303499937","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","0.867564916611","955.171172857","4.13243508339","959.476373911","4.17957496643","963.656001806","1.82042503357","965.510626793","967.031977892","967.111374855","970.114312887","1","970.128686905","977.162282944",""
"sujeto_96083b42","1","1","6","6","977.296875954","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.11235404015","978.409274817","3.88764595985","982.454483986","5.081772089","987.53629899","0.918227910995","988.506265879","989.561058998","989.639965773","992.642933846","0","992.658089876","1000.28467679",""
"sujeto_96083b42","1","1","7","7","1000.45849299","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.12789511681","1001.58645296","3.87210488319","1005.61740994","3.14096713066","1008.75843978","2.85903286934","1011.668257","1013.53226781","1013.60237598","1016.60533786","1","1016.62033081","1022.38135481",""
"sujeto_96083b42","1","1","8","8","1022.52175784","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","0.992877006531","1023.5147109","4.00712299347","1027.6737299","1.73393893242","1029.40770984","4.26606106758","1033.72455382","1035.16885591","1035.24422097","1038.24719596","0","1038.26148987","1044.36084795",""
"sujeto_96083b42","1","1","9","9","1044.49605894","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.58879613876","1046.08492398","3.41120386124","1049.65643191","2.78544616699","1052.44193792","3.21455383301","1055.70746279","1057.25697398","1057.34286094","1060.3458178","1","1060.35910797","1066.40642691",""
"sujeto_96083b42","1","1","10","10","1066.56177592","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","0.895220994949","1067.45707488","4.10477900505","1071.71789479","4.9591588974","1076.67710996","1.0408411026","1077.75269699","1079.32108498","1079.40360379","1082.40657187","0","1082.42092991","1089.49429679",""
"sujeto_96083b42","1","1","11","11","1089.63961196","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","0.677582979202","1090.31726599","4.3224170208","1094.79676199","3.35949707031","1098.15631795","2.64050292969","1100.83090591","1102.51292491","1102.59922385","1105.6022048","0","1105.616256","1109.34628582",""
"sujeto_96083b42","1","1","12","12","1109.48471284","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","1.53271102905","1111.01747584","3.46728897095","1114.64148593","2.88299107552","1117.52453899","3.11700892448","1120.69146085","1122.06420994","1122.14264178","1125.14562082","0","1125.15994096","1127.93457198",""
"sujeto_96083b42","1","1","13","13","1128.06005192","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.19949316978","1129.25960779","3.80050683022","1133.23348093","5.11112999916","1138.34465098","0.888870000839","1139.31920099","1140.39840293","1140.46921396","1143.47219491","0","1143.48660898","1147.3275888",""
"sujeto_96083b42","1","1","14","14","1147.45472288","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.25498080254","1148.70976591","3.74501919746","1152.627527","3.2972509861","1155.92481685","2.7027490139","1158.67838192","1160.13619399","1160.212708","1163.21566582","1","1163.22975898","1171.00269294",""
"sujeto_96083b42","1","1","15","15","1171.14866996","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","1.4462749958","1172.59500885","3.5537250042","1176.30072594","4.87323403358","1181.174016","1.12676596642","1182.33384085","1183.38229394","1183.45156288","1186.45453095","1","1186.46760297","1193.15825891",""
"sujeto_96083b42","1","1","16","16","1193.28778386","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","right","2.27740097046","1195.56522894","2.72259902954","1198.4307158","3.15742707253","1201.58818197","2.84257292747","1204.48573589","1206.22574091","1206.30417085","1209.30712199","0","1209.32111692","1212.78163099",""
"sujeto_96083b42","1","1","17","17","1212.92297196","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","","2.86236810684","1215.78538895","2.13763189316","1218.09481597","6","1224.09495997","0","1224.11325097","1225.15223694","1225.23046994","1228.23345494","0","1228.24769878","1233.05431795",""
"sujeto_96083b42","1","1","18","18","1233.216537","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","2.15998506546","1235.37658381","2.84001493454","1238.37256885","3.61494994164","1241.98755789","2.38505005836","1244.40647388","1246.36230683","1246.44089198","1249.44228292","0","1249.45963597","1253.06220794",""
"sujeto_96083b42","1","1","19","19","1253.24317884","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","left","1.3614988327","1254.60472488","3.6385011673","1258.39889383","2.39486002922","1260.79379392","3.60513997078","1264.4326849","1266.17676687","1266.25123382","1269.25421596","1","1269.26912999","1273.74356484",""
