"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_9ae17e76","1","1","1","1","667.801641941","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.41406607628","670.215749979","2.58593392372","672.989340067","5.68237113953","678.671781063","0.317628860474","679.027544975","680.055795908","680.127583027","683.130529881","0","683.144911051","685.307470083",""
"sujeto_9ae17e76","1","1","2","2","685.446880102","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","2.14186310768","687.588810921","2.85813689232","690.601466894","5.04018998146","695.641716957","0.959810018539","696.653444052","698.531501055","698.6036551","701.606580973","0","701.620798111","703.713551044",""
"sujeto_9ae17e76","1","1","3","3","703.855705976","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.73199081421","705.587759018","3.26800918579","709.010276079","3.37345004082","712.383785963","2.62654995918","715.061295033","716.672926903","716.745305061","719.748301983","1","719.762351036","724.040646076",""
"sujeto_9ae17e76","1","1","4","4","724.183515072","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","individual","right","1.84514498711","726.028723955","3.15485501289","729.354453087","3.31013202667","732.66463995","2.68986797333","735.405452013","736.610193968","736.657012939","739.659943104","1","739.674056053","743.127934933",""
"sujeto_9ae17e76","1","1","5","5","743.275259972","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.67250585556","744.947832108","3.32749414444","748.413695097","3.71902608871","752.132781029","2.28097391129","754.464909077","755.986298084","756.066200018","759.069175959","1","759.083409071","766.117589951",""
"sujeto_9ae17e76","1","1","6","6","766.2845819","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","2.24311304092","768.527765989","2.75688695908","771.442256927","4.86244893074","776.304750919","1.13755106926","777.477248907","778.532041073","778.610591888","781.613538027","0","781.628900051","789.255496979",""
"sujeto_9ae17e76","1","1","7","7","789.396277905","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.55741596222","790.953757048","3.44258403778","794.554055929","4.04061698914","798.59471488","1.95938301086","800.605021954","802.469026089","802.539825916","805.542807102","1","805.55684495","811.317837954",""
"sujeto_9ae17e76","1","1","8","8","811.477355957","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","individual","right","1.73330402374","813.210726976","3.26669597626","816.648731947","3.37797188759","820.026771069","2.62202811241","822.682564974","824.125618935","824.167377949","827.170316935","0","827.185357094","833.284702063",""
"sujeto_9ae17e76","1","1","9","9","833.420058966","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.68578386307","835.10591507","3.31421613693","838.57691288","4.86678099632","843.443734884","1.13321900368","844.627448082","846.176915884","846.261313915","849.261590958","1","849.280167103","855.325606108",""
"sujeto_9ae17e76","1","1","10","10","855.465833902","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","1.28089594841","856.746773958","3.71910405159","860.605001926","6","866.605122089","0","866.620800018","868.189225912","868.274481058","871.277462959","0","871.291145086","878.361578941",""
"sujeto_9ae17e76","1","1","11","11","878.509176016","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.62945914268","880.138669968","3.37054085732","883.667433023","4.2281961441","887.895685911","1.7718038559","889.701704979","891.383724928","891.452425957","894.455410004","0","894.46972394","898.201812029",""
"sujeto_9ae17e76","1","1","12","12","898.354568005","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.47919797897","899.833834887","3.52080202103","903.510102987","4.32456088066","907.834719896","1.67543911934","909.545337915","910.91804409","910.996469975","913.999459982","0","914.013576984","916.788211107",""
"sujeto_9ae17e76","1","1","13","13","916.931802034","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.44194507599","918.373790979","3.55805492401","922.084928989","4.44278883934","926.527784109","1.55721116066","928.120218039","929.199476957","929.270240068","932.270823956","0","932.287225008","936.128226042",""
"sujeto_9ae17e76","1","1","14","14","936.305756092","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.03902816772","937.344858885","3.96097183228","941.463401079","5.47032213211","946.933784008","0.529677867889","947.515001059","948.972826958","949.048866987","952.051839113","1","952.06545496","959.837609053",""
"sujeto_9ae17e76","1","1","15","15","959.967438936","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.99839091301","961.965905905","3.00160908699","965.124049902","4.06566905975","969.18978405","1.93433094025","971.159734011","972.208534956","972.294312954","975.297290087","1","975.311495066","982.002367973",""
"sujeto_9ae17e76","1","1","16","16","982.179219961","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","individual","left","2.11151194572","984.290796041","2.88848805428","987.353790045","3.06089401245","990.414725065","2.93910598755","993.404356956","995.144367933","995.188925982","998.189582109","0","998.206724882","1001.66724992",""
"sujeto_9ae17e76","1","1","17","17","1001.84183097","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","individual","right","1.93395400047","1003.77583098","3.06604599953","1007.01371193","3.15492606163","1010.168679","2.84507393837","1013.06469107","1014.10369492","1014.14894509","1017.15192103","0","1017.1664989","1021.97617507",""
"sujeto_9ae17e76","1","1","18","18","1022.11803889","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","individual","right","1.7226691246","1023.84077406","3.2773308754","1027.25820303","3.93549799919","1031.19377208","2.06450200081","1033.30870295","1035.26483297","1035.31021309","1038.31317711","0","1038.32708907","1041.92961311",""
"sujeto_9ae17e76","1","1","19","19","1042.06195307","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","left","1.80275702477","1043.86475706","3.19724297523","1047.23527408","3.75541305542","1050.9907279","2.24458694458","1053.2853601","1055.02948308","1055.10353899","1058.10652089","1","1058.12094307","1062.59534597",""
