"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_9d0bd287","1","1","1","1","814.505458832","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","1.9629740715","816.468495846","3.0370259285","819.692965984","3.15747213364","822.850498915","2.84252786636","825.746747017","826.775053024","826.846756935","829.84969306","0","829.864676952","832.026933908",""
"sujeto_9d0bd287","1","1","2","2","832.183056831","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.70858597755","833.891708851","3.29141402245","837.338253975","4.0224480629","841.360762835","1.9775519371","843.389448881","845.267519951","845.357149839","848.360136986","0","848.374420881","850.467190027",""
"sujeto_9d0bd287","1","1","3","3","850.60944891","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.70535588264","852.314890862","3.29464411736","855.764843941","2.81805300713","858.582957983","3.18194699287","861.814050913","863.425752878","863.499626875","866.502608061","1","866.517035007","870.795353889",""
"sujeto_9d0bd287","1","1","4","4","870.935606003","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.70345711708","872.639103889","3.29654288292","876.091594934","2.87949490547","878.971129894","3.12050509453","882.125011921","883.329790831","883.40948391","886.41246295","1","886.427064896","889.881015062",""
"sujeto_9d0bd287","1","1","5","5","890.028452873","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.50179195404","891.530288935","3.49820804596","895.200974941","2.17532086372","897.376353979","3.82467913628","901.251070976","902.772469997","902.853060007","905.856065035","1","905.870316982","912.906973839",""
"sujeto_9d0bd287","1","1","6","6","913.056881905","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.98559403419","915.042521","3.01440596581","918.211273909","3.46531391144","921.676645994","2.53468608856","924.248235941","925.303071976","925.382310867","928.385301828","0","928.39952898","936.026094913",""
"sujeto_9d0bd287","1","1","7","7","936.168107986","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.41260719299","937.580754995","3.58739280701","941.324401855","3.40735983849","944.731797934","2.59264016151","947.375095844","949.239089966","949.326593876","952.328951836","1","952.343611002","958.104676008",""
"sujeto_9d0bd287","1","1","8","8","958.277848959","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.64212203026","959.920011044","3.35787796974","963.437039852","4.60707497597","968.044175863","1.39292502403","969.489457846","970.933779955","971.006069899","974.009014845","0","974.023676872","980.123034",""
"sujeto_9d0bd287","1","1","9","9","980.275080919","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.01117300987","981.286319971","3.98882699013","985.432647943","4.47158098221","989.904271841","1.52841901779","991.483757973","993.033254862","993.117473841","996.120489836","1","996.134996891","1002.18229103",""
"sujeto_9d0bd287","1","1","10","10","1002.33636093","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.17713809013","1003.51356387","3.82286190987","1007.49490404","3.28060698509","1010.77557206","2.71939301491","1013.54545784","1015.11387992","1015.19573283","1018.19777799","0","1018.21419406","1025.28785086",""
"sujeto_9d0bd287","1","1","11","11","1025.43174195","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.13599491119","1026.56780291","3.86400508881","1030.60113096","5.04757785797","1035.64877486","0.952422142029","1036.65391302","1038.33595991","1038.42116499","1041.42415595","0","1041.43868995","1045.17199802",""
"sujeto_9d0bd287","1","1","12","12","1045.32431483","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.31162309647","1046.63598204","3.68837690353","1050.48270106","3.23328900337","1053.71605492","2.76671099663","1056.53408599","1057.90681291","1057.98507285","1060.9880619","0","1061.00276589","1063.77741599",""
