"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_9d7bb9e1","1","1","1","1","16.7481908798","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24",,"0","0","1","competitive","right","3.94166994095","20.6899240017","1.05833005905","21.9063959122","3.95943403244","25.8658969402","2.04056596756","27.958039999","28.9863400459","29.0588958263","32.061882019","0","32.0756859779","34.2382209301",
"sujeto_9d7bb9e1","1","1","2","2","34.3926198483","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78",,"0","0","1","competitive","left","1.35119605064","35.7438628674","3.64880394936","39.5473599434","2.81633114815","42.3637468815","3.18366885185","45.5975539684","47.4755680561","47.549134016","50.5521130562","0","50.5666668415","52.6594369411",
"sujeto_9d7bb9e1","1","1","3","3","52.8016428947","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11",,"1","1","1","competitive","right","0.88404083252","53.6857578754","4.11595916748","57.9571590424","3.31847405434","61.2756910324","2.68152594566","64.0083858967","65.6200408936","65.6933369637","68.6963469982","1","68.7107689381","72.9891090393",
"sujeto_9d7bb9e1","1","1","4","4","73.128939867","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.77656888962","74.9055709839","3.22343111038","78.285145998","2.53233909607","80.81752491","3.46766090393","84.3354249001","85.5401768684","85.6205098629","88.6234400272","1","88.6377298832","92.091604948",
"sujeto_9d7bb9e1","1","1","5","5","92.2395000458","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324",,"1","1","1","competitive","right","2.11491298676","94.354475975","2.88508701324","97.3933370113","2.31805515289","99.7114310265","3.68194484711","103.442401886","104.963793993","105.044569969","108.047556877","1","108.062113047","115.098829031",
"sujeto_9d7bb9e1","1","1","6","6","115.246551037","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72",,"0","0","1","competitive","right","1.72779417038","116.974385977","3.27220582962","120.406450033","2.9368789196","123.343366861","3.0631210804","126.45697999","127.511812925","127.592357874","130.595340014","0","130.60888505","138.235481977",
"sujeto_9d7bb9e1","1","1","7","7","138.37726593","direct","1","1","1","¿Cuantos estados tiene África?","52","54",,"1","1","0","competitive","left","2.20594406128","140.58327198","2.79405593872","143.518687963","2.33853888512","145.857285976","3.66146111488","149.568699837","151.432749033","151.516276836","154.519217014","1","154.533478022","160.294487953",
"sujeto_9d7bb9e1","1","1","8","8","160.451182842","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942",,"0","0","1","competitive","right","1.27093505859","161.722199917","3.72906494141","165.627261877","3.20282006264","168.830131054","2.79717993736","171.679785013","173.124057055","173.196816921","176.199815035","0","176.215142965","182.314519882",
"sujeto_9d7bb9e1","1","1","9","9","182.449386835","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57",,"1","1","1","competitive","right","1.61849713326","184.067924976","3.38150286674","187.606781006","3.91422200203","191.52104187","2.08577799797","193.657011986","195.206538916","195.291923046","198.294843912","1","198.309164047","204.356482983",
"sujeto_9d7bb9e1","1","1","10","10","204.494251966","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594",,"0","0","1","competitive","left","0.924749851227","205.419046879","4.07525014877","209.664393902","5.53458499908","215.199036837","0.465415000916","215.717985868","217.286423922","217.367846012","220.370197058","0","220.385862827","227.459498882",
"sujeto_9d7bb9e1","1","1","11","11","227.603890896","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4",,"0","0","1","competitive","right","1.63502597809","229.238980055","3.36497402191","232.781108856","3.38979887962","236.170946836","2.61020112038","238.831399918","240.51345706","240.59906292","243.602007866","0","243.616768837","247.350018024",
"sujeto_9d7bb9e1","1","1","12","12","247.500921011","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17",,"0","0","0","competitive","left","1.06700110435","248.567997932","3.93299889565","252.674335003","2.83656311035","255.510954857","3.16343688965","258.724669933","260.097416878","260.175715923","263.178673983","0","263.192781925","265.967432976",
"sujeto_9d7bb9e1","1","1","13","13","266.111021042","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo",,"0","0","0","competitive","left","1.39779114723","267.508874893","3.60220885277","271.267242908","3.31055283546","274.577854872","2.68944716454","277.348460913","278.427672863","278.500725031","281.503667831","0","281.517431974","285.35844183",
"sujeto_9d7bb9e1","1","1","14","14","285.485748053","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin",,"1","1","0","competitive","right","1.48708701134","286.972895861","3.51291298866","290.643483877","4.28233289719","294.925856829","1.71766710281","296.694509029","298.152350903","298.228291035","301.231278896","1","301.245872021","309.018787861",
"sujeto_9d7bb9e1","1","1","15","15","309.164165974","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249",,"1","1","0","competitive",,"1.52366518974","310.687871933","3.47633481026","314.321660042","6","320.321804047","0","320.338009834","321.386823893","321.457243919","324.460216045","0","324.47474885","331.163192987",
"sujeto_9d7bb9e1","1","1","16","16","331.29468894","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda",,"0","0","1","competitive","left","2.02914190292","333.323894024","2.97085809708","336.450667858","2.86111092567","339.311822891","3.13888907433","342.501342058","344.241354942","344.319030046","347.322016954","0","347.337332964","350.797863007",
"sujeto_9d7bb9e1","1","1","17","17","350.938297987","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000",,"0","0","1","competitive","right","1.01450610161","351.952867031","3.98549389839","356.091164827","3.31962609291","359.410851002","2.68037390709","362.142534971","363.181550026","363.261556864","366.264552832","0","366.277822971","371.08751893",
"sujeto_9d7bb9e1","1","1","18","18","371.229099989","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km",,"0","0","1","competitive","right","0.845702171326","372.074872017","4.15429782867","376.387892962","3.05893206596","379.446886063","2.94106793404","382.437450886","384.393602848","384.472386837","387.475381851","0","387.489948988","391.092536926",
"sujeto_9d7bb9e1","1","1","19","19","391.225775003","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand",,"1","1","1","competitive","left","1.26502203941","392.490846872","3.73497796059","396.397394896","2.475440979","398.872901917","3.524559021","402.44780302","404.191910982","404.266080856","407.26906991","1","407.283489943","411.757889032",
"sujeto_9d7bb9e1","1","1","20","20","411.902199984","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.08267807961","412.984945059","3.91732192039","417.057452917","2.71233391762","419.769829035","3.28766608238","423.108289003","425.047582865","425.12656498","428.129287958","1","428.14465189","432.373453856",
"sujeto_9d7bb9e1","1","1","21","21","432.51206398","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5",,"0","0","1","competitive","right","1.26182413101","433.773972034","3.73817586899","437.667583942","3.46830296516","441.135926962","2.53169703484","443.718505859","445.233407021","445.319231987","448.322227955","0","448.336642027","455.459318876",
"sujeto_9d7bb9e1","1","1","22","22","455.589434862","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960",,"0","0","1","competitive","left","1.72739505768","457.316870928","3.27260494232","460.747258902","3.26664590836","464.01396203","2.73335409164","466.798442841","468.040557861","468.115753889","471.118715048","0","471.133291006","474.369607925",
"sujeto_9d7bb9e1","1","1","23","23","474.518929958","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados",,"1","1","1","competitive","left","1.56902885437","476.088024855","3.43097114563","479.690970898","3.92293286324","483.613960981","2.07706713676","485.741765022","487.002950907","487.075630903","490.078646898","1","490.092922926","493.894731998",
"sujeto_9d7bb9e1","1","1","24","24","494.045237064","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04",,"0","0","0","competitive","right","1.71964812279","495.764946938","3.28035187721","499.202781916","3.00115394592","502.203974009","2.99884605408","505.248160839","507.008854866","507.082867861","510.085836887","0","510.102097988","516.837218046",
"sujeto_9d7bb9e1","1","1","25","25","516.985290051","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.",,"1","1","1","competitive","right","1.52074599266","518.506101847","3.47925400734","522.1625669","4.40536189079","526.567985058","1.59463810921","528.213548899","530.208813906","530.281657934","533.284652948","1","533.299371958","538.842180014",
"sujeto_9d7bb9e1","1","1","26","26","538.984173059","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11",,"1","1","0","competitive","left","1.45581007004","540.440028906","3.54418992996","544.123446941","3.35656785965","547.480057955","2.64343214035","550.174491882","551.532485962","551.608793974","554.611789942","1","554.62649703","556.661211967",
"sujeto_9d7bb9e1","1","1","27","27","556.794402838","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2",,"1","1","1","competitive","left","1.90879702568","558.703278065","3.09120297432","561.965976","3.21707010269","565.183089018","2.78292989731","568.017990828","569.772215843","569.853204012","572.856145859","1","572.869513988","580.265907049",
"sujeto_9d7bb9e1","1","1","28","28","580.404482841","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses",,"0","0","1","competitive","right","1.9707660675","582.375309944","3.0292339325","585.564539909","3.41362285614","588.978204966","2.58637714386","591.610697985","592.721786022","592.795243025","595.798226833","0","595.814702988","602.536190033",
"sujeto_9d7bb9e1","1","1","29","29","602.665797949","direct","1","1","1","¿En qué año fue creado
 el sandwich?","1762","1653",,"1","1","0","competitive","right","1.39935278893","604.065211058","3.60064721107","607.822397947","2.41186213493","610.234299898","3.58813786507","613.873656034","615.472204924","615.558667898","618.56167388","1","618.576257944","622.046905041",
"sujeto_9d7bb9e1","1","1","30","30","622.195196867","inverse","4","1","2","El nombre de la moneda de Vietnam es:","Dinar","Dong",,"0","0","1","competitive","left","2.56907486916","624.764333963","2.43092513084","627.350407839","3.50894093513","630.859388828","2.49105906487","633.380391836","634.812340021","634.882071972","637.885066032","0","637.899401903","644.065261841",
"sujeto_9d7bb9e1","1","1","31","31","644.200655937","direct","2","1","1","¿cuantos aleteos puede dar 
un colibrí por segundo?","120","50",,"0","0","0","competitive","right","1.18971991539","645.390451908","3.81028008461","649.362174988","4.4662361145","653.828450918","1.5337638855","655.413039923","657.145391941","657.23069191","660.233634949","0","660.247545958","664.459830999",
"sujeto_9d7bb9e1","1","1","32","32","664.599695921","inverse","4","1","3","¿Qué altura promedio tienen
 los hombres uruguayos?","1.73 m","1.72 m",,"1","1","1","competitive","left","1.08825302124","665.688031912","3.91174697876","669.771278858","4.53009295464","674.301410913","1.46990704536","675.823041916","677.085473061","677.157512903","680.15987587","1","680.175145864","684.651087999",
"sujeto_9d7bb9e1","1","2","1","33","813.056936026","direct","1","1","1","¿En qué año nació 
el actor Bradd Pitt?","1967","1963",,"1","1","1","competitive","right","1.59605813026","814.653054953","3.40394186974","818.215150833","2.86892199516","821.084153891","3.13107800484","824.265859842","825.361737967","825.434259892","828.437252045","1","828.451524973","834.379116058","684.666333914"
"sujeto_9d7bb9e1","1","2","2","34","834.519984007","inverse","2","1","1","¿Cual es el segundo 
monte más alto?","Kanchenjunga","K2",,"1","1","1","competitive","left","2.28315997124","836.803220034","2.71684002876","839.693615913","3.52251005173","843.216189861","2.47748994827","845.745257854","847.197685003","847.28007102","850.283030987","1","850.297230005","853.727069855",
