"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_acaff5ce","1","1","1","1","49.4451479912","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.00264501572","51.447838068","2.99735498428","54.6211941242","4.34271597862","58.9639780521","1.65728402138","60.6524860859","61.6807849407","61.7530510426","64.7559869289","0","64.7712130547","66.9328188896",""
"sujeto_acaff5ce","1","1","2","2","67.0892250538","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.28883004189","68.3781189919","3.71116995811","72.2466568947","5.20434093475","77.451059103","0.795659065247","78.2978870869","80.1759080887","80.2483289242","83.251306057","0","83.2661800385","85.3589439392",""
"sujeto_acaff5ce","1","1","3","3","85.5009191036","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.45821809769","86.959207058","3.54178190231","90.656003952","3.86916089058","94.525206089","2.13083910942","96.7066988945","98.3183751106","98.391160965","101.394129992","1","101.40844202","105.686803102",""
"sujeto_acaff5ce","1","1","4","4","105.826711893","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","left","0.993632078171","106.820420027","4.00636792183","110.982172966","4.27321600914","115.255449057","1.72678399086","117.033332109","118.238075972","118.316637039","121.31962204","0","121.33425808","124.788183928",""
"sujeto_acaff5ce","1","1","5","5","124.93632412","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.22522711754","126.161617041","3.77477288246","130.093831062","4.65274000168","134.746630907","1.34725999832","136.144859076","137.666171074","137.745505095","140.748465061","1","140.763114929","147.799809933",""
"sujeto_acaff5ce","1","1","6","6","147.947732925","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.53696012497","149.484781981","3.46303987503","153.104499102","4.20125699043","157.305818081","1.79874300957","159.153299093","160.208096027","160.287349939","163.290333986","0","163.304830074","170.931421995",""
"sujeto_acaff5ce","1","1","7","7","171.072379112","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","0.892590045929","171.965037107","4.10740995407","176.23447299","3.83454585075","180.069077969","2.16545414925","182.285382986","184.149384975","184.236335993","187.239305973","1","187.253582954","193.014615059",""
"sujeto_acaff5ce","1","1","8","8","193.155141115","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.80203199387","194.957237959","3.19796800613","198.328882933","4.51135087013","202.84027791","1.48864912987","204.364532948","205.80884409","205.881798029","208.884778023","0","208.89902401","214.992806911",""
"sujeto_acaff5ce","1","1","9","9","215.135133028","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","0.856231927872","215.991409063","4.14376807213","220.306572914","5.58994889259","225.896584988","0.410051107407","226.358761072","227.908282995","227.992930889","230.995917082","1","231.010447979","237.057796001",""
"sujeto_acaff5ce","1","1","10","10","237.211105108","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.15054702759","238.361717939","3.84945297241","242.401259899","5.1523270607","247.553627014","0.847672939301","248.453445911","250.021850109","250.103977919","253.106959105","0","253.121731043","260.195382118",""
