"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_c28223ba","1","1","1","1","541.159659863","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.38342285156","543.543143988","2.61657714844","546.337785959","5.77045202255","552.108306885","0.229547977448","552.390049934","553.41830492","553.490309954","556.493231773","0","556.507308006","558.669845819",""
"sujeto_c28223ba","1","1","2","2","558.82623291","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.48119997978","560.307497978","3.51880002022","563.980349779","4.42623496056","568.406646967","1.57376503944","570.014781952","571.892832994","571.966198921","574.969177008","0","574.983417988","577.07619381",""
"sujeto_c28223ba","1","1","3","3","577.218795776","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","","2.0409488678","579.259814978","2.9590511322","582.375335932","6","588.375472784","0","588.391749859","590.003012896","590.075383902","593.078362942","0","593.093783855","597.372135878",""
"sujeto_c28223ba","1","1","4","4","597.527668953","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.9064950943","599.434231997","3.0935049057","602.717702866","4.65755987167","607.375305891","1.34244012833","608.752485991","609.957242966","610.037064791","613.040052891","1","613.054252863","616.508185863",""
"sujeto_c28223ba","1","1","5","5","616.655827999","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.3856780529","618.041569948","3.6143219471","621.844570875","3.54097890854","625.385609865","2.45902109146","627.895680904","629.417079926","629.496550798","632.499509811","1","632.514151812","639.550855875",""
"sujeto_c28223ba","1","1","6","6","639.682152987","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.32770395279","641.009918928","3.67229604721","644.84065485","4.88438296318","649.725078821","1.11561703682","650.891255856","651.946083784","652.025636911","655.028610945","0","655.043012857","662.669621944",""
"sujeto_c28223ba","1","1","7","7","662.811205864","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","right","2.16311883926","664.97439599","2.83688116074","667.985433817","4.64998197556","672.635482788","1.35001802444","674.037319899","675.90109992","675.952326775","678.955295801","1","678.968898773","684.72991991",""
"sujeto_c28223ba","1","1","8","8","684.887587786","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.90413308144","686.791769981","3.09586691856","690.0794909","4.54034399986","694.619880915","1.45965600014","696.131460905","697.575723886","697.647753","700.650126934","0","700.6645298","706.763852835",""
"sujeto_c28223ba","1","1","9","9","706.915638924","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.30541801453","709.221099854","2.69458198547","712.076491833","5.38772201538","717.46427393","0.612277984619","718.128485918","719.67796278","719.761488914","722.764458895","1","722.779320955","728.826617956",""
"sujeto_c28223ba","1","1","10","10","728.964190006","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","individual","right","2.28618097305","731.250428915","2.71381902695","734.12024188","4.19734287262","738.317645788","1.80265712738","740.155842781","741.724294901","741.772486925","744.775489807","0","744.790831804","751.864484787",""
"sujeto_c28223ba","1","1","11","11","752.008294821","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.86153197289","753.869871855","3.13846802711","757.200883865","5.46111488342","762.662060976","0.538885116577","763.235483885","764.917533875","765.002159834","768.005096912","0","768.019396782","771.752702951",""
"sujeto_c28223ba","1","1","12","12","771.904739857","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","individual","left","2.07648682594","773.981292963","2.92351317406","777.075944901","4.38027501106","781.45627594","1.61972498894","783.111852884","784.484591961","784.529340982","787.532289982","0","787.546836853","790.321482897",""
"sujeto_c28223ba","1","1","13","13","790.482440948","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","","3.08308315277","793.565594912","1.91691684723","795.653589964","6","801.653728962","0","801.673455","802.752697945","802.839555979","805.840123892","0","805.857112885","809.698133945",""
"sujeto_c28223ba","1","1","14","14","809.8753829","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","2.15350699425","812.028953791","2.84649300575","815.046091795","3.18786597252","818.234048843","2.81213402748","821.098231792","822.556041002","822.632701874","825.635698795","1","825.651105881","833.4240098",""
"sujeto_c28223ba","1","1","15","15","833.569358826","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","2.24191808701","835.811347961","2.75808191299","838.723512888","4.41683602333","843.140390873","1.58316397667","844.777141809","845.825951815","845.910738945","848.913729906","1","848.928322792","855.619179964",""
"sujeto_c28223ba","1","1","16","16","855.762942791","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","left","1.5006840229","857.263689995","3.4993159771","860.922284842","5.13138699532","866.053725004","0.868613004684","866.97347784","868.713485956","868.791033983","871.794031858","0","871.808678865","875.26914978",""
"sujeto_c28223ba","1","1","17","17","875.409856796","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","2.43512392044","877.845063925","2.56487607956","880.580700874","4.29738283157","884.878144979","1.70261716843","886.617769957","887.656744003","887.734586","890.737583876","0","890.752031803","895.561719894",""
"sujeto_c28223ba","1","1","18","18","895.703233004","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","1.20106196404","896.904345989","3.79893803596","900.876226902","5.07021784782","905.94648695","0.929782152176","906.928472996","908.884602785","908.961840868","911.964811802","0","911.979231834","915.581798792",""
"sujeto_c28223ba","1","1","19","19","915.731464863","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","left","1.16709804535","916.898629904","3.83290195465","920.919320822","4.4584569931","925.377817869","1.5415430069","926.953229904","928.697332859","928.771077871","931.774049997","1","931.789459944","936.263883829",""
"sujeto_c28223ba","1","1","20","20","936.406752825","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.33132004738","937.738127947","3.66867995262","941.581189871","5.47788000107","947.059135914","0.522119998932","947.616557837","949.555870771","949.633902788","952.636874914","1","952.651520967","956.88031292",""
"sujeto_c28223ba","1","1","21","21","957.035414934","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","left","1.15566420555","958.191160917","3.84433579445","962.20864892","5.29178118706","967.500468969","0.708218812943","968.243488789","969.758346796","969.844302893","972.847287893","0","972.861645937","979.984304905",""
"sujeto_c28223ba","1","1","22","22","980.131536007","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","left","1.61716413498","981.748761892","3.38283586502","985.288321972","4.62646412849","989.914824963","1.37353587151","991.322258949","992.564378977","992.640221834","995.643185854","0","995.657455921","998.893763781",""
"sujeto_c28223ba","1","1","23","23","999.042200804","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","left","1.24285197258","1000.28513193","3.75714802742","1004.19763398","4.11218714714","1008.30988097","1.88781285286","1010.24810791","1011.509341","1011.58259082","1014.58556485","1","1014.60022688","1018.40203881",""
"sujeto_c28223ba","1","1","24","24","1018.55172586","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","right","0.924954891205","1019.47672486","4.0750451088","1023.72328496","4.28331112862","1028.00663495","1.71668887138","1029.77470779","1031.53536797","1031.60837388","1034.61137891","0","1034.62726378","1041.36231685",""
"sujeto_c28223ba","1","1","25","25","1041.51181793","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","competitive","right","1.69267702103","1043.20453882","3.30732297897","1046.66985393","4.83445620537","1051.50434899","1.16554379463","1052.72079492","1054.71606493","1054.80426383","1057.8071959","1","1057.82251883","1063.36533093",""
"sujeto_c28223ba","1","1","26","26","1063.50669384","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","individual","left","1.92763090134","1065.43439984","3.07236909866","1068.68018794","4.65504598618","1073.33529282","1.34495401382","1074.73088384","1076.0889008","1076.13122582","1079.134161","1","1079.14847779","1081.18313885",""
"sujeto_c28223ba","1","1","27","27","1081.31720781","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","competitive","right","2.28781700134","1083.60509396","2.71218299866","1086.47246099","4.78947019577","1091.26199889","1.21052980423","1092.52416682","1094.27879882","1094.35874081","1097.36173987","1","1097.37641191","1104.77272892",""
"sujeto_c28223ba","1","1","28","28","1104.90949893","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","left","1.64934015274","1106.55888295","3.35065984726","1110.06826782","4.75951194763","1114.82783985","1.24048805237","1116.10211492","1117.21317196","1117.28626895","1120.28924799","0","1120.30402589","1127.02612591",""
"sujeto_c28223ba","1","1","29","29","1127.17180181","direct","1","1","1","¿En qué año fue creado
 el sandwich?","1762","1653","","1","1","0","individual","left","2.33996105194","1129.51182795","2.66003894806","1132.34483695","4.52783799171","1136.87273383","1.47216200829","1138.38037181","1139.9789319","1140.03114986","1143.03413296","1","1143.04952884","1146.52016282",""
"sujeto_c28223ba","1","1","30","30","1146.66781688","inverse","4","1","2","El nombre de la moneda de Vietnam es:","Dinar","Dong","","0","0","1","individual","left","3.08079409599","1149.74867392","1.91920590401","1151.85391188","4.83364200592","1156.68761182","1.16635799408","1157.89040184","1159.32239699","1159.37494779","1162.37613678","0","1162.39148498","1168.55990887",""
"sujeto_c28223ba","1","1","31","31","1168.70939279","direct","2","1","1","¿cuantos aleteos puede dar 
un colibrí por segundo?","120","50","","0","0","0","competitive","right","1.12412810326","1169.83356595","3.87587189674","1173.86735797","4.38412308693","1178.25152278","1.61587691307","1179.918082","1181.65049982","1181.73591185","1184.73889089","0","1184.75336695","1188.96563792",""
"sujeto_c28223ba","1","1","32","32","1189.12133288","inverse","4","1","3","¿Qué altura promedio tienen
 los hombres uruguayos?","1.73 m","1.72 m","","1","1","1","competitive","left","2.76204395294","1191.88342786","2.23795604706","1194.30857587","5.59671783447","1199.90535879","0.403282165527","1200.34623384","1201.60866189","1201.6963079","1204.69928288","1","1204.71397781","1209.18993783",""
"sujeto_c28223ba","1","2","1","33","1330.00328684","direct","1","1","1","¿En qué año nació 
el actor Bradd Pitt?","1967","1963","","1","1","1","individual","left","2.33660197258","1332.3399508","2.66339802742","1335.19758987","5.6584379673","1340.8561008","0.3415620327","1341.25182295","1342.34769297","1342.38492393","1345.38509989","1","1345.40293384","1351.33052278","1209.20531297"
"sujeto_c28223ba","1","2","2","34","1351.48674989","inverse","2","1","1","¿Cual es el segundo 
monte más alto?","Kanchenjunga","K2","","1","1","1","competitive","left","1.76226806641","1353.2490809","3.23773193359","1356.66063881","4.37736797333","1361.03805995","1.62263202667","1362.71103787","1364.16343784","1364.24559784","1367.24857783","1","1367.26282191","1370.69274187",""
"sujeto_c28223ba","1","2","3","35","1370.84728384","direct","3","1","1","¿Cuándo finalizó la construcción
 del Palacio Legislativo?","1925","1917","","0","0","1","individual","right","1.26680397987","1372.11415696","3.73319602013","1376.01569891","5.02436494827","1381.04012585","0.975635051727","1382.05222082","1383.69386888","1383.73639679","1386.73937583","0","1386.75304794","1392.45060992",""
"sujeto_c28223ba","1","2","4","36","1392.588485","inverse","3","1","3","¿Cuántos integrantes tenía
 en su inicio  el cuarteto de nos?","3","4","","1","1","1","competitive","right","1.26431393623","1393.85286188","3.73568606377","1397.7484839","5.55052304268","1403.29907799","0.449476957321","1403.79545283","1404.92855","1405.01190996","1408.01487398","1","1408.03059697","1413.68042278",""
"sujeto_c28223ba","1","2","5","37","1413.83180094","direct","2","1","3","¿Qué valor tiene el número pi?","3.14","4.18","left","0","0","1","competitive","left","1.73925805092","1415.57112288","3.26074194908","1418.99221587","3.68081998825","1422.67307496","2.31918001175","1425.02652693","1426.48073387","1426.56036687","1429.56334877","1","1429.57813597","1436.4991169",""
"sujeto_c28223ba","1","2","6","38","1436.64687896","inverse","2","1","2","¿Cuál es la esperanza de vida
 en Uruguay?","75","77","","1","1","0","competitive","right","1.60920596123","1438.25612688","3.39079403877","1441.80443788","4.1266169548","1445.93112278","1.8733830452","1447.83903384","1449.49286199","1449.57252097","1452.57551098","1","1452.5908649","1459.0491488",""
"sujeto_c28223ba","1","2","7","39","1459.20904779","direct","1","1","2","¿Cuantos pisos tiene la torre 
de las comunicaciones?","26","32","","1","1","0","competitive","left","1.49209904671","1460.70121193","3.50790095329","1464.38302779","4.20217704773","1468.58524394","1.79782295227","1470.43355894","1472.26232195","1472.35088587","1475.35386992","1","1475.3681109","1477.51432586",""
"sujeto_c28223ba","1","2","8","40","1477.65285683","inverse","2","1","4","¿En qué país sudamericano 
no hay McDonalds?","Bolivia","Venezuela","","0","0","1","competitive","left","2.0743970871","1479.72730279","2.9256029129","1482.80909181","5.52402591705","1488.33316088","0.475974082947","1488.86131597","1490.17069197","1490.24428892","1493.24727392","0","1493.26205897","1499.62177777",""
"sujeto_c28223ba","1","2","9","41","1499.76345491","direct","3","1","1","¿En qué año empieza
 la Edad Media?","476","512","","1","1","1","competitive","right","2.47476601601","1502.23826385","2.52523398399","1504.91888881","4.36433506012","1509.28326488","1.63566493988","1510.95499182","1512.35876894","1512.43941498","1515.44235778","1","1515.45685792","1518.44540787",""
"sujeto_c28223ba","1","2","10","42","1518.5910759","inverse","3","1","4","¿Hace cuántos años surgió
 el ser humano?","200mil","300mil","","0","0","0","competitive","right","1.34720396996","1519.93834591","3.65279603004","1523.76296782","5.55338191986","1529.31639099","0.446618080139","1529.81524181","1531.70127797","1531.78183198","1534.78480291","0","1534.79922295","1538.10971189",""
"sujeto_c28223ba","1","2","11","43","1538.25241995","direct","3","1","4","¿Cuántas cuadras tiene
 actualmente 18 de julio? ","36","33","","0","0","1","competitive","right","1.59082102776","1539.84330583","3.40917897224","1543.40685296","4.49847006798","1547.90538788","1.50152993202","1549.45744896","1551.15971684","1551.2421279","1554.24512196","0","1554.2595439","1558.9858408",""
