"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_c3d9e000","1","1","1","1","436.72019887","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.65642380714","439.37665987","2.34357619286","441.892840862","4.06776404381","445.960641861","1.93223595619","447.944278002","448.972550869","449.044929981","452.047919035","0","452.061863899","454.224387884",""
"sujeto_c3d9e000","1","1","2","2","454.379787922","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.57236099243","456.952243805","2.42763900757","459.566840887","4.92184495926","464.488744974","1.07815504074","465.618155003","467.496201038","467.569008827","470.571972847","0","470.586149931","472.678912878",""
"sujeto_c3d9e000","1","1","3","3","472.838604927","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.28426408768","475.12290597","2.71573591232","477.979051828","3.03382301331","481.01293087","2.96617698669","484.028474808","485.640146971","485.714047909","488.717016935","1","488.731179953","493.009521961",""
"sujeto_c3d9e000","1","1","4","4","493.151273966","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.46569108963","495.617048979","2.53430891037","498.304729939","2.64026379585","500.945052862","3.35973620415","504.356642008","505.561414957","505.64082098","508.643770933","1","508.658694983","512.11260891",""
"sujeto_c3d9e000","1","1","5","5","512.243718863","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.78433704376","515.028115034","2.21566295624","517.429294825","2.98379802704","520.413130999","3.01620197296","523.4663589","524.987709999","525.067603827","528.070580959","1","528.08573103","535.122421026",""
"sujeto_c3d9e000","1","1","6","6","535.275681973","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","2.48552012444","537.76126194","2.51447987556","540.459425926","3.70077681541","544.160234928","2.29922318459","546.495412827","547.550218821","547.629877806","550.632855892","0","550.646972895","558.273561954",""
"sujeto_c3d9e000","1","1","7","7","558.41908884","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","2.64026093483","561.059391975","2.35973906517","563.589277029","2.91712212563","566.506438971","3.08287787437","569.624168873","571.488204956","571.55802393","574.561007023","1","574.576205969","580.337226868",""
"sujeto_c3d9e000","1","1","8","8","580.497252941","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","individual","left","2.13564181328","582.632934809","2.86435818672","585.666467905","3.17409706116","588.840601921","2.82590293884","591.718537807","593.162853956","593.203739882","596.206712961","0","596.220664978","602.320019007",""
"sujeto_c3d9e000","1","1","9","9","602.473801851","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.9228348732","604.396687984","3.0771651268","607.647109032","4.62661099434","612.273777008","1.37338900566","613.679709911","615.229214907","615.315121889","618.318104029","1","618.332399845","624.377599001",""
"sujeto_c3d9e000","1","1","10","10","624.516973019","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","2.80737113953","627.324451923","2.19262886047","629.687137842","5.10459589958","634.791788816","0.895404100418","635.740144968","637.308588982","637.39059782","640.393568993","0","640.407720804","647.481359959",""
"sujeto_c3d9e000","1","1","11","11","647.646420956","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.86648011208","649.512959003","3.13351988792","652.819164038","4.99375486374","657.812955856","1.00624513626","658.853874922","660.535889864","660.60441184","663.607388973","0","663.621658802","667.354907036",""
"sujeto_c3d9e000","1","1","12","12","667.525270939","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","2.97468590736","670.499996901","2.02531409264","672.696034908","3.44901990891","676.145092964","2.55098009109","678.730964899","680.103699923","680.182201862","683.185146809","0","683.19923687","685.973636866",""
"sujeto_c3d9e000","1","1","13","13","686.11540699","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","2.29368901253","688.409133911","2.70631098747","691.306217909","4.37691307068","695.683189869","1.62308692932","697.340097904","698.419345856","698.490048885","701.493012905","0","701.508149862","705.349149942",""
"sujeto_c3d9e000","1","1","14","14","705.508605003","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","left","2.73955106735","708.248200893","2.26044893265","710.679675817","5.28051495552","715.960227966","0.719485044479","716.717554808","718.175345898","718.251528978","721.254503965","1","721.268636942","729.041568995",""
"sujeto_c3d9e000","1","1","15","15","729.174705029","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","individual","right","2.25359392166","731.428359985","2.74640607834","734.312290907","3.58706903458","737.89942193","2.41293096542","740.362452984","741.411243916","741.447070837","744.450033903","1","744.464017868","751.153640985",""
