"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_c9ac0c57","1","1","1","1","35.344753027","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","1.98999190331","37.3348150253","3.01000809669","40.5142920017","4.70844388008","45.2228019238","1.29155611992","46.550588131","47.5788340569","47.6505961418","50.6535999775","0","50.6684839725","52.8309650421",""
"sujeto_c9ac0c57","1","1","2","2","52.9710490704","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.64394497871","54.6150419712","3.35605502129","58.1253781319","2.91267800331","61.0380980968","3.08732199669","64.1755559444","66.0535919666","66.1271159649","69.1300899982","0","69.1444919109","71.2372570038",""
"sujeto_c9ac0c57","1","1","3","3","71.3823940754","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.23373913765","72.616204977","3.76626086235","76.5329959393","2.21611189842","78.7491679192","3.78388810158","82.5828831196","84.1945559978","84.2683141232","87.2712900639","1","87.2858541012","91.564193964",""
"sujeto_c9ac0c57","1","1","4","4","91.7074010372","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.10680389404","92.8142719269","3.89319610596","96.8456540108","2.78267598152","99.6283919811","3.21732401848","102.896075964","104.100852013","104.181013107","107.181635141","1","107.197529078","110.651456118",""
"sujeto_c9ac0c57","1","1","5","5","110.801453114","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.1989979744","112.000524044","3.8010020256","115.955411911","2.48106598854","118.436537981","3.51893401146","122.005651951","123.527040958","123.607644081","126.610630035","1","126.625952959","133.662657022",""
"sujeto_c9ac0c57","1","1","6","6","133.80902791","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.25962901115","135.068725109","3.74037098885","138.96616292","2.78855705261","141.754760027","3.21144294739","145.017844915","146.072638988","146.169371128","149.172362089","0","149.186609983","156.813192129",""
"sujeto_c9ac0c57","1","1","7","7","156.957544088","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","0.953299999237","157.910907984","4.04670000076","162.111525059","3.38931012154","165.500891924","2.61068987846","168.16249299","170.026521921","170.113162994","173.116136074","1","173.130734921","178.891716003",""
"sujeto_c9ac0c57","1","1","8","8","179.049530983","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.34847402573","180.398051023","3.65152597427","184.207718134","2.92937207222","187.13715601","3.07062792778","190.240965128","191.685236931","191.75938201","194.762362957","0","194.777024984","200.876388073",""
"sujeto_c9ac0c57","1","1","9","9","201.012144089","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.68404078484","202.696229935","3.31595921516","206.168815136","3.63952302933","209.808408022","2.36047697067","212.219521999","213.769040108","213.854550123","216.857527971","1","216.872148991","222.919456005",""
"sujeto_c9ac0c57","1","1","10","10","223.056016922","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.296448946","224.352509975","3.703551054","228.214168072","4.77430915833","232.988534927","1.22569084167","234.248631954","235.817069054","235.899462938","238.902436972","0","238.916749001","245.990392923",""
"sujeto_c9ac0c57","1","1","11","11","246.148845911","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","2.09578800201","248.244698048","2.90421199799","251.309098959","3.25561189651","254.564754009","2.74438810349","257.360794067","259.042841911","259.128448963","262.131443977","0","262.145990133","265.879281998",""
"sujeto_c9ac0c57","1","1","12","12","266.032530069","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.71525716782","267.747843027","3.28474283218","271.187031031","2.87986183167","274.066957951","3.12013816833","277.236854076","278.609591007","278.688540936","281.691533089","0","281.706174135","284.480797052",""
"sujeto_c9ac0c57","1","1","13","13","284.625381947","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","left","1.93509888649","286.560529947","3.06490111351","289.794693947","4.03236293793","293.827121973","1.96763706207","295.881681919","296.960915089","297.032220125","300.035205126","0","300.049598932","303.890599012",""
"sujeto_c9ac0c57","1","1","14","14","304.02858305","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","left","1.08164095879","305.110289097","3.91835904121","309.170094013","4.34914088249","313.519278049","1.65085911751","315.222590923","316.680407047","316.756437063","319.759424925","1","319.774714947","327.547650099",""
"sujeto_c9ac0c57","1","1","15","15","327.69373703","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.06664180756","328.760443926","3.93335819244","332.850865126","3.97461414337","336.825540066","2.02538585663","338.899810076","339.948629141","340.034507036","343.037482023","1","343.051055908","349.741904974",""
