"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_cfeb32c5","1","1","1","1","52.7906901836","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.67284798622","54.4636011124","3.32715201378","57.9616780281","3.32493400574","61.2866771221","2.67506599426","64.0121290684","65.0404131413","65.113795042","68.1167449951","0","68.1307380199","70.293279171",""
"sujeto_cfeb32c5","1","1","2","2","70.4325830936","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.73913598061","72.1717681885","3.26086401939","75.5875999928","3.84014391899","79.4277851582","2.15985608101","81.6381921768","83.5162491798","83.5895030499","86.5924890041","0","86.6068210602","88.6995921135",""
"sujeto_cfeb32c5","1","1","3","3","88.8423321247","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.2394721508","91.0818781853","2.7605278492","93.9965519905","2.98029208183","96.9769370556","3.01970791817","100.031037092","101.642693043","101.715229034","104.718178034","1","104.732795","109.011112213",""
"sujeto_cfeb32c5","1","1","4","4","109.150942087","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.34904885292","110.500056028","3.65095114708","114.323856115","2.39915895462","116.723057032","3.60084104538","120.374147177","121.578899145","121.659466028","124.662432194","1","124.677109003","128.131011009",""
"sujeto_cfeb32c5","1","1","5","5","128.277949095","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","2.09812283516","130.376116037","2.90187716484","133.4325912","2.80255198479","136.235185146","3.19744801521","139.484590054","141.005988121","141.086201191","144.089131117","1","144.104490995","151.141129017",""
"sujeto_cfeb32c5","1","1","6","6","151.288798094","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.12949895859","152.418379068","3.87050104141","156.445856094","2.69847297668","159.144380093","3.30152702332","162.496709108","163.551524162","163.631541014","166.6345191","0","166.64865613","174.275183201",""
"sujeto_cfeb32c5","1","1","7","7","174.418971062","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.44647288322","175.865509033","3.55352711678","179.574827194","3.88666009903","183.461529016","2.11333990097","185.62631917","187.49032712","187.577208042","190.580202103","1","190.594729185","196.35575819",""
"sujeto_cfeb32c5","1","1","8","8","196.496936083","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","0.933681964874","197.430664062","4.06631803513","201.686938047","3.51364088058","205.200623035","2.48635911942","207.737495184","209.181799173","209.25523901","212.258213997","0","212.27287817","218.37224102",""
"sujeto_cfeb32c5","1","1","9","9","218.524294138","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.39749312401","219.921840191","3.60250687599","223.698111057","3.20268988609","226.90084219","2.79731011391","229.748915195","231.298406124","231.382295132","234.385287046","1","234.398740053","240.446004152",""
"sujeto_cfeb32c5","1","1","10","10","240.583433151","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.18853712082","241.77205205","3.81146287918","245.742483139","3.96450400352","249.707048178","2.03549599648","251.793681145","253.362094164","253.444881201","256.447837114","0","256.462158203","263.535821199",""
"sujeto_cfeb32c5","1","1","11","11","263.6796031","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.14248299599","264.822136164","3.85751700401","268.83822608","3.58486890793","272.423159122","2.41513109207","274.889230013","276.57123518","276.656519175","279.659506083","0","279.674861193","283.408089161",""
"sujeto_cfeb32c5","1","1","12","12","283.558745146","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.19847297668","284.757287979","3.80152702332","288.730698109","2.97555279732","291.706291199","3.02444720268","294.782603025","296.155350208","296.233550072","299.236006021","0","299.251584053","302.026193142",""
"sujeto_cfeb32c5","1","1","13","13","302.169795036","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.00457191467","303.174411058","3.99542808533","307.341684103","5.02576088905","312.367488146","0.974239110947","313.426845074","314.506143093","314.593546152","317.596603155","0","317.610242128","321.451282024",""
"sujeto_cfeb32c5","1","1","14","14","321.595197201","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","left","0.989307880402","322.584551096","4.0106921196","326.751971006","3.72049593925","330.472507","2.27950406075","332.80262208","334.26040411","334.336654186","337.339604139","1","337.354895115","345.12778616",""
"sujeto_cfeb32c5","1","1","15","15","345.255711079","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","1.04397201538","346.299734116","3.95602798462","350.409322977","3.78541398048","354.194778204","2.21458601952","356.460834026","357.509613037","357.59516716","360.597959995","1","360.6125741","367.30343914",""
"sujeto_cfeb32c5","1","1","16","16","367.447657108","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","left","1.15316915512","368.600931168","3.84683084488","372.609388113","3.5715367794","376.180985212","2.4284632206","378.660284042","380.400294065","380.478260994","383.481235027","0","383.494727135","386.955211163",""
"sujeto_cfeb32c5","1","1","17","17","387.113502979","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","1.20745706558","388.321004152","3.79254293442","392.286020041","3.04992103577","395.335998058","2.95007896423","398.336497068","399.375500202","399.454158068","402.457140207","0","402.471572161","407.28125",""
"sujeto_cfeb32c5","1","1","18","18","407.423158169","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","3.84019398689","411.263396978","1.15980601311","412.580102205","3.40904712677","415.989190102","2.59095287323","418.631520033","420.587611198","420.665113211","423.668071985","0","423.683370113","427.285938025",""
"sujeto_cfeb32c5","1","1","19","19","427.434984207","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","right","1.28731107712","428.722360134","3.71268892288","432.605885029","3.5954580307","436.201388121","2.4045419693","438.656355143","440.400462151","440.473659992","443.476637125","1","443.492271185","447.966715097",""
"sujeto_cfeb32c5","1","1","20","20","448.110153198","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.09431910515","449.20454216","3.90568089485","453.268347979","2.86913895607","456.137545109","3.13086104393","459.317589998","461.256901026","461.33616209","464.339154005","1","464.353794098","468.582593203",""
"sujeto_cfeb32c5","1","1","21","21","468.721992016","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","1.07563495636","469.797672033","3.92436504364","473.878627062","3.35900187492","477.237673998","2.64099812508","479.928615093","481.443017006","481.530124187","484.53311801","0","484.547363043","491.670060158",""
"sujeto_cfeb32c5","1","1","22","22","491.816265106","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","left","1.0714828968","492.887799978","3.9285171032","496.990842104","3.36694693565","500.357860088","2.63305306435","503.041393042","504.283490181","504.359542131","507.362529993","0","507.376761198","510.61306119",""
"sujeto_cfeb32c5","1","1","23","23","510.761241198","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","right","1.09772205353","511.859070063","3.90227794647","515.949248075","4.27069711685","520.220005989","1.72930288315","522.000373125","523.261593103","523.334204197","526.337151051","1","526.35208106","530.153820038",""
"sujeto_cfeb32c5","1","1","24","24","530.30314517","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","left","0.949968099594","531.253197193","4.05003190041","535.476987123","4.00012207031","539.477153063","1.99987792969","541.528477192","543.289178133","543.362133026","546.365102053","0","546.380151033","553.115208149",""
"sujeto_cfeb32c5","1","1","25","25","553.264301062","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","individual","left","1.43474292755","554.699097157","3.56525707245","558.422517061","4.29617786407","562.718754053","1.70382213593","564.473551035","566.4687922","566.507719994","569.510704994","1","569.526069164","575.068919182",""
"sujeto_cfeb32c5","1","1","26","26","575.211372137","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","right","1.72882914543","576.940244198","3.27117085457","580.3682971","4.11112880707","584.479475021","1.88887119293","586.402386189","587.759958982","587.837388992","590.840419054","1","590.85452199","592.889226198",""
"sujeto_cfeb32c5","1","1","27","27","593.040155172","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","competitive","left","1.70265102386","594.742851019","3.29734897614","598.194990158","3.35003519058","601.545087099","2.64996480942","604.245419979","606.000013113","606.080049038","609.083074093","1","609.097580194","616.493938208",""
"sujeto_cfeb32c5","1","1","28","28","616.649749994","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","right","0.892868041992","617.542690039","4.10713195801","621.806646109","3.96014499664","625.766855001","2.03985500336","627.841023207","628.952061176","629.026448011","632.029438019","0","632.043125153","638.765047073",""
"sujeto_cfeb32c5","1","1","29","29","638.911322117","direct","1","1","1","¿En qué año fue creado
 el sandwich?","1762","1653","","1","1","0","competitive","left","1.7849919796","640.696377993","3.2150080204","644.086380005","3.59714579582","647.683585167","2.40285420418","650.137898207","651.736461163","651.822096109","654.823652029","1","654.839162111","658.309746981",""
"sujeto_cfeb32c5","1","1","30","30","658.440519094","inverse","4","1","2","El nombre de la moneda de Vietnam es:","Dinar","Dong","","0","0","1","competitive","right","0.997466802597","659.438057184","4.0025331974","663.610580206","3.24358797073","666.854229212","2.75641202927","669.646496058","671.078498125","671.164512157","674.167499065","0","674.182176113","680.350609064",""
"sujeto_cfeb32c5","1","1","31","31","680.483879089","direct","2","1","1","¿cuantos aleteos puede dar 
un colibrí por segundo?","120","50","","0","0","0","competitive","left","1.43980097771","681.923737049","3.56019902229","685.658632994","3.39517593384","689.05388999","2.60482406616","691.693231106","693.42564106","693.511399031","696.514379025","0","696.529658079","700.741945982",""
"sujeto_cfeb32c5","1","1","32","32","700.880397081","inverse","4","1","3","¿Qué altura promedio tienen
 los hombres uruguayos?","1.73 m","1.72 m","","1","1","1","competitive","left","1.30987787247","702.190320015","3.69012212753","706.036650181","2.58475613594","708.621474028","3.41524386406","712.088209152","713.350635052","713.422203064","716.425196171","1","716.439954996","720.915849209",""
"sujeto_cfeb32c5","1","2","1","33","857.683226109","direct","1","1","1","¿En qué año nació 
el actor Bradd Pitt?","1967","1963","","1","1","1","competitive","right","1.35919094086","859.042481184","3.64080905914","862.856151104","2.45949697495","865.315711975","3.54050302505","868.892019033","869.987044096","870.07645607","873.078962088","1","873.094134092","879.021028996","720.931228161"
"sujeto_cfeb32c5","1","2","2","34","879.162550211","inverse","2","1","1","¿Cual es el segundo 
monte más alto?","Kanchenjunga","K2","","1","1","1","competitive","left","1.65946793556","880.822060108","3.34053206444","884.331771135","4.35255599022","888.684391975","1.64744400978","890.386437178","891.838016033","891.921240091","894.923958063","1","894.939841032","898.368955135",""
"sujeto_cfeb32c5","1","2","3","35","898.524049044","direct","3","1","1","¿Cuándo finalizó la construcción
 del Palacio Legislativo?","1925","1917","","0","0","1","competitive","left","1.12742590904","899.651545048","3.87257409096","903.694468021","3.9671459198","907.661659002","2.0328540802","909.747406006","911.389104128","911.462762117","914.464332104","0","914.481434107","920.179002047",""
"sujeto_cfeb32c5","1","2","4","36","920.319751978","inverse","3","1","3","¿Cuántos integrantes tenía
 en su inicio  el cuarteto de nos?","3","4","","1","1","1","competitive","left","0.969264984131","921.289064169","4.03073501587","925.489803076","3.87036705017","929.36021018","2.12963294983","931.539944172","932.673029184","932.760571003","935.762932062","1","935.778628111","941.428381205",""
"sujeto_cfeb32c5","1","2","5","37","941.58069706","direct","2","1","3","¿Qué valor tiene el número pi?","3.14","4.18","left","0","0","1","competitive","left","0.953729867935","942.534473181","4.04627013206","946.746927977","2.64868712425","949.395656109","3.35131287575","952.787053108","954.241010189","954.320375204","957.32330513","1","957.33961916","964.258743048",""
"sujeto_cfeb32c5","1","2","6","38","964.408902168","inverse","2","1","2","¿Cuál es la esperanza de vida
 en Uruguay?","75","77","","1","1","0","competitive","right","0.913035154343","965.32200408","4.08696484566","969.577663183","3.0984621048","972.676172018","2.9015378952","975.615800142","977.268982172","977.350365162","980.352976084","1","980.36860013","986.830947161",""
