"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_d04e11ed","1","1","1","1","16.2968440056","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.150578022","17.4474658966","3.849421978","21.4880859852","4.69418096542","26.1823658943","1.30581903458","27.5403120518","28.5686049461","28.6412899494","31.6437628269","0","31.6583719254","33.8208799362",""
"sujeto_d04e11ed","1","1","2","2","33.960297823","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.74228596687","35.7026510239","3.25771403313","39.1143260002","4.99225783348","44.1066439152","1.00774216652","45.1485328674","47.0265169144","47.0991270542","50.1021199226","0","50.1166210175","52.2092728615",""
"sujeto_d04e11ed","1","1","3","3","52.3521058559","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.26755785942","53.6197328568","3.73244214058","57.508713007","3.35809707642","60.8668708801","2.64190292358","63.5587358475","65.1704230309","65.2432069778","68.2461838722","1","68.2606589794","72.539003849",""
"sujeto_d04e11ed","1","1","4","4","72.6785290241","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.17074418068","73.849323988","3.82925581932","77.852175951","1.83068084717","79.6828999519","4.16931915283","83.9017510414","85.106523037","85.187844038","88.1907968521","1","88.2050828934","91.6589920521",""
"sujeto_d04e11ed","1","1","5","5","91.8065128326","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.13956809044","92.9461870193","3.86043190956","96.9601750374","1.99583911896","98.9560508728","4.00416088104","102.993373871","104.514760971","104.59630394","107.599292994","1","107.613775015","114.650468826",""
"sujeto_d04e11ed","1","1","6","6","114.798415899","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.24991798401","116.048385859","3.75008201599","119.974227905","4.25501298904","124.229300976","1.74498701096","126.025169849","127.079222918","127.159342051","130.162279844","0","130.176980019","137.803573847",""
"sujeto_d04e11ed","1","1","7","7","137.945189953","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","0.952183008194","138.897421837","4.04781699181","143.101897001","4.13258910179","147.2345469","1.86741089821","149.153699875","151.017725945","151.087749958","154.090734005","1","154.106415987","159.867414951",""
"sujeto_d04e11ed","1","1","8","8","160.023794889","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.59877896309","161.622637987","3.40122103691","165.197928905","3.23069500923","168.428661823","2.76930499077","171.24809885","172.692440033","172.766170025","175.769162893","0","175.783433914","181.882793903",""
"sujeto_d04e11ed","1","1","9","9","182.035660028","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","0.925149917603","182.960883856","4.0748500824","187.204632998","3.24418306351","190.44888401","2.75581693649","193.24000001","194.789530993","194.874774933","197.877750874","1","197.892231941","203.939553976",""
"sujeto_d04e11ed","1","1","10","10","204.077769995","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.60922002792","205.687033892","3.39077997208","209.238236904","5.80779790878","215.046092987","0.192202091217","215.27274394","216.841184855","216.923380852","219.92633605","0","219.94083786","227.014468908",""
"sujeto_d04e11ed","1","1","11","11","227.158368826","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.25387811661","228.412315845","3.74612188339","232.33362484","3.67959690094","236.013260841","2.32040309906","238.383752823","240.065799952","240.15158391","243.154546022","0","243.170167923","246.903424978",""
"sujeto_d04e11ed","1","1","12","12","247.053746939","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","0.975587844849","248.029402018","4.02441215515","252.209120989","4.005215168","256.214372873","1.994784832","258.260784864","259.63352704","259.71151495","262.714478016","0","262.729698896","265.504345894",""
"sujeto_d04e11ed","1","1","13","13","265.63111496","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","0.886548995972","266.517737865","4.11345100403","270.798092842","3.5907459259","274.388880968","2.4092540741","276.901417971","277.980689049","278.052613974","281.055610895","0","281.070067883","284.911059856",""
"sujeto_d04e11ed","1","1","14","14","285.054894924","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.60029292107","286.655253887","3.39970707893","290.213856936","3.94946217537","294.163360834","2.05053782463","296.264771938","297.722591877","297.799677849","300.802660942","1","300.817332029","308.59027791",""
"sujeto_d04e11ed","1","1","15","15","308.734787941","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","0.92294883728","309.657786846","4.07705116272","313.892588854","4.13235902786","318.024991035","1.86764097214","319.944238901","320.99305892","321.078654051","324.081590891","1","324.096298933","330.787137032",""
"sujeto_d04e11ed","1","1","16","16","330.930716038","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","left","0.821581125259","331.752342939","4.17841887474","336.088171959","4.38630318642","340.474535942","1.61369681358","342.139484882","343.879478931","343.957123041","346.960119963","0","346.97533989","350.435863972",""
"sujeto_d04e11ed","1","1","17","17","350.576545954","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","left","1.44616580009","352.022754908","3.55383419991","355.727560997","4.78732204437","360.514942884","1.21267795563","361.780520916","362.819540977","362.897932053","365.900866985","0","365.915559053","370.725188971",""
"sujeto_d04e11ed","1","1","18","18","370.866508007","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","0.944604158401","371.81118989","4.0553958416","376.04322505","4.19110894203","380.234395027","1.80889105797","382.094878912","384.051002026","384.129215956","387.132236004","0","387.146719933","390.749321938",""
"sujeto_d04e11ed","1","1","19","19","390.881438017","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","right","1.54418301582","392.425663948","3.45581698418","396.053972006","2.66974210739","398.723770857","3.33025789261","402.10405302","403.848170996","403.922442913","406.92540884","1","406.940718889","411.41382885",""
"sujeto_d04e11ed","1","1","20","20","411.558728933","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","0.981356859207","412.540186882","4.01864314079","416.714659929","2.6965470314","419.411267042","3.3034529686","422.764070034","424.70338583","424.780930996","427.783921957","1","427.799413919","432.028214931",""
"sujeto_d04e11ed","1","1","21","21","432.167414904","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","0.99111199379","433.158596039","4.00888800621","437.324378967","4.23925685883","441.563700914","1.76074314117","443.375933886","444.890207052","444.976841927","447.979832888","0","447.994415998","455.117101908",""
"sujeto_d04e11ed","1","1","22","22","455.245781898","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","left","0.841263055801","456.087122917","4.1587369442","460.405107021","4.50200104713","464.907182932","1.49799895287","466.456866026","467.698009014","467.773582935","470.776506901","0","470.791069984","474.027390003",""
"sujeto_d04e11ed","1","1","23","23","474.175865889","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","right","0.8395819664","475.015496016","4.1604180336","479.348984003","4.30742907524","483.656450987","1.69257092476","485.400079966","486.661315918","486.733515024","489.736470938","1","489.751791954","493.553540945",""
"sujeto_d04e11ed","1","1","24","24","493.686810017","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","right","1.21289896965","494.899773836","3.78710103035","498.858894825","3.69698905945","502.555943012","2.30301094055","504.909960032","506.670708895","506.745069981","509.748028994","0","509.76245594","516.497560024",""
"sujeto_d04e11ed","1","1","25","25","516.6467309","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","competitive","right","1.59154105186","518.23831892","3.40845894814","521.805191994","3.80713510513","525.612395048","2.19286489487","527.872009039","529.867255926","529.939717054","532.942693949","1","532.958291054","538.500287056",""
"sujeto_d04e11ed","1","1","26","26","538.625980854","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","right","1.00865197182","539.63467598","3.99134802818","543.783081055","2.53164410591","546.314767838","3.46835589409","549.833156824","551.191186905","551.268445969","554.271425962","1","554.286006927","556.320713043",""
"sujeto_d04e11ed","1","1","27","27","556.453943014","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","competitive","right","0.863060951233","557.317056894","4.13693904877","561.608773947","3.44731283188","565.056136847","2.55268716812","567.643326044","569.397217035","569.478694916","572.481688976","1","572.495957851","579.89228487",""
"sujeto_d04e11ed","1","1","28","28","580.030182838","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","right","0.775239944458","580.805491924","4.22476005554","585.186095953","3.63937187195","588.825525999","2.36062812805","591.239603996","592.350700855","592.423786879","595.426767826","0","595.441171885","602.16364193",""
"sujeto_d04e11ed","1","1","29","29","602.311415911","direct","1","1","1","¿En qué año fue creado
 el sandwich?","1762","1653","","1","1","0","competitive","left","0.758427858353","603.06988883","4.24157214165","607.466716051","3.65515494347","611.121903896","2.34484505653","613.517987967","615.11656189","615.201850891","618.204860926","1","618.219651937","621.690245867",""
"sujeto_d04e11ed","1","1","30","30","621.838712931","inverse","4","1","2","El nombre de la moneda de Vietnam es:","Dinar","Dong","","0","0","1","competitive","right","0.955487966537","622.794270992","4.04451203346","627.009937048","3.29040908813","630.300385952","2.70959091187","633.061457872","634.493204832","634.579443932","637.582387924","0","637.597002983","643.765383959",""
"sujeto_d04e11ed","1","1","31","31","643.897686005","direct","2","1","1","¿cuantos aleteos puede dar 
un colibrí por segundo?","120","50","","0","0","0","competitive","left","1.66491818428","645.562669039","3.33508181572","649.072634935","3.10503983498","652.177717924","2.89496016502","655.12302804","656.855454922","656.940958977","659.943912029","0","659.959307909","664.171619892",""
"sujeto_d04e11ed","1","1","32","32","664.319499969","inverse","4","1","3","¿Qué altura promedio tienen
 los hombres uruguayos?","1.73 m","1.72 m","","1","1","1","competitive","right","0.704306125641","665.023892879","4.29569387436","669.480265856","3.19778108597","672.678088903","2.80221891403","675.532644987","676.795058012","676.866982937","679.869959831","1","679.885408878","684.361343861",""
"sujeto_d04e11ed","1","2","1","33","802.694092989","direct","1","1","1","¿En qué año nació 
el actor Bradd Pitt?","1967","1963","","1","1","1","competitive","left","0.904148101807","803.598284006","4.09585189819","807.872058868","3.59122395515","811.463321924","2.40877604485","813.922916889","815.018246889","815.090391874","818.093375921","1","818.10787797","824.03545785","684.376613855"
"sujeto_d04e11ed","1","2","2","34","824.175981045","inverse","2","1","1","¿Cual es el segundo 
monte más alto?","Kanchenjunga","K2","","1","1","1","competitive","right","0.86861205101","825.044663906","4.13138794899","829.35098505","4.17463493347","833.525658846","1.82536506653","835.385980844","836.838366985","836.919947863","839.922247887","1","839.937978983","843.367209911",""
"sujeto_d04e11ed","1","2","3","35","843.505974054","direct","3","1","1","¿Cuándo finalizó la construcción
 del Palacio Legislativo?","1925","1917","","0","0","1","competitive","left","0.854366064072","844.360407829","4.14563393593","848.678741932","4.12414717674","852.802924871","1.87585282326","854.730082035","856.371820927","856.44689393","859.449234962","0","859.464553833","865.16206193",""
"sujeto_d04e11ed","1","2","4","36","865.316246986","inverse","3","1","3","¿Cuántos integrantes tenía
 en su inicio  el cuarteto de nos?","3","4","","1","1","1","competitive","right","0.861052036285","866.177405834","4.13894796371","870.488324881","4.07296490669","874.561350822","1.92703509331","876.540452003","877.673502922","877.758163929","880.761185884","1","880.775467873","886.425300837",""
