"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_d60b64ec","1","1","1","1","24.5355889797","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.79113292694","27.3267841339","2.20886707306","29.7071590424","4.77663898468","34.4838690758","1.22336101532","35.7428870201","36.7711901665","36.8436222076","39.8465790749","0","39.8611819744","42.023651123",""
"sujeto_d60b64ec","1","1","2","2","42.1632640362","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","individual","left","1.05759191513","43.2209630013","3.94240808487","47.3160531521","5.0847671032","52.4008610249","0.915232896805","53.3671050072","55.245126009","55.2844481468","58.2854959965","0","58.3020291328","60.3948011398",""
"sujeto_d60b64ec","1","1","3","3","60.5369939804","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.38485002518","61.9218890667","3.61514997482","65.7098050117","4.36701703072","70.076884985","1.63298296928","71.7613852024","73.3730092049","73.4446461201","76.4476029873","1","76.4632132053","80.7415750027",""
"sujeto_d60b64ec","1","1","4","4","80.8796620369","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.08419394493","81.9639050961","3.91580605507","86.0368480682","4.59602689743","90.6329472065","1.40397310257","92.0716040134","93.2763462067","93.3556790352","96.3577280045","1","96.3729631901","99.8258590698",""
"sujeto_d60b64ec","1","1","5","5","99.9576761723","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.16617798805","101.123920202","3.83382201195","105.109009027","4.26581692696","109.374865055","1.73418307304","111.145033121","112.666419983","112.74556303","115.748588085","1","115.763283014","122.799911022",""
"sujeto_d60b64ec","1","1","6","6","122.931523085","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.31832480431","124.249915123","3.68167519569","128.092388153","4.3764500618","132.468896151","1.6235499382","134.126240015","135.180850029","135.260832071","138.263815165","0","138.277592182","145.904184103",""
"sujeto_d60b64ec","1","1","7","7","146.060660124","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.29918408394","147.359918118","3.70081591606","151.220812082","4.51604795456","155.736921072","1.48395204544","157.272160053","159.13619113","159.222877979","162.225851059","1","162.240475178","168.001501083",""
"sujeto_d60b64ec","1","1","8","8","168.141619205","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.2312541008","169.372917175","3.7687458992","173.299359083","4.17347693443","177.472897053","1.82652306557","179.349814177","180.794104099","180.867632151","183.870617151","0","183.884840012","189.984177113",""
"sujeto_d60b64ec","1","1","9","9","190.120258093","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.11860394478","191.238931179","3.88139605522","195.276908159","4.28896212578","199.565910101","1.71103787422","201.327413082","202.876904011","202.962454081","205.965438128","1","205.979816198","212.027127028",""
"sujeto_d60b64ec","1","1","10","10","212.164643049","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","0.853289842606","213.017981052","4.14671015739","217.320183039","4.54172897339","221.86197114","1.45827102661","223.354958057","224.923403025","225.005828142","228.008773088","0","228.023411036","235.097009182",""
