"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_d90f36d4","1","1","1","1","674.642187834","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","","4.90052890778","679.542757988","0.0994710922241","679.812863827","6","685.812996864","0","685.831108809","686.859392881","686.932919979","689.93590188","0","689.950305939","692.11282897",""
"sujeto_d90f36d4","1","1","2","2","692.250967979","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.73583006859","694.986862898","2.26416993141","697.407155991","3.27366709709","700.68086791","2.72633290291","703.459635973","705.337669849","705.410754919","708.413712978","0","708.428919792","710.521680832",""
"sujeto_d90f36d4","1","1","3","3","710.696719885","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","2.39917492867","713.096033812","2.60082507133","715.867689848","2.67420887947","718.541939974","3.32579112053","721.918196917","723.529862881","723.60324192","726.606197834","1","726.620459795","730.898766994",""
"sujeto_d90f36d4","1","1","4","4","731.022056818","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.55084991455","733.572947979","2.44915008545","736.193439007","2.41757798195","738.611076832","3.58242201805","742.245350838","743.450073004","743.530690908","746.533649921","1","746.547775984","750.001713991",""
"sujeto_d90f36d4","1","1","5","5","750.149770975","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","3.34228515625","753.492121935","1.65771484375","755.288349867","3.84876084328","759.13715601","2.15123915672","761.323715925","762.845104933","762.92413187","765.927107811","1","765.941294909","772.977973938",""
"sujeto_d90f36d4","1","1","6","6","773.109580994","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.77953910828","774.889186859","3.22046089172","778.267233849","4.65496897697","782.922275782","1.34503102303","784.31918478","785.374013901","785.452633858","788.455598831","0","788.469630957","796.094326973",""
"sujeto_d90f36d4","1","1","7","7","796.23830986","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","2.79498004913","799.033333778","2.20501995087","801.391709805","4.02256298065","805.41434288","1.97743701935","807.447831869","809.310294867","809.381190777","812.384162903","1","812.398097992","818.15912199",""
"sujeto_d90f36d4","1","1","8","8","818.299563885","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.94394087791","820.243556976","3.05605912209","823.472259998","5.31821298599","828.790518999","0.681787014008","829.525616884","830.969931841","831.042785883","834.045749903","0","834.060068846","840.159411907",""
"sujeto_d90f36d4","1","1","9","9","840.311531782","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.06200408936","842.373577833","2.93799591064","845.466653824","5.34292888641","850.809650898","0.657071113586","851.504012823","853.053499937","853.137391806","856.140390873","1","856.155581951","862.202887774",""
"sujeto_d90f36d4","1","1","10","10","862.339613914","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","1.66812896729","864.007793903","3.33187103271","867.496369839","6","873.496497869","0","873.51240778","875.080830812","875.165942907","878.168926001","0","878.18363595","885.257269859",""
"sujeto_d90f36d4","1","1","11","11","885.401325941","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.76052379608","887.161893845","3.23947620392","890.558696985","3.65830016136","894.217057943","2.34169983864","896.609495878","898.290369987","898.37813282","901.381126881","0","901.395208836","905.128516912",""
"sujeto_d90f36d4","1","1","12","12","905.280053854","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","3.08104991913","908.361166954","1.91895008087","910.434845924","5.07429504395","915.509203911","0.925704956055","916.469242811","917.84194994","917.920166969","920.922367811","0","920.937711954","923.712355852",""
"sujeto_d90f36d4","1","1","13","13","923.839529991","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","2.74974513054","926.589338779","2.25025486946","928.995334864","5.15805196762","934.15345788","0.841948032379","935.031631947","936.110874891","936.181412935","939.184385777","0","939.198569775","943.038337946",""
"sujeto_d90f36d4","1","1","14","14","943.184374809","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","3.35407805443","946.538516998","1.64592194557","948.406140804","5.32843089104","953.734614849","0.671569108963","954.441314936","955.899145842","955.974844933","958.977826834","1","958.99229598","966.765233994",""
"sujeto_d90f36d4","1","1","15","15","966.927545786","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","3.69610404968","970.623720884","1.30389595032","972.08377099","4.66196608543","976.745781898","1.33803391457","978.120169878","979.168992996","979.254004002","982.256979942","1","982.270996809","988.961834908",""
