"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_dabe6acb","1","1","1","1","721.90024519","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.40752410889","724.307829142","2.59247589111","727.069139004","3.95665001869","731.025851011","2.04334998131","733.123293161","734.151595116","734.223486185","737.225605965","0","737.241580963","739.404067039",""
"sujeto_dabe6acb","1","1","2","2","739.543668985","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","3.09812688828","742.641860962","1.90187311172","744.71451807","3.65928220749","748.373859167","2.34071779251","750.747467995","752.625531197","752.697844028","755.700762033","0","755.714871168","757.807628155",""
"sujeto_dabe6acb","1","1","3","3","757.951120138","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.99875617027","759.94999814","3.00124382973","763.121831179","3.24899506569","766.370867014","2.75100493431","769.157843113","770.76950717","770.841920137","773.842743158","1","773.860256195","778.138622999",""
"sujeto_dabe6acb","1","1","4","4","778.278171062","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.88470697403","780.162947178","3.11529302597","783.43424511","2.6686091423","786.102913141","3.3313908577","789.484255075","790.688995123","790.769488096","793.772482157","1","793.786369085","797.240282059",""
"sujeto_dabe6acb","1","1","5","5","797.379662037","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","individual","right","2.14415001869","799.523859978","2.85584998131","802.54392314","3.291918993","805.835906029","2.708081007","808.595072031","810.116459131","810.162908077","813.165569067","1","813.179584026","820.216273069",""
"sujeto_dabe6acb","1","1","6","6","820.352121115","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.84563302994","822.197818995","3.15436697006","825.522097111","3.31079006195","828.832926035","2.68920993805","831.556326151","832.611114025","832.690582037","835.693611145","0","835.707807064","843.333539963",""
"sujeto_dabe6acb","1","1","7","7","843.462104082","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","2.46377110481","845.925947189","2.53622889519","848.616118193","2.31177997589","850.927942991","3.68822002411","854.650753021","856.513604164","856.585447073","859.588411093","1","859.602415085","865.363438129",""
"sujeto_dabe6acb","1","1","8","8","865.504903078","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","2.77594590187","868.280949116","2.22405409813","870.676159143","2.98469400406","873.660892963","3.01530599594","876.712786198","878.157040119","878.231204987","881.23418498","0","881.24814105","887.34750104",""
"sujeto_dabe6acb","1","1","9","9","887.473481178","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.7912709713","889.264791012","3.2087290287","892.624267101","3.60760617256","896.231912136","2.39239382744","898.671791077","900.221289158","900.290021181","903.292978048","1","903.307114124","909.354428053",""
"sujeto_dabe6acb","1","1","10","10","909.477172136","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","2.00877904892","911.486004114","2.99122095108","914.650393963","4.38650512695","919.036959171","1.61349487305","920.700719118","922.269154072","922.351447105","925.353582144","0","925.368764162","932.441577196",""
