"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_e29aeec5","1","1","1","1","341.927675962","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.89679598808","344.824537039","2.10320401192","347.109854937","5.37563586235","352.485557079","0.62436413765","353.145545959","354.173789024","354.245909929","357.248863935","0","357.263622046","359.424496889",""
"sujeto_e29aeec5","1","1","2","2","359.565510988","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","2.79610300064","362.361687899","2.20389699936","364.72241497","4.55923986435","369.281712055","1.44076013565","370.757344961","372.635374069","372.708010912","375.710989952","0","375.726233006","377.818994999",""
"sujeto_e29aeec5","1","1","3","3","377.961106062","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","3.27472901344","381.235878944","1.72527098656","383.114067078","3.74075317383","386.854877949","2.25924682617","389.167032957","390.778702974","390.850914955","393.853861094","1","393.868825912","398.147161961",""
"sujeto_e29aeec5","1","1","4","4","398.286794901","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.27424502373","399.561089039","3.72575497627","403.441975117","3.78516101837","407.227202892","2.21483898163","409.492738008","410.697510004","410.777064085","413.780010939","1","413.794270992","417.248162031",""
"sujeto_e29aeec5","1","1","5","5","417.380259991","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.33819794655","418.718504906","3.66180205345","422.519710064","3.26466012001","425.784459114","2.73533987999","428.569696903","430.091126919","430.171864986","433.174842119","1","433.188925982","440.225624084",""
"sujeto_e29aeec5","1","1","6","6","440.390320063","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","3.66319918633","444.053561926","1.33680081367","445.564706087","3.4908850193","449.055649996","2.5091149807","451.616117954","452.670938969","452.751219034","455.754198074","0","455.768234968","463.394820929",""
"sujeto_e29aeec5","1","1","7","7","463.535972118","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","2.36281609535","465.898855925","2.63718390465","468.709614038","3.08913111687","471.798805952","2.91086888313","474.761470079","476.625468016","476.696454048","479.699434996","1","479.713395119","485.474412918",""
"sujeto_e29aeec5","1","1","8","8","485.615546942","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.99553990364","487.611206055","3.00446009636","490.785119057","2.75599503517","493.541152954","3.24400496483","496.838762045","498.283046961","498.357867002","501.36085701","0","501.375082016","507.474446058",""
"sujeto_e29aeec5","1","1","9","9","507.609795094","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.45947504044","509.069339037","3.54052495956","512.783857107","3.44847106934","516.232387066","2.55152893066","518.833859921","520.383368969","520.469672918","523.472652912","1","523.485968113","529.533248901",""
"sujeto_e29aeec5","1","1","10","10","529.671143055","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","2.37826800346","532.049453974","2.62173199654","534.828969002","3.02056598663","537.849571943","2.97943401337","540.87993598","542.448367119","542.531420946","545.534430027","0","545.54873395","552.620568037",""
