"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_e844afe8","1","1","1","1","654.951973915","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.08098506927","657.033021927","2.91901493073","660.122562885","4.18046402931","664.303088903","1.81953597069","666.15850091","667.186817884","667.259262085","670.262242079","0","670.276560068","672.439091921",""
"sujeto_e844afe8","1","1","2","2","672.577719927","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.61837387085","675.196141005","2.38162612915","677.74853301","4.6005859375","682.349174976","1.3994140625","683.801137924","685.679172039","685.751314878","688.754287004","0","688.769298077","690.862046003",""
"sujeto_e844afe8","1","1","3","3","691.021266937","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.8910548687","692.912388086","3.1089451313","696.209465027","3.71476316452","699.924263954","2.28523683548","702.259247065","703.870910883","703.94342494","706.94640398","1","706.961270094","711.239630938",""
"sujeto_e844afe8","1","1","4","4","711.362365961","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.6150290966","712.977438927","3.3849709034","716.518591881","5.38189196587","721.900542974","0.618108034134","722.554923058","723.759692907","723.838613033","726.841568947","1","726.855323076","730.309247017",""
"sujeto_e844afe8","1","1","5","5","730.457149982","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.41048002243","731.867674112","3.58951997757","735.613048077","3.66257596016","739.275687933","2.33742403984","741.647335052","743.168716908","743.247673988","746.250633955","1","746.265722036","753.302412987",""
"sujeto_e844afe8","1","1","6","6","753.467597961","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.40107083321","754.868710995","3.59892916679","758.625272989","4.71152997017","763.336878061","1.28847002983","764.65981698","765.714652061","765.793361902","768.796333075","0","768.810254097","776.436817884",""
"sujeto_e844afe8","1","1","7","7","776.578346014","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","0.799561023712","777.377949953","4.20043897629","781.751925945","4.82413101196","786.576097012","1.17586898804","787.787847042","789.651854038","789.722167969","792.725142002","1","792.740026951","798.501019955",""
"sujeto_e844afe8","1","1","8","8","798.641545057","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.69654798508","800.338135958","3.30345201492","803.799390078","3.50668597221","807.306133986","2.49331402779","809.849725008","811.292956114","811.366930962","814.369904041","0","814.385137081","820.484503031",""
"sujeto_e844afe8","1","1","9","9","820.669476986","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.24987721443","821.919399023","3.75012278557","825.827259064","4.88806414604","830.715379953","1.11193585396","831.878237009","833.427757978","833.512307882","836.512979031","1","836.529162884","842.576479912",""
"sujeto_e844afe8","1","1","10","10","842.697815895","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.2157099247","843.913593054","3.7842900753","847.855211973","5.62031793594","853.475590944","0.379682064056","853.90675211","855.475210905","855.557707071","858.560647964","0","858.574723959","865.648372889",""
"sujeto_e844afe8","1","1","11","11","865.792407036","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.98224520683","867.774696112","3.01775479317","870.950423956","5.52330684662","876.47379899","0.476693153381","876.985665083","878.667680025","878.752271891","881.755249023","0","881.770139933","885.503436089",""
"sujeto_e844afe8","1","1","12","12","885.63873291","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.17516303062","886.813962936","3.82483696938","890.791723967","4.34812498093","895.13991189","1.65187501907","896.843484879","898.216201067","898.29528904","901.298281908","0","901.311657906","904.086356878",""
"sujeto_e844afe8","1","1","13","13","904.247536898","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","","1.58548212051","905.833062887","3.41451787949","909.454190016","6","915.454327106","0","915.469731092","916.548957109","916.622041941","919.624943972","0","919.64011693","923.48109889",""
"sujeto_e844afe8","1","1","14","14","923.60868001","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","left","1.01447081566","924.623217106","3.98552918434","928.780093908","4.396089077","933.17622304","1.603910923","934.815208912","936.272954941","936.349426031","939.352411985","1","939.366319895","947.139224052",""
"sujeto_e844afe8","1","1","15","15","947.267561913","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.15878295898","948.426414013","3.84121704102","952.40912509","4.37025117874","956.779444933","1.62974882126","958.460980892","959.50979805","959.594542027","962.597536087","1","962.612441063","969.300975084",""
