"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_e97cf70e","1","1","1","1","626.248507977","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.44875812531","628.697308779","2.55124187469","631.423286915","5.4532160759","636.876553774","0.546783924103","637.476103783","638.504378796","638.576433897","641.579418898","0","641.592754841","643.755283833",""
"sujeto_e97cf70e","1","1","2","2","643.894319773","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.90051198006","645.794883966","3.09948801994","649.064419985","4.19151711464","653.255996943","1.80848288536","655.101616859","656.979678869","657.052573919","660.055548906","0","660.070537806","662.163300991",""
"sujeto_e97cf70e","1","1","3","3","662.304739952","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.59454011917","664.899349928","2.40545988083","667.456404924","3.5880510807","671.044514894","2.4119489193","673.510560989","675.122233868","675.19596386","678.198937893","1","678.213389874","682.491736889",""
"sujeto_e97cf70e","1","1","4","4","682.631035805","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","left","1.6657269001","684.296830893","3.3342730999","687.787332773","4.29462790489","692.082026958","1.70537209511","693.821868896","695.026604891","695.106223822","698.10916996","0","698.123184919","701.577073812",""
"sujeto_e97cf70e","1","1","5","5","701.724657774","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.24367213249","703.968393803","2.75632786751","706.898182869","4.5222299099","711.420478821","1.4777700901","712.949481964","714.470842838","714.549743891","717.552728891","1","717.567727804","724.604435921",""
"sujeto_e97cf70e","1","1","6","6","724.768878937","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.75595116615","726.524901867","3.24404883385","729.926256895","4.27774596214","734.204067945","1.72225403786","735.960181952","737.014981985","737.094355822","740.097344875","0","740.112536907","747.739126921",""
"sujeto_e97cf70e","1","1","7","7","747.897510767","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","2.10993599892","750.007491827","2.89006400108","753.054835796","3.73771810532","756.792616844","2.26228189468","759.107008934","760.971012831","761.042136908","764.04368782","1","764.059808969","769.820790768",""
"sujeto_e97cf70e","1","1","8","8","769.994852781","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","2.21716499329","772.212066889","2.78283500671","775.149530888","3.3466091156","778.496207952","2.6533908844","781.185527802","782.629840851","782.704003811","785.707005978","0","785.721132994","791.819672823",""
"sujeto_e97cf70e","1","1","9","9","791.955870867","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.52860403061","793.484549999","3.47139596939","797.112274885","4.2602930069","801.372607946","1.7397069931","803.146675825","804.696199894","804.781737804","807.783686876","1","807.798655987","813.845957994",""
"sujeto_e97cf70e","1","1","10","10","813.983337879","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.66969799995","815.653110981","3.33030200005","819.141819","4.67824697495","823.820106983","1.32175302505","825.190335989","826.75878191","826.841230869","829.844185829","0","829.860353947","836.93398881",""
"sujeto_e97cf70e","1","1","11","11","837.076875925","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.36165213585","838.438596964","3.63834786415","842.237380981","3.59630513191","845.833727837","2.40369486809","848.288174868","849.970170975","850.056081772","853.059059858","0","853.073294878","856.803700924",""
"sujeto_e97cf70e","1","1","12","12","856.941147804","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.57385396957","858.515046835","3.42614603043","862.097766876","3.36027002335","865.458099842","2.63972997665","868.131763935","869.504502773","869.583525896","872.586522818","0","872.600857973","875.375496864",""
"sujeto_e97cf70e","1","1","13","13","875.535564899","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","2.20780611038","877.743434906","2.79219388962","880.690909863","4.06753277779","884.75850296","1.93246722221","886.775961876","887.855173826","887.926920891","890.929898977","0","890.944049835","894.785024881",""
"sujeto_e97cf70e","1","1","14","14","894.911783934","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.01694202423","895.928769827","3.98305797577","900.101286888","4.59554600716","904.69687295","1.40445399284","906.153188944","907.610978842","907.686553955","910.689540863","1","910.703844786","918.475694895",""
"sujeto_e97cf70e","1","1","15","15","918.622381926","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","1.24680519104","919.869235992","3.75319480896","923.780751944","3.66962385178","927.450416803","2.33037614822","929.831262827","930.880056858","930.949512959","933.952487946","1","933.966889858","940.655709982",""
"sujeto_e97cf70e","1","1","16","16","940.784739971","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","right","0.975898981094","941.760704994","4.02410101891","945.941934824","2.7147769928","948.656750917","3.2852230072","951.992875814","953.732879877","953.810753822","956.813736916","0","956.828931808","960.289454937",""
"sujeto_e97cf70e","1","1","17","17","960.42992878","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","1.40310907364","961.833112001","3.59689092636","965.602568865","3.02052688599","968.623129845","2.97947311401","971.653755903","972.692746878","972.771508932","975.771719933","0","975.788716793","980.598374844",""
"sujeto_e97cf70e","1","1","18","18","980.723715782","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","left","0.955718040466","981.679478884","4.04428195953","985.879043818","3.04045605659","988.919562817","2.95954394341","991.929991961","993.886100769","993.966201782","996.969201803","0","996.983522892","1000.58608794",""
"sujeto_e97cf70e","1","1","19","19","1000.71867681","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","right","1.01212692261","1001.73085999","3.98787307739","1005.90824699","3.48170113564","1009.38999391","2.51829886436","1011.95845699","1013.70255494","1013.77698278","1016.77972198","1","1016.79406381","1021.2685008",""
"sujeto_e97cf70e","1","1","20","20","1021.41263986","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.17498397827","1022.58770394","3.82501602173","1026.60240078","3.90792512894","1030.51036787","2.09207487106","1032.65290499","1034.5916729","1034.67109895","1037.67170382","1","1037.68863678","1041.91740799",""
"sujeto_e97cf70e","1","1","21","21","1042.07304287","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","1.10058999062","1043.17368197","3.89941000938","1047.22506881","4.04056286812","1051.26567292","1.95943713188","1053.26062584","1054.77551079","1054.84514189","1057.84812188","0","1057.86244893","1064.98512888",""
"sujeto_e97cf70e","1","1","22","22","1065.11439896","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","left","1.04358911514","1066.15803194","3.95641088486","1070.27416587","3.62187480927","1073.89610577","2.37812519073","1076.3250668","1077.56714296","1077.65950894","1080.65969491","0","1080.67699885","1083.91327882",""
"sujeto_e97cf70e","1","1","23","23","1084.04581189","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","left","1.31950998306","1085.36537194","3.68049001694","1089.2024889","4.30996489525","1093.51251578","1.69003510475","1095.25362992","1096.51485991","1096.58797097","1099.59094095","1","1099.604177","1103.40594482",""
"sujeto_e97cf70e","1","1","24","24","1103.53952289","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","right","1.25517201424","1104.79477","3.74482798576","1108.69563198","3.94017410278","1112.63587093","2.05982589722","1114.7470839","1116.50779891","1116.58154988","1119.58452296","0","1119.59850597","1126.3335948",""
"sujeto_e97cf70e","1","1","25","25","1126.46755195","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","competitive","right","1.06353712082","1127.53115678","3.93646287918","1131.6199708","4.8051700592","1136.42521095","1.1948299408","1137.67202187","1139.66726685","1139.7393539","1142.73969793","1","1142.75690079","1148.29972482",""
"sujeto_e97cf70e","1","1","26","26","1148.42550182","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","right","1.25190186501","1149.67746997","3.74809813499","1153.5863409","3.91214108467","1157.4985249","2.08785891533","1159.62061477","1160.9786458","1161.05509877","1164.05808091","1","1164.07254481","1166.10725284",""
"sujeto_e97cf70e","1","1","27","27","1166.24087286","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","competitive","right","1.21183300018","1167.45275092","3.78816699982","1171.4294908","4.17434096336","1175.60387182","1.82565903664","1177.4638629","1179.2184689","1179.2981298","1182.3011229","1","1182.31528783","1189.71164989",""
"sujeto_e97cf70e","1","1","28","28","1189.85167885","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","left","0.998456954956","1190.85020399","4.00154304504","1195.00819182","5.57103800774","1200.57929182","0.428961992264","1201.0602138","1202.17129683","1202.24422693","1205.24718285","0","1205.26120877","1211.98369384",""
"sujeto_e97cf70e","1","1","29","29","1212.11262894","direct","1","1","1","¿En qué año fue creado
 el sandwich?","1762","1653","","1","1","0","competitive","left","0.864823102951","1212.97750092","4.13517689705","1217.26586485","2.9196999073","1220.18560386","3.0803000927","1223.31778193","1224.91632485","1224.98633695","1227.98769689","1","1228.00296879","1231.47358084",""
"sujeto_e97cf70e","1","1","30","30","1231.60515594","inverse","4","1","2","El nombre de la moneda de Vietnam es:","Dinar","Dong","","0","0","1","competitive","left","2.05951619148","1233.66473079","2.94048380852","1236.76385188","4.05401682854","1240.81793189","1.94598317146","1242.81544781","1244.24741077","1244.33357286","1247.33655691","0","1247.35073781","1253.51917577",""
