"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_ef8a4539","1","1","1","1","699.653392792","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.8286459446","702.482145786","2.1713540554","704.82375288","3.57324194908","708.39703989","2.42675805092","710.876929998","711.905183792","711.977684975","714.980685949","0","714.995018959","717.157487869",""
"sujeto_ef8a4539","1","1","2","2","717.296463966","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.90055918694","719.197091818","3.09944081306","722.484842777","3.73108696938","726.215970993","2.26891303062","728.533552885","730.411598921","730.484920979","733.485411882","0","733.502481937","735.595239878",""
"sujeto_ef8a4539","1","1","3","3","735.75391078","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","2.562073946","738.316061974","2.437926054","740.908540964","3.63226103783","744.540863991","2.36773896217","746.945186853","748.556828976","748.62953186","751.63249898","1","751.647543907","755.925876856",""
"sujeto_ef8a4539","1","1","4","4","756.066168785","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.91276097298","757.978991985","3.08723902702","761.238567829","2.9053208828","764.143929958","3.0946791172","767.288729906","768.493457794","768.573605776","771.576569796","1","771.590749979","775.044681787",""
"sujeto_ef8a4539","1","1","5","5","775.192752838","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.42709589005","777.619915962","2.57290410995","780.361525774","2.87433099747","783.23592782","3.12566900253","786.415188789","787.936585903","788.016360998","791.019331932","1","791.034248829","798.064651966",""
"sujeto_ef8a4539","1","1","6","6","798.202327967","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.95956611633","800.161956787","3.04043388367","803.360102892","2.62572479248","805.985869884","3.37427520752","809.409856796","810.464661837","810.544904947","813.547885895","0","813.562123775","821.188686848",""
"sujeto_ef8a4539","1","1","7","7","821.330598831","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","2.34325385094","823.673894882","2.65674614906","826.488424778","3.34837293625","829.836855888","2.65162706375","832.522688866","834.386631966","834.457737923","837.460651875","1","837.474859953","843.235846996",""
"sujeto_ef8a4539","1","1","8","8","843.376055002","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","2.53773903847","845.913836002","2.46226096153","848.548220873","2.69161081314","851.239892006","3.30838918686","854.600197792","856.044530869","856.118801832","859.121764898","0","859.135912895","865.235269785",""
"sujeto_ef8a4539","1","1","9","9","865.370583773","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.574229002","867.944857836","2.425770998","870.52785182","3.80500388145","874.332917929","2.19499611855","876.579157829","878.128635883","878.21365881","881.216574907","1","881.230537891","887.277804852",""
"sujeto_ef8a4539","1","1","10","10","887.415057898","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","2.09364485741","889.508741856","2.90635514259","892.589872837","6","898.590025902","0","898.603942871","900.172380924","900.240068913","903.24298501","0","903.257591009","910.329433918",""
