"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujto_e9ec652d","1","1","1","1","440.179898977","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.19071698189","442.370656967","2.80928301811","445.325754166","3.56183791161","448.887661934","2.43816208839","451.35889101","452.387181997","452.4602561","455.463238001","0","455.477306128","457.639832973",""
"sujto_e9ec652d","1","1","2","2","457.779543161","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.25114417076","459.030753136","3.74885582924","462.935163975","3.21949601173","466.154726982","2.78050398827","468.984761","470.862771988","470.937040091","473.940024137","0","473.953964949","476.046724081",""
"sujto_e9ec652d","1","1","3","3","476.172858","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.00581288338","478.178740978","2.99418711662","481.312205076","2.94057202339","484.252819061","3.05942797661","487.362164021","488.973821163","489.046025991","492.048995018","1","492.064116955","496.342478991",""
"sujto_e9ec652d","1","1","4","4","496.481910944","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.39090800285","497.872880936","3.60909199715","501.638281107","1.90458297729","503.54293108","4.09541702271","507.688217163","508.892982006","508.97330904","511.976274014","1","511.991181135","515.445101023",""
"sujto_e9ec652d","1","1","5","5","515.575719118","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.43822693825","517.013994932","3.56177306175","520.744838953","2.94805693626","523.692955971","3.05194306374","526.779587984","528.300972939","528.381685972","531.384662151","1","531.398884058","538.43554616",""
"sujto_e9ec652d","1","1","6","6","538.570800066","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.32623291016","539.897081137","3.67376708984","543.727082968","2.680975914","546.408102036","3.319024086","549.777178049","550.831992149","550.911631107","553.91459012","0","553.928743124","561.555333138",""
"sujto_e9ec652d","1","1","7","7","561.697340965","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.2037229538","562.90113306","3.7962770462","566.838787079","2.26831817627","569.107144117","3.73168182373","572.88896513","574.752977133","574.824280024","577.82725215","1","577.841496944","583.602524996",""
"sujto_e9ec652d","1","1","8","8","583.743010998","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.13823699951","584.881317139","3.86176300049","588.900840044","2.81143498421","591.712337971","3.18856501579","594.933921099","596.378179073","596.452011108","599.454977989","0","599.469835997","605.569175959",""
"sujto_e9ec652d","1","1","9","9","605.704595089","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","0.944764137268","606.649430037","4.05523586273","610.859357119","4.54201197624","615.401409149","1.45798802376","616.895339012","618.444780111","618.530004978","621.532984018","1","621.547032118","627.594316959",""
"sujto_e9ec652d","1","1","10","10","627.731678963","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.03483200073","628.766555071","3.96516799927","632.906053066","4.63332986832","637.539417982","1.36667013168","638.958024979","640.526448011","640.607922077","643.610898018","0","643.626058102","650.699692011",""
