"","code","competitive","individual"
"1","sujeto_0000621",126,2
"2","sujeto_0005719",100,28
"3","sujeto_0006562",120,8
"4","sujeto_0011813",106,22
"5","sujeto_0012643",128,NA
"6","sujeto_0014011",111,17
"7","sujeto_0014895",91,37
"8","sujeto_0016883",124,4
"9","sujeto_0020285",86,41
"10","sujeto_0020703",105,23
"11","sujeto_0020974",127,1
"12","sujeto_0025043",86,42
"13","sujeto_0025948",67,61
"14","sujeto_0026622",106,22
"15","sujeto_0027033",128,NA
"16","sujeto_0027042",105,22
"17","sujeto_0027510",98,30
"18","sujeto_0028207",104,23
"19","sujeto_0030383",116,12
"20","sujeto_0030459",127,1
"21","sujeto_0031826",72,56
"22","sujeto_0032413",80,46
"23","sujeto_0033050",110,17
"24","sujeto_0034539",108,20
"25","sujeto_0036567",110,15
"26","sujeto_0039609",79,49
"27","sujeto_0040017",111,17
"28","sujeto_0040081",128,NA
"29","sujeto_0048205",101,27
"30","sujeto_0048533",126,2
"31","sujeto_0049193",84,44
"32","sujeto_0050473",128,NA
"33","sujeto_0051018",112,14
"34","sujeto_0053568",115,13
"35","sujeto_0058378",128,NA
"36","sujeto_005868",94,34
"37","sujeto_0065422",126,2
"38","sujeto_0066360",127,1
"39","sujeto_0067839",87,40
"40","sujeto_0068071",96,31
"41","sujeto_0068784",112,16
"42","sujeto_0071765",77,51
"43","sujeto_0073050",124,3
"44","sujeto_0073105",91,31
"45","sujeto_0073942",109,19
"46","sujeto_0074431",99,29
"47","sujeto_0074535",70,58
"48","sujeto_02de544a",99,29
"49","sujeto_06da9741",108,20
"50","sujeto_07280530",127,1
"51","sujeto_077f2b56",127,NA
"52","sujeto_0bf947ec",127,1
"53","sujeto_0d6a2bd1",2,126
"54","sujeto_11124bad",128,NA
"55","sujeto_151573d2",108,19
"56","sujeto_18c10e9c",97,31
"57","sujeto_1bb5ad4b",117,11
"58","sujeto_1d9a94b2",128,NA
"59","sujeto_2158631b",128,NA
"60","sujeto_225a39e1",125,3
"61","sujeto_2608c5d2",101,26
"62","sujeto_2736348d",125,3
"63","sujeto_282108e8",105,23
"64","sujeto_2a9aaa08",73,55
"65","sujeto_2c6c72ad",128,NA
"66","sujeto_2cd1c0e6",118,NA
"67","sujeto_32e036e7",128,NA
"68","sujeto_33dcff34",125,3
"69","sujeto_39b35dcb",127,1
"70","sujeto_3e78614c",98,30
"71","sujeto_4517150c",124,4
"72","sujeto_46315dbc",81,47
"73","sujeto_4ca6cef4",89,39
"74","sujeto_4e042fb0",126,2
"75","sujeto_5061298e",126,1
"76","sujeto_529b55b0",127,1
"77","sujeto_52c54ab9",124,4
"78","sujeto_587bbcbb",83,45
"79","sujeto_5fc6b519",113,15
"80","sujeto_61b0c637",115,6
"81","sujeto_63c82dc6",121,7
"82","sujeto_6462fbbc",119,9
"83","sujeto_649d6cd3",115,2
"84","sujeto_66362819",124,4
"85","sujeto_665d6eab",89,39
"86","sujeto_685cae59",93,35
"87","sujeto_6fce57c3",95,31
"88","sujeto_725769f0",92,36
"89","sujeto_72b8e12c",127,1
"90","sujeto_74a044c9",122,6
"91","sujeto_774f4a36",96,32
"92","sujeto_7b0e6648",110,18
"93","sujeto_7e1d6f1a",99,28
"94","sujeto_80570e8a",128,NA
"95","sujeto_80f4d7da",117,10
"96","sujeto_85db03a2",121,5
"97","sujeto_8e872371",73,55
"98","sujeto_96083b42",121,7
"99","sujeto_9ae17e76",114,14
"100","sujeto_9d0bd287",127,1
"101","sujeto_a90bad1a",73,55
"102","sujeto_acaff5ce",113,15
"103","sujeto_b3dd3930",126,1
"104","sujeto_b7fbb303",87,41
"105","sujeto_c28223ba",105,23
"106","sujeto_c36569e9",85,38
"107","sujeto_c3d9e000",89,39
"108","sujeto_c730bc55",100,28
"109","sujeto_c7735ca1",115,13
"110","sujeto_c9ac0c57",127,1
"111","sujeto_cfeb32c5",127,1
"112","sujeto_d04e11ed",128,NA
"113","sujeto_d72d8a7c",101,27
"114","sujeto_dabe6acb",92,35
"115","sujeto_dcc3c5a9",93,35
"116","sujeto_dccc88fd",99,28
"117","sujeto_e1314c94",128,NA
"118","sujeto_e29aeec5",126,2
"119","sujeto_e844afe8",124,4
"120","sujeto_e9306fb7",119,6
"121","sujeto_e97cf70e",127,1
"122","sujeto_eafb7359",66,61
"123","sujeto_efe9883f",127,1
"124","sujeto_fddffe87",99,29
